tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
5.0,200.0,150.0,8.0,20.0,2.0,1.0,1.02577697241921,26.0656821518383,4.25541746973499,1.0164781,25.837742,4.179966
5.0,200.0,150.0,8.0,20.0,2.0,25.75,13.4919925827329,49.1755370090374,4.10079541482351,14.275711,46.56584,4.1087365
5.0,200.0,150.0,8.0,20.0,2.0,50.5,14.4014452881082,89.5417885130282,4.06406454853849,14.766582,85.86374,3.9959357
5.0,200.0,150.0,8.0,20.0,2.0,75.25,12.8115442290087,148.906165969633,4.03485367163027,13.182313,141.85521,3.9550352
5.0,200.0,150.0,8.0,20.0,2.0,100.0,11.1305322343354,226.075963928813,4.00488873222114,11.517406,213.9361,3.9215584
25.0,250.0,250.0,8.0,15.0,6.0,1.0,7.68180766747923,4.35666299781185,5.3264459959461,7.633173,4.3394256,5.271782
25.0,250.0,250.0,8.0,15.0,6.0,25.75,14.9270407152295,56.7779151185098,5.23836862908819,15.695262,53.962322,5.234825
25.0,250.0,250.0,8.0,15.0,6.0,50.5,8.72420204629852,186.253673283145,5.12105352555668,9.159244,177.55302,5.125267
25.0,250.0,250.0,8.0,15.0,6.0,75.25,6.41099906981591,366.869536740728,4.97451783840031,6.683109,351.46487,4.9679112
25.0,250.0,250.0,8.0,15.0,6.0,100.0,5.24609106646016,577.694688330328,4.82341168599342,5.483618,553.3926,4.8297057
25.0,250.0,100.0,8.0,20.0,2.0,1.0,4.5043378440195,4.26315227609445,3.05620114531524,4.4208174,4.4894414,3.1587486
25.0,250.0,100.0,8.0,20.0,2.0,25.75,48.164027443938,10.1171849401821,3.01179482223614,48.4777,9.794825,2.9348218
25.0,250.0,100.0,8.0,20.0,2.0,50.5,43.7900168867668,21.7810027109424,3.00594988143744,45.285862,20.702477,2.9547014
25.0,250.0,100.0,8.0,20.0,2.0,75.25,35.7380884153748,39.7028314535723,3.00100297802341,37.346977,37.48101,2.960603
25.0,250.0,100.0,8.0,20.0,2.0,100.0,29.544566395756,63.7100841390899,2.99575250275639,31.210794,59.68034,2.9645314
30.0,200.0,100.0,8.0,15.0,6.0,1.0,4.63905773751172,4.44855766003532,3.28449899607012,4.571376,4.552044,3.3118722
30.0,200.0,100.0,8.0,15.0,6.0,25.75,38.9947863943293,13.3344501115651,3.21384224297185,40.035896,12.9428625,3.202749
30.0,200.0,100.0,8.0,15.0,6.0,50.5,34.2140173474209,29.7011392451674,3.20262384330543,35.916233,28.395678,3.2141907
30.0,200.0,100.0,8.0,15.0,6.0,75.25,27.8066201335225,54.3015446194922,3.19355216674395,29.175629,52.123127,3.2163565
30.0,200.0,100.0,8.0,15.0,6.0,100.0,23.0473815098404,86.8103371627165,3.18429405114124,24.065859,83.82961,3.2108414
30.0,250.0,150.0,12.0,15.0,6.0,1.0,8.70592617672567,3.64943925937814,5.05663086878657,8.4634285,3.6951666,4.9773774
30.0,250.0,150.0,12.0,15.0,6.0,25.75,16.9598526886064,47.5334774338271,4.98269795249636,18.67664,43.842583,5.0610185
30.0,250.0,150.0,12.0,15.0,6.0,50.5,9.86325588292191,157.379810120974,4.89213091874887,10.4504385,148.19435,4.8808436
30.0,250.0,150.0,12.0,15.0,6.0,75.25,7.18751342073589,314.114735966454,4.77507950305612,7.49783,298.63614,4.7357793
30.0,250.0,150.0,12.0,15.0,6.0,100.0,5.83921222399274,500.380297692188,4.65023170268538,6.0988703,476.4318,4.624557
10.0,100.0,100.0,12.0,15.0,2.0,1.0,1.28908540295229,26.0409121970045,5.34266588546459,1.0810589,27.278101,4.693356
10.0,100.0,100.0,12.0,15.0,2.0,25.75,12.623111319969,66.0976990386627,5.15698242965817,9.962125,71.53514,4.4046817
10.0,100.0,100.0,12.0,15.0,2.0,50.5,11.9088657273553,135.384798994059,5.08123237624955,11.127791,123.60076,4.334697
10.0,100.0,100.0,12.0,15.0,2.0,75.25,10.1147246004605,234.655807192534,5.01994543245898,10.433504,195.39478,4.31178
10.0,100.0,100.0,12.0,15.0,2.0,100.0,8.65117879787893,360.072623705025,4.95776026903756,9.459561,284.69983,4.286256
20.0,150.0,150.0,12.0,20.0,2.0,1.0,3.75595512232777,8.8980986984205,5.31909497355132,3.665756,8.992039,5.246164
20.0,150.0,150.0,12.0,20.0,2.0,25.75,15.9353800994975,52.2123530011063,5.14255080334482,15.544083,52.680317,5.061235
20.0,150.0,150.0,12.0,20.0,2.0,50.5,10.8236698402012,148.572877013769,5.06807254817496,11.051925,144.00626,5.015891
20.0,150.0,150.0,12.0,20.0,2.0,75.25,8.07864031936225,291.455606642075,4.97994233871155,8.409521,276.69315,4.921338
20.0,150.0,150.0,12.0,20.0,2.0,100.0,6.52685774449347,469.761331777158,4.87979462084274,6.88606,439.91632,4.821263
15.0,150.0,250.0,16.0,20.0,2.0,1.0,4.7958066786037,12.3059446302945,9.39283636550669,4.7495728,12.321745,9.314229
15.0,150.0,250.0,16.0,20.0,2.0,25.75,4.72861334560977,293.757108782147,8.58549000565149,4.9854703,274.7434,8.465967
15.0,150.0,250.0,16.0,20.0,2.0,50.5,2.91376979056585,821.393410585442,7.54284536425332,3.1309154,763.42725,7.5329943
15.0,150.0,250.0,16.0,20.0,2.0,75.25,2.29385455949507,1364.96037630219,6.62215817489573,2.4502537,1280.3834,6.635363
15.0,150.0,250.0,16.0,20.0,2.0,100.0,1.99808474570048,1852.13327251948,5.88987759854354,2.1491723,1724.5364,5.898801
20.0,250.0,50.0,12.0,20.0,6.0,1.0,3.26149367784325,5.26280853483081,2.73183360427661,3.26699,5.345127,2.7792401
20.0,250.0,50.0,12.0,20.0,6.0,25.75,46.5459909381534,9.35169952027774,2.69039299133212,46.086193,9.021604,2.5697906
20.0,250.0,50.0,12.0,20.0,6.0,50.5,53.4983321535344,15.9284739466519,2.6856113634056,55.000504,15.009106,2.6016572
20.0,250.0,50.0,12.0,20.0,6.0,75.25,49.4343378133973,25.6578513279335,2.68264146278506,51.284126,24.153128,2.6198103
20.0,250.0,50.0,12.0,20.0,6.0,100.0,43.6677320098015,38.5618162905485,2.68002132240589,45.97736,35.994843,2.6339304
15.0,250.0,50.0,12.0,20.0,4.0,1.0,2.48703505210699,6.99140827571649,2.76736664529522,2.607592,6.732911,2.7942336
15.0,250.0,50.0,12.0,20.0,4.0,25.75,38.5688976314717,11.4147898191687,2.72112218824861,39.017315,10.739262,2.5898519
15.0,250.0,50.0,12.0,20.0,4.0,50.5,47.3393333498917,18.2024386466981,2.71569171377046,48.34807,17.191679,2.6195467
15.0,250.0,50.0,12.0,20.0,4.0,75.25,45.553655543177,28.1539983699889,2.71254493973815,46.606926,26.746601,2.6365297
15.0,250.0,50.0,12.0,20.0,4.0,100.0,41.1807869742254,41.3465941417803,2.70990779711177,42.856297,38.857002,2.6503544
20.0,200.0,50.0,8.0,20.0,2.0,1.0,2.3796956386953,6.57821633079338,2.49143578415485,2.4403152,6.510008,2.5284102
20.0,200.0,50.0,8.0,20.0,2.0,25.75,33.898177032612,11.5466200219862,2.41921304658907,33.985874,10.583887,2.2232416
20.0,200.0,50.0,8.0,20.0,2.0,50.5,47.2702750478072,16.1763134360805,2.40988565291801,52.636806,13.626555,2.260499
20.0,200.0,50.0,8.0,20.0,2.0,75.25,52.2186307793828,21.7787043406275,2.40531049673866,57.86508,18.605446,2.2770364
20.0,200.0,50.0,8.0,20.0,2.0,100.0,52.9084880522424,28.5279954689979,2.40224191016806,58.689335,24.524765,2.2907832
10.0,200.0,200.0,8.0,15.0,6.0,1.0,2.36183555618961,13.1351851496678,4.93748724682209,2.3807962,13.181834,4.994802
10.0,200.0,200.0,8.0,15.0,6.0,25.75,15.5682638532534,50.0111606016665,4.81227032004675,16.21898,47.472137,4.758887
10.0,200.0,200.0,8.0,15.0,6.0,50.5,11.2456514766907,133.92152135331,4.74639357674806,11.853795,127.67486,4.769705
10.0,200.0,200.0,8.0,15.0,6.0,75.25,8.58492904281776,257.026542320336,4.66689802311083,8.95176,248.3447,4.7019386
10.0,200.0,200.0,8.0,15.0,6.0,100.0,7.04225845068,408.492804965199,4.57842919978983,7.2961106,397.77255,4.6189823
20.0,250.0,200.0,8.0,15.0,4.0,1.0,5.5020035182015,5.35830472000422,4.69211235698738,5.5617943,5.2891684,4.6819034
20.0,250.0,200.0,8.0,15.0,4.0,25.75,20.4405888312598,36.6305776069674,4.62785845577496,20.691795,35.924454,4.5944266
20.0,250.0,200.0,8.0,15.0,4.0,50.5,12.5686491414562,115.498173537874,4.5750144792204,13.012152,111.61969,4.577396
20.0,250.0,200.0,8.0,15.0,4.0,75.25,9.13783734843821,233.006010625934,4.50323047873758,9.440973,225.37518,4.500248
