tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
5,250,150,16,15,4,1.0,1.9153749,21.300014,6.493125
5,250,150,16,15,4,25.75,8.802678,115.2305,6.269391
5,250,150,16,15,4,50.5,5.7549424,333.70694,6.0525017
5,250,150,16,15,4,75.25,4.3492155,628.5231,5.7815666
5,250,150,16,15,4,100.0,3.6377683,955.26984,5.5307097
5,200,150,8,20,2,1.0,1.0164781,25.837742,4.179966
5,200,150,8,20,2,25.75,14.275711,46.56584,4.1087365
5,200,150,8,20,2,50.5,14.766582,85.86374,3.9959357
5,200,150,8,20,2,75.25,13.182313,141.85521,3.9550352
5,200,150,8,20,2,100.0,11.517406,213.9361,3.9215584
5,200,150,12,15,4,1.0,1.2857336,27.140972,5.55388
5,200,150,12,15,4,25.75,11.328071,75.188965,5.2644515
5,200,150,12,15,4,50.5,8.743634,189.19664,5.2135553
5,200,150,12,15,4,75.25,6.8014226,354.8843,5.10505
5,200,150,12,15,4,100.0,5.6590085,554.0865,4.9904313
25,250,250,8,15,6,1.0,7.633173,4.3394256,5.271782
25,250,250,8,15,6,25.75,15.695262,53.962322,5.234825
25,250,250,8,15,6,50.5,9.159244,177.55302,5.125267
25,250,250,8,15,6,75.25,6.683109,351.46487,4.9679112
25,250,250,8,15,6,100.0,5.483618,553.3926,4.8297057
25,250,100,8,20,2,1.0,4.4208174,4.4894414,3.1587486
25,250,100,8,20,2,25.75,48.4777,9.794825,2.9348218
25,250,100,8,20,2,50.5,45.285862,20.702477,2.9547014
25,250,100,8,20,2,75.25,37.346977,37.48101,2.960603
25,250,100,8,20,2,100.0,31.210794,59.68034,2.9645314
25,250,100,8,15,2,1.0,4.7619486,4.3797646,3.3193693
25,250,100,8,15,2,25.75,44.275997,11.428647,3.1275647
25,250,100,8,15,2,50.5,37.625004,26.557878,3.149189
25,250,100,8,15,2,75.25,29.925983,49.912445,3.159154
25,250,100,8,15,2,100.0,24.544415,80.93495,3.1616135
30,250,250,16,15,2,1.0,12.843027,4.368085,8.928504
30,250,250,16,15,2,25.75,5.082271,269.33496,8.46045
30,250,250,16,15,2,50.5,2.9028037,772.79987,7.069902
30,250,250,16,15,2,75.25,2.3282392,1262.4019,6.216397
30,250,250,16,15,2,100.0,2.0976737,1678.1,5.6024227
30,200,100,8,15,6,1.0,4.571376,4.552044,3.3118722
30,200,100,8,15,6,25.75,40.035896,12.9428625,3.202749
30,200,100,8,15,6,50.5,35.916233,28.395678,3.2141907
30,200,100,8,15,6,75.25,29.175629,52.123127,3.2163565
30,200,100,8,15,6,100.0,24.065859,83.82961,3.2108414
30,250,150,12,15,6,1.0,8.4634285,3.6951666,4.9773774
30,250,150,12,15,6,25.75,18.67664,43.842583,5.0610185
30,250,150,12,15,6,50.5,10.4504385,148.19435,4.8808436
30,250,150,12,15,6,75.25,7.49783,298.63614,4.7357793
30,250,150,12,15,6,100.0,6.0988703,476.4318,4.624557
10,100,150,16,15,2,1.0,1.6519496,27.859901,7.3248134
10,100,150,16,15,2,25.75,7.443363,141.95514,6.5307546
10,100,150,16,15,2,50.5,5.8117537,346.23837,6.341778
10,100,150,16,15,2,75.25,4.69477,614.1695,6.098401
10,100,150,16,15,2,100.0,4.0353804,911.3405,5.853091
10,100,100,12,15,2,1.0,1.0810589,27.278101,4.693356
10,100,100,12,15,2,25.75,9.962125,71.53514,4.4046817
10,100,100,12,15,2,50.5,11.127791,123.60076,4.334697
10,100,100,12,15,2,75.25,10.433504,195.39478,4.31178
10,100,100,12,15,2,100.0,9.459561,284.69983,4.286256
20,100,350,16,15,2,1.0,5.2044797,14.9769125,12.405656
20,100,350,16,15,2,25.75,2.9919682,533.5203,9.866225
20,100,350,16,15,2,50.5,2.0776796,1213.2101,7.9440746
20,100,350,16,15,2,75.25,1.7954679,1749.123,6.64219
20,100,350,16,15,2,100.0,1.6896129,2141.971,5.759976
10,150,250,8,15,2,1.0,2.1257505,17.930462,6.0663
10,150,250,8,15,2,25.75,11.115558,82.2567,5.6512628
10,150,250,8,15,2,50.5,8.052094,218.87039,5.55424
10,150,250,8,15,2,75.25,6.2240276,410.18185,5.3995986
10,150,250,8,15,2,100.0,5.197093,634.5431,5.2485785
20,150,150,12,20,2,1.0,3.665756,8.992039,5.246164
20,150,150,12,20,2,25.75,15.544083,52.680317,5.061235
20,150,150,12,20,2,50.5,11.051925,144.00626,5.015891
20,150,150,12,20,2,75.25,8.409521,276.69315,4.921338
20,150,150,12,20,2,100.0,6.88606,439.91632,4.821263
15,150,250,16,20,2,1.0,4.7495728,12.321745,9.314229
15,150,250,16,20,2,25.75,4.9854703,274.7434,8.465967
15,150,250,16,20,2,50.5,3.1309154,763.42725,7.5329943
15,150,250,16,20,2,75.25,2.4502537,1280.3834,6.635363
15,150,250,16,20,2,100.0,2.1491723,1724.5364,5.898801
10,300,350,12,15,6,1.0,6.3779616,9.402162,9.543984
10,300,350,12,15,6,25.75,4.163497,329.38522,8.476284
10,300,350,12,15,6,50.5,2.607089,884.9347,7.271029
10,300,350,12,15,6,75.25,2.1107788,1424.4762,6.3593316
10,300,350,12,15,6,100.0,1.8986025,1873.9982,5.6626935
15,300,150,16,15,6,1.0,6.5024343,5.876656,6.0817213
15,300,150,16,15,6,25.75,10.653385,92.55966,6.094701
15,300,150,16,15,6,50.5,6.029584,303.42502,5.765906
15,300,150,16,15,6,75.25,4.455863,582.0274,5.4851522
15,300,150,16,15,6,100.0,3.729742,885.0203,5.253543
20,300,250,8,20,6,1.0,6.8945165,4.51838,4.958003
20,300,250,8,20,6,25.75,18.528969,42.370518,4.8524165
20,300,250,8,20,6,50.5,10.79949,142.57646,4.8526607
20,300,250,8,20,6,75.25,7.7023597,290.88467,4.7386875
20,300,250,8,20,6,100.0,6.1676083,470.92273,4.6226025
10,350,350,16,15,6,1.0,8.233064,8.877973,11.633098
10,350,350,16,15,6,25.75,2.719751,552.6323,9.289847
10,350,350,16,15,6,50.5,1.7883376,1276.3931,7.193873
10,350,350,16,15,6,75.25,1.5397737,1830.7166,5.961991
10,350,350,16,15,6,100.0,1.4480817,2242.6438,5.168604
20,350,350,8,15,6,1.0,9.863577,4.0604634,6.3742647
20,350,350,8,15,6,25.75,9.416074,110.04171,6.404279
20,350,350,8,15,6,50.5,5.3293295,355.09048,5.964035
20,350,350,8,15,6,75.25,4.0207615,658.7019,5.601582
20,350,350,8,15,6,100.0,3.420091,975.06946,5.3075414
10,350,150,12,15,6,1.0,4.162073,7.3547463,4.871891
10,350,150,12,15,6,25.75,17.161697,46.76857,4.9608655
10,350,150,12,15,6,50.5,10.347759,149.43018,4.873192
10,350,150,12,15,6,75.25,7.4176254,301.67838,4.73285
10,350,150,12,15,6,100.0,5.9788227,484.8166,4.613315
10,400,350,16,15,6,1.0,9.004527,7.869678,11.278152
10,400,350,16,15,6,25.75,2.7950675,530.08453,9.157576
10,400,350,16,15,6,50.5,1.8094689,1243.959,7.093912
10,400,350,16,15,6,75.25,1.5506008,1797.7306,5.895737
10,400,350,16,15,6,100.0,1.454734,2213.0227,5.123767
20,400,100,12,20,2,1.0,6.524833,3.4622855,3.595443
20,400,100,12,20,2,25.75,44.365982,12.413697,3.4040384
20,400,100,12,20,2,50.5,29.356462,37.43611,3.463564
20,400,100,12,20,2,75.25,21.159294,77.72034,3.4781573
20,400,100,12,20,2,100.0,16.623228,131.58336,3.4812593
10,400,150,16,20,2,1.0,5.4253707,6.3754296,5.50502
10,400,150,16,20,2,25.75,13.961665,63.7342,5.4998746
10,400,150,16,20,2,50.5,7.86774,218.33763,5.4138646
10,400,150,16,20,2,75.25,5.5591383,445.12695,5.2336516
10,400,150,16,20,2,100.0,4.4478173,712.2432,5.0419135
20,250,50,12,20,6,1.0,3.26699,5.345127,2.7792401
20,250,50,12,20,6,25.75,46.086193,9.021604,2.5697906
20,250,50,12,20,6,50.5,55.000504,15.009106,2.6016572
20,250,50,12,20,6,75.25,51.284126,24.153128,2.6198103
20,250,50,12,20,6,100.0,45.97736,35.994843,2.6339304
15,250,50,12,20,4,1.0,2.607592,6.732911,2.7942336
15,250,50,12,20,4,25.75,39.017315,10.739262,2.5898519
15,250,50,12,20,4,50.5,48.34807,17.191679,2.6195467
15,250,50,12,20,4,75.25,46.606926,26.746601,2.6365297
15,250,50,12,20,4,100.0,42.856297,38.857002,2.6503544
20,200,50,8,20,2,1.0,2.4403152,6.510008,2.5284102
20,200,50,8,20,2,25.75,33.985874,10.583887,2.2232416
20,200,50,8,20,2,50.5,52.636806,13.626555,2.260499
20,200,50,8,20,2,75.25,57.86508,18.605446,2.2770364
20,200,50,8,20,2,100.0,58.689335,24.524765,2.2907832
10,200,200,8,15,6,1.0,2.3807962,13.181834,4.994802
10,200,200,8,15,6,25.75,16.21898,47.472137,4.758887
10,200,200,8,15,6,50.5,11.853795,127.67486,4.769705
10,200,200,8,15,6,75.25,8.95176,248.3447,4.7019386
10,200,200,8,15,6,100.0,7.2961106,397.77255,4.6189823
15,250,200,16,15,6,1.0,6.7633677,7.288198,7.845187
