tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
10,200,350,24,15,2,1.0,6.16032991396504,19.1300473306076,18.7559966903489
10,200,350,24,15,2,25.75,1.54023844740685,1046.1390141649201,9.95910375813498
10,200,350,24,15,2,50.5,1.28966237973425,1649.07026704394,6.70260994018693
10,200,350,24,15,2,75.25,1.31378723282971,1975.64833659898,5.48969615496042
10,200,350,24,15,2,100.0,1.38381057231406,2223.63721864253,4.8973451230739
10,200,100,4,20,2,1.0,1.22199128694698,13.0206684518317,2.53233712209357
10,200,100,4,20,2,25.75,20.8107315140602,19.1113038497259,2.4582189481282
10,200,100,4,20,2,50.5,31.7923018574926,24.4068394777111,2.44546961808726
10,200,100,4,20,2,75.25,37.9643075793187,30.3810985452686,2.43945372422741
10,200,100,4,20,2,100.0,40.9840283465222,37.3406675802078,2.43566106006232
20,250,300,8,15,6,1.0,7.01596556490825,5.45459611689637,6.09074166297439
20,250,300,8,15,6,25.75,10.7173378662725,89.7021428686525,5.94199987483328
20,250,300,8,15,6,50.5,6.33930983095412,285.886659612023,5.71168991842229
20,250,300,8,15,6,75.25,4.77584509707788,540.350083863339,5.45806976777154
20,250,300,8,15,6,100.0,3.97651462523509,824.686332290798,5.2192910144455
25,200,100,16,15,2,1.0,5.87012449813207,5.45257806011236,5.09412192762631
25,200,100,16,15,2,25.75,17.1075372518829,47.0035618664644,4.97005462538917
25,200,100,16,15,2,50.5,10.5816558528654,146.633560612188,4.89007777853846
25,200,100,16,15,2,75.25,7.78768182392625,290.735107271075,4.78871845788139
25,200,100,16,15,2,100.0,6.32829504654686,464.484415408736,4.67819152472006
30,250,100,12,15,6,1.0,7.01311887956642,3.59074834783696,4.00789469016811
30,250,100,12,15,6,25.75,30.3420687686381,21.1298214517421,3.96263356487131
30,250,100,12,15,6,50.5,19.2576311972621,64.9207341626744,3.94017073698161
30,250,100,12,15,6,75.25,13.9486141581406,132.525289595877,3.90970014532032
30,250,100,12,15,6,100.0,11.0517746551356,220.167714342969,3.8726280481882
30,200,350,8,15,4,1.0,9.10640008672312,4.7299389724218,6.85523577021353
30,200,350,8,15,4,25.75,8.27425048947188,128.538129893507,6.57360402123535
30,200,350,8,15,4,50.5,4.9970940542246,393.26884560700796,6.19349541757843
30,200,350,8,15,4,75.25,3.8409772650143,716.715779560416,5.82240391340591
30,200,350,8,15,4,100.0,3.22997552410942,1067.79400147654,5.48917200582813
15,200,250,8,20,8,1.0,3.77241325837799,8.84543549883749,5.31078370612635
15,200,250,8,20,8,25.75,14.8133255266782,56.6436968206859,5.18617365325492
15,200,250,8,20,8,50.5,9.4510625700511,171.054657749065,5.09500126602573
15,200,250,8,20,8,75.25,6.9726937090166,337.624102331948,4.97906342107207
15,200,250,8,20,8,100.0,5.64663029443329,539.726690273509,4.85046506034157
15,200,150,16,30,6,1.0,4.30390885199877,8.93885584348834,6.12301227970623
15,200,150,16,30,6,25.75,11.2287269209324,85.6664948758628,5.94544568617057
15,200,150,16,30,6,50.5,6.75223070098337,271.381038578103,5.77504703841435
15,200,150,16,30,6,75.25,4.92042629281361,533.876944370714,5.55593970579475
15,200,150,16,30,6,100.0,3.97813709675803,839.8825433202,5.31763387383104
15,200,100,8,20,8,1.0,2.29758392185789,8.73071704805219,3.19257735291905
15,200,100,8,20,8,25.75,28.927998730774,17.4274885090772,3.11599027133113
15,200,100,8,20,8,50.5,32.203485722743,30.5800051140851,3.10362463014152
15,200,100,8,20,8,75.25,29.4436705703333,49.7173827362299,3.0960918448805
15,200,100,8,20,8,100.0,25.8991519825993,74.9512939183245,3.0894758909387
15,200,100,12,40,6,1.0,2.90709606228726,8.79264139527236,4.06816796380212
15,200,100,12,40,6,25.75,23.9022187128605,26.8531256462415,3.96712566995243
15,200,100,12,40,6,50.5,19.5513036808975,64.016718165519,3.9445537757068
15,200,100,12,40,6,75.25,15.3078789224461,121.158386414201,3.92267318494261
15,200,100,12,40,6,100.0,12.4314626240622,196.996978190102,3.89764180379193
20,250,200,8,20,2,1.0,5.27243554694504,5.37329153906367,4.50891258646887
20,250,200,8,20,2,25.75,23.0888668332647,31.1413027826313,4.44408435957428
20,250,200,8,20,2,50.5,14.571822090368,95.9865789497642,4.40811714244914
20,250,200,8,20,2,75.25,10.5378125962002,195.562944264724,4.35863663960907
20,250,200,8,20,2,100.0,8.35242128274098,323.368804878063,4.29863573329885
20,200,200,16,20,2,1.0,6.72243402157607,7.0211305252395,7.51196795976453
20,200,200,16,20,2,25.75,7.1740852375567,161.462333270388,7.15946639180806
20,200,200,16,20,2,50.5,4.19438322146118,505.054542284869,6.67628922074485
20,200,200,16,20,2,75.25,3.15050710065461,923.504346621972,6.15365343856553
20,200,200,16,20,2,100.0,2.63490247034843,1352.7914617454398,5.67303587297724
20,200,100,16,15,10,1.0,4.70568027798436,6.65900938170762,4.98714705781615
20,200,100,16,15,10,25.75,16.9651033772087,46.5919426870327,4.88551361260682
20,200,100,16,15,10,50.5,10.7209472745706,142.336920185591,4.80927352700078
20,200,100,16,15,10,75.25,7.92736666902291,281.084160530466,4.71279931848878
20,200,100,16,15,10,100.0,6.45034750827106,448.801768055973,4.60742000236656
25,250,100,12,20,4,1.0,5.51828884205272,4.28569704153155,3.76396891202272
25,250,100,12,20,4,25.75,34.9462398462185,17.1996520571068,3.71503588305942
25,250,100,12,20,4,50.5,24.4278812792522,48.0850135745554,3.70189671174459
25,250,100,12,20,4,75.25,18.0414326370221,96.5888807409235,3.68563040508747
25,250,100,12,20,4,100.0,14.2767427414947,161.319744133771,3.66553009902459
10,200,700,12,20,2,1.0,6.15575747022595,17.4958858538325,17.1410558144584
10,200,700,12,20,2,25.75,1.57922296100357,993.918109583708,9.70145674618965
10,200,700,12,20,2,50.5,1.30499156787264,1590.31847240708,6.54064476762657
10,200,700,12,20,2,75.25,1.31541983704564,1917.10741385793,5.3336493561568
10,200,700,12,20,2,100.0,1.37956089024985,2158.76218373451,4.73986319745729
10,200,150,16,25,4,1.0,2.9692346451537,13.2912802471077,6.28103865456012
10,200,150,16,25,4,25.75,10.4150829243946,94.2230624723065,6.06544747368628
10,200,150,16,25,4,50.5,6.54015392728391,285.365521213937,5.88190793421937
10,200,150,16,25,4,75.25,4.83470364331756,552.815272425278,5.65279867043361
10,200,150,16,25,4,100.0,3.93924760185068,862.584539575448,5.40798004959897
15,200,100,20,15,4,1.0,4.25377992738544,8.95850197484386,6.06499633816138
15,200,100,20,15,4,25.75,11.1453118648774,85.2273004429375,5.87102400410711
15,200,100,20,15,4,50.5,6.91821368907252,260.382810950932,5.67721101796884
15,200,100,20,15,4,75.25,5.23712498224056,492.781656403822,5.45834646433583
15,200,100,20,15,4,100.0,4.36437313789871,755.423757614992,5.24726073524851
10,50,150,16,15,6,1.0,0.954165335613679,51.9786846629163,7.8934897940185
10,50,150,16,15,6,25.75,7.43730473368449,168.04176202367498,7.72459469467965
10,50,150,16,15,6,50.5,5.41370469669717,432.59881800387103,7.38088849643272
10,50,150,16,15,6,75.25,4.34560534135272,763.988332375997,7.02183524887598
10,50,150,16,15,6,100.0,3.73380347563194,1126.6817241483,6.69534309731233
15,250,600,12,20,6,1.0,9.32730280891971,9.6005869145075,14.2519402050169
15,250,600,12,20,6,25.75,1.936727305727,806.163343179892,9.65015792246495
15,250,600,12,20,6,50.5,1.43784037872072,1480.01137802853,6.70663210186222
15,250,600,12,20,6,75.25,1.35583928354071,1869.47569169847,5.36094883974832
15,250,600,12,20,6,100.0,1.37673528075918,2130.6129522710103,4.66847606369687
15,200,150,16,35,4,1.0,4.34286109944785,8.98403664720153,6.20965662536845
15,200,150,16,35,4,25.75,11.0637986561236,87.9475458300361,6.01410334935598
15,200,150,16,35,4,50.5,6.64542075136196,278.801412054172,5.83910393680819
15,200,150,16,35,4,75.25,4.83492218955073,548.92993735748,5.61332300557278
15,200,150,16,35,4,100.0,3.90359708521628,863.800951478345,5.36659466742915
15,250,450,16,20,6,1.0,9.31433498138258,9.528717663448601,14.1255850211774
15,250,450,16,20,6,25.75,1.93042897130965,805.114066518512,9.60625563158851
15,250,450,16,20,6,50.5,1.43342714469791,1472.5959057365098,6.65254723127821
15,250,450,16,20,6,75.25,1.35644966957214,1854.84471725863,5.32138730194771
15,250,450,16,20,6,100.0,1.37997598476715,2112.39585715312,4.63945500678135
15,250,50,16,15,4,1.0,3.17905263971224,7.02228421859558,3.55300856023247
15,250,50,16,15,4,25.75,32.5739948424832,17.4021529985424,3.50361925271133
15,250,50,16,15,4,50.5,27.2122315282178,40.7291119487288,3.49299409787164
15,250,50,16,15,4,75.25,21.3239929167361,77.1883895600399,3.48124137861055
15,250,50,16,15,4,100.0,17.2935942189471,125.966991984519,3.46706636500506
20,250,150,12,15,8,1.0,5.99862586313761,5.3640895555062,5.12115507767661
20,250,150,12,15,8,25.75,16.2461754161148,50.2299419927575,5.04378671076336
20,250,150,12,15,8,50.5,9.69333665852404,162.069940378369,4.95113219722909
20,250,150,12,15,8,75.25,7.10355519190118,321.594949562819,4.83168492711005
20,250,150,12,15,8,100.0,5.783224934943,511.096282712528,4.70427756278697
15,200,150,16,10,4,1.0,2.09280997953963,8.75034420121149,2.91457386236511
15,200,150,16,10,4,25.75,23.8587191747324,19.1439231248311,2.82306556931594
15,200,150,16,10,4,50.5,24.9487841004942,35.6741461420301,2.80499263582745
15,200,150,16,10,4,75.25,22.3207837645116,59.1192220852109,2.79094821492957
15,200,150,16,10,4,100.0,19.671264247222,88.7112599458579,2.77735344540124
20,100,350,8,15,6,1.0,3.53261236316476,13.2725456189926,7.46225941971592
20,100,350,8,15,6,25.75,7.70895306990805,150.041204140281,7.14905833676707
20,100,350,8,15,6,50.5,4.95492489968373,430.945290527252,6.72958013353475
20,100,350,8,15,6,75.25,3.88040708970929,771.61777634848,6.33276162813876
20,100,350,8,15,6,100.0,3.29513066301299,1140.26205566815,5.97994851307186
15,200,100,12,35,4,1.0,2.91091495827126,8.81968956364783,4.08604314897339
15,200,100,12,35,4,25.75,23.7587695532325,27.0646897418362,3.97438464523183
15,200,100,12,35,4,50.5,19.5512377435274,64.1257691367321,3.95125990434334
15,200,100,12,35,4,75.25,15.3583068326899,120.959610269063,3.92913857523338
15,200,100,12,35,4,100.0,12.4969638101089,196.284895229458,3.90401541929796
20,200,150,32,20,2,1.0,8.42906198593675,7.5651031906174,10.1487892854056
20,200,150,32,20,2,25.75,3.60478808062784,401.594231744614,8.94767297540304
20,200,150,32,20,2,50.5,2.20653512870686,1053.26112863033,7.32446074864441
20,200,150,32,20,2,75.25,1.78806972472874,1609.73931647563,6.08770541466942
20,200,150,32,20,2,100.0,1.62162429498346,2032.1361631329303,5.24473051763304
10,200,200,12,15,6,1.0,3.10316137596548,13.2731109041033,6.55537010017113
10,200,200,12,15,6,25.75,9.03989248153057,113.021588414105,6.31491588320203
10,200,200,12,15,6,50.5,5.75048264290097,332.961550330083,6.03430330418677
10,200,200,12,15,6,75.25,4.43452092462017,612.097463596127,5.74091234289924
10,200,200,12,15,6,100.0,3.735018609671,920.36322820169,5.47106860124304
10,200,550,16,20,2,1.0,6.19286823594684,17.9348515942052,17.6770487140114
10,200,550,16,20,2,25.75,1.49819816806202,1025.87646686222,9.499641747119
10,200,550,16,20,2,50.5,1.28318482121124,1579.6764494842598,6.38831188512815
10,200,550,16,20,2,75.25,1.31782057541918,1886.94820251804,5.25932356223534
10,200,550,16,20,2,100.0,1.39050409937148,2124.93941492174,4.70260993892452
10,200,450,8,15,6,1.0,3.99973863085453,13.5863463787117,8.64877157148446
10,200,450,8,15,6,25.75,5.12402987578649,251.16171805155102,7.95441044463559
10,200,450,8,15,6,50.5,3.33133190115404,679.6958347378929,7.13610556090641
10,200,450,8,15,6,75.25,2.6381777212691,1155.3259170581,6.44647335177694
10,200,450,8,15,6,100.0,2.26111827148643,1627.61599603073,5.8572715711303
15,200,250,24,20,2,1.0,7.4436634811034,10.463187974835,12.395695243176
15,200,250,24,20,2,25.75,2.48250826840887,632.874812529593,9.7107195945378
15,200,250,24,20,2,50.5,1.67742900003812,1357.56821769695,7.17686145621681
15,200,250,24,20,2,75.25,1.47792490980041,1840.46302199504,5.75298302507236
15,200,250,24,20,2,100.0,1.43355318177373,2166.6013043014896,4.94325416420149
40,200,100,16,15,6,1.0,8.84389227091567,3.44765200578515,4.85273972294428
40,200,100,16,15,6,25.75,18.6568830513361,41.271844310153,4.7592209103253
40,200,100,16,15,6,50.5,11.1493207127805,133.383893030825,4.68684456334173
40,200,100,16,15,6,75.25,8.14032914007712,266.864956504481,4.59459399371072
40,200,100,16,15,6,100.0,6.59140802202531,428.380865411387,4.49395161006678
15,150,100,16,15,6,1.0,2.88238884244276,11.7119238756521,5.37280329200925
15,150,100,16,15,6,25.75,14.257114464735,59.1905437986126,5.21587127417679
15,150,100,16,15,6,50.5,9.89556823253267,164.222370155657,5.12155460077316
15,150,100,16,15,6,75.25,7.54005867681452,314.294853770248,5.01216804031464
15,150,100,16,15,6,100.0,6.21958330537754,494.566323808301,4.89560040103419
10,250,250,12,20,10,1.0,4.06588309720036,10.679778332962501,6.91094215480502
10,250,250,12,20,10,25.75,7.93888245818659,136.305642067474,6.6883055150655
10,250,250,12,20,10,50.5,4.71113216763391,425.406892178396,6.31623912594468
10,250,250,12,20,10,75.25,3.5313084036267,790.077307848456,5.90090827233467
10,250,250,12,20,10,100.0,2.93641816716684,1178.46649428644,5.50750973278785
20,200,650,8,20,2,1.0,8.87295106243173,7.8309413651989,11.0586519590288
20,200,650,8,20,2,25.75,3.12969113871944,479.354906565852,9.27260063870566
20,200,650,8,20,2,50.5,2.04400227724326,1151.1476478171,7.41551229429126
20,200,650,8,20,2,75.25,1.69326300623505,1710.39793509564,6.12541067569751
20,200,650,8,20,2,100.0,1.55196073945258,2130.26707978668,5.26180704649833
20,200,250,8,40,6,1.0,4.99776586367459,6.72140764624991,5.34633630045651
20,200,250,8,40,6,25.75,15.3459949561285,55.0239881277865,5.21903265446683
20,200,250,8,40,6,50.5,9.43175281722513,172.597603752428,5.13045551037805
20,200,250,8,40,6,75.25,6.85362353512697,345.926968961012,5.01439214161872
20,200,250,8,40,6,100.0,5.49446045801481,558.287716271329,4.8820616156953
35,250,250,16,20,2,1.0,14.6959440937398,3.6050774150472997,8.43203145458749
35,250,250,16,20,2,25.75,5.06840735503031,251.061977321012,7.86493894672594
35,250,250,16,20,2,50.5,2.98550617932739,737.933270495392,6.94326625145145
35,250,250,16,20,2,75.25,2.30888350549616,1248.81826085981,6.09838571041249
35,250,250,16,20,2,100.0,1.98967659822924,1709.67374829278,5.41397027348217
