tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,7.78690824562362,5.5485100410531,6.87640686647141,5.565921,9.22776,8.174355
20.0,250.0,250.0,12.0,20.0,6.0,25.75,8.29640771745883,129.799699238985,6.65589820463454,10.175419,114.24063,7.1848197
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.78154974208618,417.26824114474095,6.28800332694769,2.9283774,707.3977,6.528592
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.5599474642082,780.3712025648,5.87568426963236,2.3744845,1111.7313,5.5831933
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.95181557256772,1167.42268966935,5.48450555993825,2.337422,1469.2722,5.4658704
15.0,200.0,250.0,12.0,20.0,2.0,1.0,4.99989431138068,9.1574708265024,7.28712970469703,5.9092016,9.303991,8.750203
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.74753670839069,145.264479741441,6.95610251776218,11.37781,89.095,6.265489
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.61956941629477,449.95525578218695,6.55087903427649,5.09535,334.9503,5.3787713
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.47755479740122,830.4724355802749,6.10819413577962,3.3778255,715.2927,5.11016
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.90141389314907,1233.04372041909,5.69387978609543,4.452133,665.3142,4.7142754
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.78665688320873,7.02240628595761,3.11450894040817,2.5362396,9.667826,3.9024668
15.0,250.0,100.0,8.0,20.0,2.0,25.75,36.8733871096474,13.4356279035383,3.06206142716873,31.927383,17.273611,3.4087057
15.0,250.0,100.0,8.0,20.0,2.0,50.5,38.0738133701813,25.4626014690846,3.05532844230389,20.25367,61.372536,3.9174786
15.0,250.0,100.0,8.0,20.0,2.0,75.25,32.8855296301336,43.8549130233428,3.0502590341177,22.322935,74.443924,3.514746
15.0,250.0,100.0,8.0,20.0,2.0,100.0,27.9035796566594,68.5672954562632,3.04506853939085,19.659365,117.02608,3.6616104
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.30534999828629,8.97508083429121,6.14988455145217,3.7801223,7.6402884,4.5965886
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.2085696415619,85.9948152399169,5.95751796374831,27.609577,24.914646,4.2516494
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.78648715313557,270.349410475334,5.78228124733261,13.971815,101.034615,4.4488897
15.0,200.0,150.0,16.0,20.0,4.0,75.25,4.98053734226106,528.037145868953,5.56229864667191,9.963028,210.57846,4.4373
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.05049389011173,826.551743718643,5.32841643866205,11.871562,212.18796,4.0091166
20.0,200.0,150.0,16.0,20.0,2.0,1.0,5.61153808048859,6.85546204182649,6.12264073496214,3.1124191,7.563377,3.7465718
20.0,200.0,150.0,16.0,20.0,2.0,25.75,11.5850797428306,82.8577193110965,5.93300754684983,18.971092,37.11401,4.351844
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.86526408964937,266.237062234343,5.76042483509065,17.277365,78.14934,4.2553134
20.0,200.0,150.0,16.0,20.0,2.0,75.25,5.01090977862549,522.935265538553,5.54214828271035,14.214425,129.08803,3.8808668
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.06580995942444,820.522060987161,5.30954699629348,9.0073595,297.88562,4.2703857
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.79789234493848,8.87159681189552,5.36246632433048,3.2653081,8.58932,4.4637833
15.0,200.0,250.0,8.0,20.0,6.0,25.75,14.6752330961266,57.6211845075615,5.22648957129077,17.175192,47.061146,4.9958243
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.36741546183419,173.874280142173,5.13314912043055,8.282081,201.83821,5.2683134
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.9141813009665,342.926497714937,5.01482098688699,13.557343,141.08908,4.0455856
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.60140799581591,547.821215731726,4.88378105699179,14.136213,179.95522,4.0487175
20.0,250.0,350.0,8.0,20.0,2.0,1.0,7.51357561761619,5.5512566453487,6.63831870913661,3.286462,10.659863,5.5757127
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.18053980440144,113.564234074755,6.44395787000802,12.487431,78.44802,6.054777
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.3224597673104,365.931522176473,6.13819898431469,5.0638137,402.23364,6.419258
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.96422843216814,690.933772650763,5.79306926006333,5.6214447,462.0568,5.4935975
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.28060708647033,1046.17776269883,5.46235390844786,4.3508625,756.9602,5.2416553
15.0,250.0,350.0,16.0,15.0,4.0,1.0,8.92505900482328,8.7749923011853,12.464589253075,7.1639085,8.489343,9.679304
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.63785915672059,592.510680207269,9.66030158474199,6.277305,226.34146,8.7817335
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.79612310337317,1312.31526853178,7.4285326156475,2.1181784,969.7515,6.4736876
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5331277689516,1852.22240809073,6.00599700463106,1.8671325,1427.1904,5.6359935
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.44898250718098,2226.1798485963,5.13385408953155,1.6247787,1907.4183,4.932423
20.0,200.0,350.0,12.0,15.0,2.0,1.0,8.25728380118009,7.4847997806793,9.83643056229113,4.489721,9.938209,7.10146
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.06006950858375,344.92967119222703,8.65579418716602,6.8244853,220.78326,9.312775
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.6525045024335,890.183024797461,7.44156349294085,2.0966866,993.5877,6.5655084
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.11880011949668,1444.18986424143,6.47184204003799,2.0026224,1312.9149,5.560952
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.85249255320979,1934.19826258974,5.70266147297061,1.8763345,1705.0846,5.09186
10.0,200.0,100.0,8.0,15.0,6.0,1.0,1.66240641228348,13.0523277926542,3.45338747099187,1.850151,14.2196045,4.1871147
10.0,200.0,100.0,8.0,15.0,6.0,25.75,22.070869296377,24.6579529769882,3.36371628024652,24.445864,23.136314,3.495768
10.0,200.0,100.0,8.0,15.0,6.0,50.5,24.5842813088735,43.1936767617731,3.34662032408976,20.484816,58.278442,3.762433
10.0,200.0,100.0,8.0,15.0,6.0,75.25,22.4227131317624,70.3260390605784,3.33516976986994,15.7991,111.10535,3.712623
10.0,200.0,100.0,8.0,15.0,6.0,100.0,19.7021596934949,106.017991700103,3.32440203613327,17.15493,141.02814,3.8504794
10.0,200.0,150.0,12.0,20.0,2.0,1.0,2.49252119110915,13.257962854014,5.25939499616662,2.644454,10.77377,4.534442
10.0,200.0,150.0,12.0,20.0,2.0,25.75,14.622518706885,56.2063528732285,5.07984533416827,17.044485,43.083412,4.5387583
10.0,200.0,150.0,12.0,20.0,2.0,50.5,10.3578468431972,153.358953360956,5.0061905312682,11.973969,126.11191,4.7590795
10.0,200.0,150.0,12.0,20.0,2.0,75.25,7.81194375495611,297.60880140082,4.91720716649907,10.444395,195.91827,4.3278456
10.0,200.0,150.0,12.0,20.0,2.0,100.0,6.33671970170783,477.495465302148,4.81563852493551,10.243726,259.96274,4.2382746
15.0,200.0,350.0,8.0,20.0,6.0,1.0,4.72964888906003,9.0039952627986,6.77773042013197,2.946601,10.50434,4.9261804
15.0,200.0,350.0,8.0,20.0,6.0,25.75,8.75695769434263,120.632849823932,6.52922654416739,12.979829,74.28322,5.959403
15.0,200.0,350.0,8.0,20.0,6.0,50.5,5.26441642533004,374.577053441251,6.21469984367247,6.7444887,287.17462,6.104129
15.0,200.0,350.0,8.0,20.0,6.0,75.25,3.96035888791145,700.312680005713,5.86597436480454,3.5067987,809.6059,6.0047927
15.0,200.0,350.0,8.0,20.0,6.0,100.0,3.29306389834825,1055.82305638839,5.53364674134851,6.4232564,500.71106,5.118734
10.0,250.0,250.0,12.0,20.0,2.0,1.0,4.16117963646623,10.806656832615,7.15694956486041,5.086321,9.039968,7.3179736
10.0,250.0,250.0,12.0,20.0,2.0,25.75,7.74424723344601,143.945302712299,6.8900060760767,6.931423,142.04276,6.085337
10.0,250.0,250.0,12.0,20.0,2.0,50.5,4.59823799609335,447.957650488799,6.49168080420603,4.0723596,451.8408,5.7990947
10.0,250.0,250.0,12.0,20.0,2.0,75.25,3.45204132867883,828.766847422007,6.05092798061253,2.8271766,906.8608,5.4225936
10.0,250.0,250.0,12.0,20.0,2.0,100.0,2.87474452310511,1231.98611633843,5.63670362616637,3.0066378,1147.8334,5.492625
20.0,200.0,100.0,12.0,15.0,2.0,1.0,4.02524190422373,6.70139415024307,4.29316202395863,2.9973662,9.922052,4.7332716
20.0,200.0,100.0,12.0,15.0,2.0,25.75,23.6975933082117,28.5584958590955,4.18294804292526,17.004755,42.70938,4.4888678
20.0,200.0,100.0,12.0,15.0,2.0,50.5,17.0850586400714,77.11396258664,4.15219984280292,13.914179,101.96854,4.4714913
20.0,200.0,100.0,12.0,15.0,2.0,75.25,12.8852600761786,151.048989046698,4.11646700840899,9.866573,207.72755,4.334849
20.0,200.0,100.0,12.0,15.0,2.0,100.0,10.386591029279,246.482430845211,4.07454512310246,8.996997,323.91138,4.6381392
10.0,250.0,100.0,8.0,15.0,6.0,1.0,1.98154855748022,10.4375734318478,3.29173143339234,2.4195738,9.899916,3.8123302
10.0,250.0,100.0,8.0,15.0,6.0,25.75,28.3922075870693,18.4896032980723,3.24466342441176,31.471682,17.910255,3.4838932
10.0,250.0,100.0,8.0,15.0,6.0,50.5,29.6687677883919,34.6088227328785,3.23604900258643,16.08021,84.53585,4.284118
10.0,250.0,100.0,8.0,15.0,6.0,75.25,25.671070524945,59.4641212539292,3.22858788346715,14.65115,128.35345,3.9773402
10.0,250.0,100.0,8.0,15.0,6.0,100.0,21.7994341779435,92.8191936945752,3.22035051406585,9.00197,306.95752,4.3978043
20.0,200.0,250.0,12.0,20.0,6.0,1.0,6.41278489325926,6.8857269558245005,7.02775481585167,4.1403193,9.143211,6.0249405
20.0,200.0,250.0,12.0,20.0,6.0,25.75,8.08630053273813,135.158081696511,6.75514686579514,17.688189,54.539112,5.9625826
20.0,200.0,250.0,12.0,20.0,6.0,50.5,4.74580959492312,426.293631528117,6.37599412567809,6.2742825,283.75452,5.6109376
20.0,200.0,250.0,12.0,20.0,6.0,75.25,3.55373272383771,792.511788055839,5.95667793787962,3.9768038,634.9278,5.340378
20.0,200.0,250.0,12.0,20.0,6.0,100.0,2.95588674123614,1182.06523034879,5.56095478780755,5.4241323,504.12106,4.3519635
15.0,200.0,150.0,8.0,20.0,4.0,1.0,2.83945713297626,8.81087589502275,3.98175498330497,2.5294113,9.933257,3.9988153
15.0,200.0,150.0,8.0,20.0,4.0,25.75,24.3579902316693,25.7358085992799,3.87455801611286,24.933971,23.137085,3.565686
15.0,200.0,150.0,8.0,20.0,4.0,50.5,20.5174045079747,59.5804850274509,3.85261142924838,25.683527,45.52744,3.685162
15.0,200.0,150.0,8.0,20.0,4.0,75.25,16.2861927375304,111.243966380439,3.83186025783882,19.935806,86.6924,3.6553447
15.0,200.0,150.0,8.0,20.0,4.0,100.0,13.3335827801856,179.467738319999,3.80849494050103,16.979721,135.74109,3.668275
10.0,250.0,350.0,8.0,15.0,2.0,1.0,4.13682183701474,10.7757595981181,7.09471318074591,3.4719331,12.867568,7.1103034
10.0,250.0,350.0,8.0,15.0,2.0,25.75,7.69198320875013,143.23453180901498,6.80971535113325,11.148628,90.30432,6.222616
10.0,250.0,350.0,8.0,15.0,2.0,50.5,4.76308863324873,426.080172009294,6.39600421146588,5.053321,391.35272,6.232668
10.0,250.0,350.0,8.0,15.0,2.0,75.25,3.68839869953999,768.4845513333939,5.99496468353908,4.9371934,567.73175,5.9283905
10.0,250.0,350.0,8.0,15.0,2.0,100.0,3.11425853578506,1137.54427621413,5.63823411030911,3.2999072,957.3108,5.0277615
15.0,200.0,350.0,8.0,15.0,2.0,1.0,4.95869376504012,9.1383452079551,7.21198774030941,3.025748,10.888955,5.243715
15.0,200.0,350.0,8.0,15.0,2.0,25.75,7.7332607484397,143.568915933065,6.86224110985664,6.9725986,153.88861,6.631996
15.0,200.0,350.0,8.0,15.0,2.0,50.5,4.80692699926242,425.529341967636,6.44652679382788,9.026242,195.3548,5.557248
15.0,200.0,350.0,8.0,15.0,2.0,75.25,3.72871824271105,766.745455942382,6.04678331083349,5.3319473,513.7763,5.793932
15.0,200.0,350.0,8.0,15.0,2.0,100.0,3.15146306832827,1134.75103875404,5.69158128488456,5.1545076,626.88885,5.1427774
20.0,250.0,350.0,8.0,20.0,4.0,1.0,7.49015204640443,5.5264900503857,6.58809962409202,3.4914408,11.343716,6.303476
20.0,250.0,350.0,8.0,20.0,4.0,25.75,9.23798221992876,112.079380790439,6.3994955767308,7.9037623,138.68527,6.77497
20.0,250.0,350.0,8.0,20.0,4.0,50.5,5.35583248978489,361.31175195877,6.09870780748164,3.9015536,530.11816,6.518369
20.0,250.0,350.0,8.0,20.0,4.0,75.25,3.9879992637595,682.73792385092,5.75867705359425,3.283992,825.06696,5.730661
20.0,250.0,350.0,8.0,20.0,4.0,100.0,3.29929888159458,1034.53277637404,5.43232877146505,3.825631,863.608,5.2582297
20.0,250.0,250.0,12.0,20.0,2.0,1.0,7.836181954173,5.5970968078776,6.98051495497559,2.9194481,10.24028,4.758092
20.0,250.0,250.0,12.0,20.0,2.0,25.75,8.20031331495045,133.123971276897,6.74729361189359,9.357127,130.98215,7.575264
20.0,250.0,250.0,12.0,20.0,2.0,50.5,4.72667651021104,427.47130542654696,6.36783206577043,3.8286731,506.64468,6.113366
20.0,250.0,250.0,12.0,20.0,2.0,75.25,3.52098042877794,798.171548878419,5.94392719925321,2.2039187,1164.9521,5.430217
20.0,250.0,250.0,12.0,20.0,2.0,100.0,2.92109243617831,1192.29697779319,5.54306376978928,2.0517082,1521.7522,4.9691205
20.0,250.0,100.0,16.0,20.0,4.0,1.0,5.29339258341131,5.36175826660328,4.51711831736859,3.0154579,8.34506,4.0050035
20.0,250.0,100.0,16.0,20.0,4.0,25.75,23.0934987743686,31.196845669689,4.45290385672834,24.41228,27.374699,4.130482
20.0,250.0,100.0,16.0,20.0,4.0,50.5,14.5553540798967,96.324510050176,4.41863712293316,17.13719,82.13054,4.4358096
20.0,250.0,100.0,16.0,20.0,4.0,75.25,10.4858013137079,197.104588910173,4.37131383295087,9.889022,209.72989,4.386591
20.0,250.0,100.0,16.0,20.0,4.0,100.0,8.27019828873713,327.676180258012,4.31301458216291,8.293901,341.88898,4.512985
20.0,250.0,100.0,12.0,15.0,6.0,1.0,4.8242407860957,5.31408783164275,4.08016603123449,3.659414,6.995171,4.0740848
20.0,250.0,100.0,12.0,15.0,6.0,25.75,27.747454483315,23.5016786391448,4.03055571981208,21.238604,33.272163,4.367672
20.0,250.0,100.0,12.0,15.0,6.0,50.5,18.5532535111068,68.5371588672331,4.00751290544702,14.788171,95.29117,4.441155
20.0,250.0,100.0,12.0,15.0,6.0,75.25,13.6023132938714,138.217657087354,3.97639874320055,9.311115,224.17648,4.4147415
20.0,250.0,100.0,12.0,15.0,6.0,100.0,10.8187630669765,228.721835042095,3.93826892028316,8.732575,305.77917,4.2498174
10.0,250.0,350.0,8.0,20.0,4.0,1.0,3.95558930833978,10.7087867341047,6.74173372895951,3.3543108,10.899257,5.818625
10.0,250.0,350.0,8.0,20.0,4.0,25.75,8.67290730058508,121.831829400577,6.53082983827971,10.530092,95.58881,6.2213154
10.0,250.0,350.0,8.0,20.0,4.0,50.5,5.19972405180519,379.270599372027,6.21524464210299,6.5416446,293.3009,6.0468483
10.0,250.0,350.0,8.0,20.0,4.0,75.25,3.90492654406404,709.70949125661,5.86147759661022,5.390993,545.79486,6.2231703
10.0,250.0,350.0,8.0,20.0,4.0,100.0,3.24364563587445,1070.0029831361,5.52380733169875,2.3046625,1347.7543,4.943541
15.0,200.0,100.0,12.0,15.0,4.0,1.0,3.0717685733883,8.82670237606711,4.31526139050411,2.7850842,9.841087,4.3621607
15.0,200.0,100.0,12.0,15.0,4.0,25.75,21.7075200469846,31.3358147195301,4.20430389109536,16.367577,50.03838,5.0620985
15.0,200.0,100.0,12.0,15.0,4.0,50.5,16.4801107437881,80.3259509209284,4.17200437171383,9.689657,150.37025,4.5919704
15.0,200.0,100.0,12.0,15.0,4.0,75.25,12.6414771333025,154.67662012799,4.13557712480813,15.69223,126.2751,4.1909833
15.0,200.0,100.0,12.0,15.0,4.0,100.0,10.2646872935008,250.553067065384,4.0932246275069,8.502667,331.71164,4.4888587
10.0,250.0,100.0,12.0,20.0,2.0,1.0,2.33885595323254,10.5145697178918,3.913948543308,3.2052746,8.618255,4.3964763
10.0,250.0,100.0,12.0,20.0,2.0,25.75,24.514999762334,25.3602312416438,3.84262497299533,20.539175,35.566784,4.5151324
10.0,250.0,100.0,12.0,20.0,2.0,50.5,20.6853988285995,58.6898564651937,3.82609456457157,14.80092,99.211296,4.627843
10.0,250.0,100.0,12.0,20.0,2.0,75.25,16.2756491149904,110.615656375026,3.80775104918521,11.466844,171.20952,4.1522665
10.0,250.0,100.0,12.0,20.0,2.0,100.0,13.2308228195594,179.780898658085,3.78573780685457,9.644607,272.1348,4.1772323
20.0,200.0,250.0,12.0,20.0,2.0,1.0,6.46005387307443,6.9720390950887,7.16829855519125,5.492273,8.415279,7.3559837
20.0,200.0,250.0,12.0,20.0,2.0,25.75,7.97068278501311,139.345459432234,6.86485305808935,15.5333605,52.740746,5.0635467
20.0,200.0,250.0,12.0,20.0,2.0,50.5,4.68528562703648,438.281032161259,6.4716869454747,4.2854457,444.83905,6.0079665
20.0,200.0,250.0,12.0,20.0,2.0,75.25,3.51249268164219,812.910024952785,6.03909045755387,8.034865,258.04324,4.3851523
20.0,200.0,250.0,12.0,20.0,2.0,100.0,2.92432500626418,1210.20796873921,5.63255936717369,8.683343,295.9282,4.0897183
10.0,250.0,100.0,16.0,15.0,6.0,1.0,3.00502712250966,10.5254893674765,5.03397233737673,3.2120612,8.577692,4.385048
10.0,250.0,100.0,16.0,15.0,6.0,25.75,15.7727853668592,50.8214002688613,4.95447816437535,23.094473,30.721691,4.3852687
