tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,7.78690824562362,5.5485100410531,6.87640686647141,1.268172,4495.8955,907.4331
20.0,250.0,250.0,12.0,20.0,6.0,25.75,8.29640771745883,129.799699238985,6.65589820463454,0.45043838,1238506.9,3448.076
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.78154974208618,417.26824114474095,6.28800332694769,0.27902845,3406704.2,2995.7917
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.5599474642082,780.3712025648,5.87568426963236,0.13305046,9210128.0,2591.7642
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.95181557256772,1167.42268966935,5.48450555993825,0.12168745,11832604.0,2291.6387
15.0,200.0,250.0,12.0,20.0,2.0,1.0,4.99989431138068,9.1574708265024,7.28712970469703,1.0661006,10023.1455,1700.6794
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.74753670839069,145.264479741441,6.95610251776218,0.32488102,1461983.9,2935.69
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.61956941629477,449.95525578218695,6.55087903427649,0.27271217,3878908.2,3333.8247
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.47755479740122,830.4724355802749,6.10819413577962,0.18167776,6756239.5,2596.0945
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.90141389314907,1233.04372041909,5.69387978609543,0.12805201,10740737.0,2188.9734
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.78665688320873,7.02240628595761,3.11450894040817,1.0514488,2312.065,386.90845
15.0,250.0,100.0,8.0,20.0,2.0,25.75,36.8733871096474,13.4356279035383,3.06206142716873,1.617554,154569.86,1545.3491
15.0,250.0,100.0,8.0,20.0,2.0,50.5,38.0738133701813,25.4626014690846,3.05532844230389,1.6010753,268218.8,1353.4117
15.0,250.0,100.0,8.0,20.0,2.0,75.25,32.8855296301336,43.8549130233428,3.0502590341177,1.650499,398492.84,1391.071
15.0,250.0,100.0,8.0,20.0,2.0,100.0,27.9035796566594,68.5672954562632,3.04506853939085,1.1392478,792168.94,1436.336
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.30534999828629,8.97508083429121,6.14988455145217,1.1523207,6923.3047,1269.7169
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.2085696415619,85.9948152399169,5.95751796374831,0.6304107,531564.8,2071.2039
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.78648715313557,270.349410475334,5.78228124733261,0.26127344,3012731.8,2480.7568
15.0,200.0,150.0,16.0,20.0,4.0,75.25,4.98053734226106,528.037145868953,5.56229864667191,0.15146717,6505770.0,2084.1582
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.05049389011173,826.551743718643,5.32841643866205,0.19298339,8307701.0,2551.6482
20.0,200.0,150.0,16.0,20.0,2.0,1.0,5.61153808048859,6.85546204182649,6.12264073496214,2.0871725,2949.2002,979.6768
20.0,200.0,150.0,16.0,20.0,2.0,25.75,11.5850797428306,82.8577193110965,5.93300754684983,0.5965672,723116.3,2666.3096
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.86526408964937,266.237062234343,5.76042483509065,0.34249642,2365361.0,2553.1843
20.0,200.0,150.0,16.0,20.0,2.0,75.25,5.01090977862549,522.935265538553,5.54214828271035,0.2295799,5482474.0,2662.097
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.06580995942444,820.522060987161,5.30954699629348,0.16965494,9602497.0,2592.8098
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.79789234493848,8.87159681189552,5.36246632433048,1.1786802,5124.612,961.33997
15.0,200.0,250.0,8.0,20.0,6.0,25.75,14.6752330961266,57.6211845075615,5.22648957129077,0.6436333,612447.25,2436.4082
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.36741546183419,173.874280142173,5.13314912043055,0.3599341,1713130.9,1943.3107
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.9141813009665,342.926497714937,5.01482098688699,0.27918708,3068720.8,1812.0323
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.60140799581591,547.821215731726,4.88378105699179,0.25351977,5779524.0,2331.975
20.0,250.0,350.0,8.0,20.0,2.0,1.0,7.51357561761619,5.5512566453487,6.63831870913661,1.7399375,4366.2114,1209.0895
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.18053980440144,113.564234074755,6.44395787000802,0.69511634,574095.7,2466.5212
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.3224597673104,365.931522176473,6.13819898431469,0.32461342,2605870.5,2665.9258
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.96422843216814,690.933772650763,5.79306926006333,0.24018066,5234836.5,2659.2222
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.28060708647033,1046.17776269883,5.46235390844786,0.16452712,8151491.5,2134.4934
15.0,250.0,350.0,16.0,15.0,4.0,1.0,8.92505900482328,8.7749923011853,12.464589253075,2.941687,4389.081,2054.8975
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.63785915672059,592.510680207269,9.66030158474199,0.13042177,5875982.5,4736.676
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.79612310337317,1312.31526853178,7.4285326156475,0.08128613,11913859.0,3052.0918
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5331277689516,1852.22240809073,6.00599700463106,0.06760969,19028564.0,2720.9988
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.44898250718098,2226.1798485963,5.13385408953155,0.07314387,24420906.0,2842.888
20.0,200.0,350.0,12.0,15.0,2.0,1.0,8.25728380118009,7.4847997806793,9.83643056229113,1.9485391,4228.2466,1311.262
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.06006950858375,344.92967119222703,8.65579418716602,0.24347113,2137153.8,3216.076
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.6525045024335,890.183024797461,7.44156349294085,0.1522803,5389349.0,2586.4766
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.11880011949668,1444.18986424143,6.47184204003799,0.098442264,14048536.0,2925.0034
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.85249255320979,1934.19826258974,5.70266147297061,0.12467267,13950779.0,2768.152
10.0,200.0,100.0,8.0,15.0,6.0,1.0,1.66240641228348,13.0523277926542,3.45338747099187,0.25566292,15776.654,641.95245
10.0,200.0,100.0,8.0,15.0,6.0,25.75,22.070869296377,24.6579529769882,3.36371628024652,1.3279015,167426.75,1374.1488
10.0,200.0,100.0,8.0,15.0,6.0,50.5,24.5842813088735,43.1936767617731,3.34662032408976,1.2874157,421953.34,1712.0325
