tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,7.78690824562362,5.5485100410531,6.87640686647141,7.7991805,5.4319253,6.7425303
20.0,250.0,250.0,12.0,20.0,6.0,25.75,8.29640771745883,129.799699238985,6.65589820463454,8.282088,122.72085,6.282049
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.78154974208618,417.26824114474095,6.28800332694769,4.796536,391.82214,5.9230485
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.5599474642082,780.3712025648,5.87568426963236,3.5443225,743.4141,5.572852
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.95181557256772,1167.42268966935,5.48450555993825,2.9676516,1107.6521,5.231619
15.0,200.0,250.0,12.0,20.0,2.0,1.0,4.99989431138068,9.1574708265024,7.28712970469703,5.1576767,8.653514,7.1034083
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.74753670839069,145.264479741441,6.95610251776218,7.6797104,137.41284,6.522517
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.61956941629477,449.95525578218695,6.55087903427649,4.579823,429.01648,6.19229
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.47755479740122,830.4724355802749,6.10819413577962,3.4758418,801.1353,5.8895144
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.90141389314907,1233.04372041909,5.69387978609543,2.9622843,1171.8713,5.52493
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.78665688320873,7.02240628595761,3.11450894040817,2.6697001,7.3545594,3.1249225
15.0,250.0,100.0,8.0,20.0,2.0,25.75,36.8733871096474,13.4356279035383,3.06206142716873,32.741344,15.785256,3.194414
15.0,250.0,100.0,8.0,20.0,2.0,50.5,38.0738133701813,25.4626014690846,3.05532844230389,35.467087,27.964018,3.1257477
15.0,250.0,100.0,8.0,20.0,2.0,75.25,32.8855296301336,43.8549130233428,3.0502590341177,29.976637,49.576088,3.1431756
15.0,250.0,100.0,8.0,20.0,2.0,100.0,27.9035796566594,68.5672954562632,3.04506853939085,25.453642,78.806305,3.1924999
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.30534999828629,8.97508083429121,6.14988455145217,4.3681455,8.730433,6.069502
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.2085696415619,85.9948152399169,5.95751796374831,10.826658,86.21378,5.769182
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.78648715313557,270.349410475334,5.78228124733261,6.612844,263.96982,5.501376
15.0,200.0,150.0,16.0,20.0,4.0,75.25,4.98053734226106,528.037145868953,5.56229864667191,4.930281,515.8845,5.3794475
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.05049389011173,826.551743718643,5.32841643866205,4.1151066,796.02356,5.213471
20.0,200.0,150.0,16.0,20.0,2.0,1.0,5.61153808048859,6.85546204182649,6.12264073496214,5.722631,6.4777164,5.899808
20.0,200.0,150.0,16.0,20.0,2.0,25.75,11.5850797428306,82.8577193110965,5.93300754684983,11.135802,83.15813,5.723599
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.86526408964937,266.237062234343,5.76042483509065,6.6762104,260.58835,5.4829416
20.0,200.0,150.0,16.0,20.0,2.0,75.25,5.01090977862549,522.935265538553,5.54214828271035,4.947249,509.14835,5.327477
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.06580995942444,820.522060987161,5.30954699629348,4.1117682,784.5865,5.134396
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.79789234493848,8.87159681189552,5.36246632433048,3.686966,9.002694,5.2827706
15.0,200.0,250.0,8.0,20.0,6.0,25.75,14.6752330961266,57.6211845075615,5.22648957129077,14.884108,57.944847,5.330655
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.36741546183419,173.874280142173,5.13314912043055,9.227718,171.85176,4.99778
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.9141813009665,342.926497714937,5.01482098688699,6.8217845,340.96408,4.919491
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.60140799581591,547.821215731726,4.88378105699179,5.6675334,541.6825,4.886064
20.0,250.0,350.0,8.0,20.0,2.0,1.0,7.51357561761619,5.5512566453487,6.63831870913661,7.477393,5.3222165,6.3337784
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.18053980440144,113.564234074755,6.44395787000802,9.907491,96.21457,5.8917923
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.3224597673104,365.931522176473,6.13819898431469,5.5921645,319.7134,5.6346846
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.96422843216814,690.933772650763,5.79306926006333,4.1118717,626.00885,5.4441943
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.28060708647033,1046.17776269883,5.46235390844786,3.436589,954.8467,5.2225337
15.0,250.0,350.0,16.0,15.0,4.0,1.0,8.92505900482328,8.7749923011853,12.464589253075,8.985255,8.192384,11.715504
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.63785915672059,592.510680207269,9.66030158474199,2.787536,522.658,9.004948
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.79612310337317,1312.31526853178,7.4285326156475,1.8154805,1253.4788,7.171951
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5331277689516,1852.22240809073,6.00599700463106,1.5196121,1818.6683,5.8452044
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.44898250718098,2226.1798485963,5.13385408953155,1.4433093,2214.2524,5.0863523
20.0,200.0,350.0,12.0,15.0,2.0,1.0,8.25728380118009,7.4847997806793,9.83643056229113,8.606205,6.8532863,9.387085
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.06006950858375,344.92967119222703,8.65579418716602,4.541522,282.27637,7.923534
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.6525045024335,890.183024797461,7.44156349294085,2.7445126,815.17786,7.05093
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.11880011949668,1444.18986424143,6.47184204003799,2.1340995,1349.1926,6.089786
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.85249255320979,1934.19826258974,5.70266147297061,1.8847789,1793.5195,5.380052
10.0,200.0,100.0,8.0,15.0,6.0,1.0,1.66240641228348,13.0523277926542,3.45338747099187,1.5450804,13.585635,3.3408058
