tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
5.0,250.0,100.0,8.0,15.0,6.0,1.0,1.00705368450032,20.763331030137,3.32789628096855,1.0025369,21.374716,3.4105217
5.0,250.0,100.0,8.0,15.0,6.0,25.75,17.8279051290332,29.7738233595525,3.28078537332682,19.438301,27.947874,3.357763
5.0,250.0,100.0,8.0,15.0,6.0,50.5,22.1879384445613,46.7566092551705,3.26955550806935,22.725397,46.81123,3.3526669
5.0,250.0,100.0,8.0,15.0,6.0,75.25,21.2650381629419,72.5012880077635,3.26081016256928,22.047121,71.52528,3.335224
5.0,250.0,100.0,8.0,15.0,6.0,100.0,19.1251710746069,106.828329589574,3.25171068356124,20.58612,101.13367,3.313526
5.0,250.0,100.0,12.0,20.0,4.0,1.0,1.18779151287214,20.8100951159359,3.93400053513082,1.2309744,20.481571,4.0126605
5.0,250.0,100.0,12.0,20.0,4.0,25.75,17.0158672382964,36.747166981141,3.8647450493517,17.836693,35.264133,3.8876812
5.0,250.0,100.0,12.0,20.0,4.0,50.5,17.2162423570554,70.8686178174374,3.84521903753002,16.96984,71.92232,3.846538
5.0,250.0,100.0,12.0,20.0,4.0,75.25,14.6467226566736,123.488598108738,3.82543604607822,14.424534,124.47654,3.7975445
5.0,250.0,100.0,12.0,20.0,4.0,100.0,12.3591744861353,193.311940918247,3.80249171599643,12.316838,191.25418,3.7491279
5.0,250.0,350.0,8.0,20.0,4.0,1.0,2.04164183058506,21.039390065167,6.83648448151889,2.2294042,19.666838,6.9782
5.0,250.0,350.0,8.0,20.0,4.0,25.75,7.88124585656234,135.67022377504,6.60879552660356,7.9989014,136.54291,6.7506037
5.0,250.0,350.0,8.0,20.0,4.0,50.5,5.00554313972365,398.228751528037,6.28221180282127,4.9561505,405.79163,6.3383517
5.0,250.0,350.0,8.0,20.0,4.0,75.25,3.81320267468276,733.984105259678,5.91957014990609,3.61993,774.15936,5.927124
5.0,250.0,350.0,8.0,20.0,4.0,100.0,3.18682219045339,1099.16681553014,5.57495764885185,2.9615812,1177.8342,5.5517263
25.0,200.0,100.0,16.0,15.0,2.0,1.0,5.87012449813207,5.45257806011236,5.09412192762631,5.5965214,5.6350026,5.0191765
25.0,200.0,100.0,16.0,15.0,2.0,25.75,17.1075372518829,47.0035618664644,4.97005462538917,17.550613,45.611477,4.94777
25.0,200.0,100.0,16.0,15.0,2.0,50.5,10.5816558528654,146.633560612188,4.89007777853846,10.687285,145.28596,4.8935018
25.0,200.0,100.0,16.0,15.0,2.0,75.25,7.78768182392625,290.735107271075,4.78871845788139,7.8629656,289.3054,4.8112316
25.0,200.0,100.0,16.0,15.0,2.0,100.0,6.32829504654686,464.484415408736,4.67819152472006,6.4286275,461.3116,4.719899
25.0,250.0,100.0,12.0,20.0,4.0,1.0,5.51828884205272,4.28569704153155,3.76396891202272,5.268952,4.482897,3.7592669
25.0,250.0,100.0,12.0,20.0,4.0,25.75,34.9462398462185,17.1996520571068,3.71503588305942,35.64687,16.797346,3.7008812
25.0,250.0,100.0,12.0,20.0,4.0,50.5,24.4278812792522,48.0850135745554,3.70189671174459,25.69839,45.79863,3.7092597
25.0,250.0,100.0,12.0,20.0,4.0,75.25,18.0414326370221,96.5888807409235,3.68563040508747,18.53405,94.37353,3.6994228
25.0,250.0,100.0,12.0,20.0,4.0,100.0,14.2767427414947,161.319744133771,3.66553009902459,14.380994,161.06126,3.686378
25.0,200.0,100.0,12.0,20.0,6.0,1.0,4.54917289057772,5.340344542826,3.86653415948255,4.3506846,5.615443,3.8883185
25.0,200.0,100.0,12.0,20.0,6.0,25.75,29.9229051584583,20.4508350868951,3.78231505137438,30.560106,20.257845,3.8264065
25.0,200.0,100.0,12.0,20.0,6.0,50.5,22.6987437256286,52.6199461644365,3.7642718028692,22.657696,53.46179,3.8175778
25.0,200.0,100.0,12.0,20.0,6.0,75.25,17.3163413332465,102.273562909806,3.74570138011022,16.825644,106.55198,3.79181
25.0,200.0,100.0,12.0,20.0,6.0,100.0,13.9178074492308,168.125221237166,3.72412135269104,13.342734,177.25916,3.7642076
30.0,200.0,250.0,12.0,20.0,2.0,1.0,9.19306960035773,4.7702654149168,6.97948251206286,8.763706,4.9756684,6.939999
30.0,200.0,250.0,12.0,20.0,2.0,25.75,8.25471850645067,131.544573734306,6.71147696955343,8.109031,136.01518,6.817095
