tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L,,er_Q,err_R,err_L,,total,
20,250,250,12,20,6,1,7.78690824562362,5.5485100410531,6.87640686647141,7.7991805,5.4319253,6.7425303,,0.157601117019427,2.10119005265371,1.94689710878187,,Q,4.96809110413148
20,250,250,12,20,6,25.75,8.29640771745883,129.799699238985,6.65589820463454,8.282088,122.72085,6.282049,,0.172601419150319,5.45367152658154,5.61681073148365,,R,6.37197024594963
20,250,250,12,20,6,50.5,4.78154974208618,417.268241144741,6.28800332694769,4.796536,391.82214,5.9230485,,0.31341842545135,6.09825973693365,5.80398590731735,,L,3.47666767944553
20,250,250,12,20,6,75.25,3.5599474642082,780.3712025648,5.87568426963236,3.5443225,743.4141,5.572852,,0.438909966096242,4.73583628449324,5.1539915307823,,,
20,250,250,12,20,6,100,2.95181557256772,1167.42268966935,5.48450555993825,2.9676516,1107.6521,5.231619,,0.536484310857684,5.11987561988184,4.61092722351251,,,
15,200,250,12,20,2,1,4.99989431138068,9.1574708265024,7.28712970469703,5.1576767,8.653514,7.1034083,,3.15571447700761,5.50323158053546,2.52117654196013,,,
15,200,250,12,20,2,25.75,7.74753670839069,145.264479741441,6.95610251776218,7.6797104,137.41284,6.522517,,0.875456431425916,5.40506513045466,6.23316744764808,,,
15,200,250,12,20,2,50.5,4.61956941629477,449.955255782187,6.55087903427649,4.579823,429.01648,6.19229,,0.860392229513219,4.65352399224401,5.4739071260548,,,
15,200,250,12,20,2,75.25,3.47755479740122,830.472435580275,6.10819413577962,3.4758418,801.1353,5.8895144,,0.0492586745865325,3.53258390325456,3.58010454347991,,,
15,200,250,12,20,2,100,2.90141389314907,1233.04372041909,5.69387978609543,2.9622843,1171.8713,5.52493,,2.09795668913902,4.96109094966224,2.96721730072365,,,
15,250,100,8,20,2,1,2.78665688320873,7.02240628595761,3.11450894040817,2.6697001,7.3545594,3.1249225,,4.19702848648014,4.7299045443523,0.334356387831247,,,
15,250,100,8,20,2,25.75,36.8733871096474,13.4356279035383,3.06206142716873,32.741344,15.785256,3.194414,,11.2060307813879,17.4880408517634,4.32233565456742,,,
15,250,100,8,20,2,50.5,38.0738133701813,25.4626014690846,3.05532844230389,35.467087,27.964018,3.1257477,,6.84650719074764,9.82388438963117,2.30480156310167,,,
15,250,100,8,20,2,75.25,32.8855296301336,43.8549130233428,3.0502590341177,29.976637,49.576088,3.1431756,,8.84550944701261,13.0456876601533,3.0461860728224,,,
15,250,100,8,20,2,100,27.9035796566594,68.5672954562632,3.04506853939085,25.453642,78.806305,3.1924999,,8.78001205151721,14.9327889857752,4.84164342122306,,,
15,200,150,16,20,4,1,4.30534999828629,8.97508083429121,6.14988455145217,4.3681455,8.730433,6.069502,,1.45854580321473,2.72585661130183,1.30705789319557,,,
15,200,150,16,20,4,25.75,11.2085696415619,85.9948152399169,5.95751796374831,10.826658,86.21378,5.769182,,3.40731827320547,0.254625536984069,3.16131591871549,,,
15,200,150,16,20,4,50.5,6.78648715313557,270.349410475334,5.78228124733261,6.612844,263.96982,5.501376,,2.55866030860077,2.35975749461309,4.85803500931735,,,
15,200,150,16,20,4,75.25,4.98053734226106,528.037145868953,5.56229864667191,4.930281,515.8845,5.3794475,,1.00905462217145,2.30147556171531,3.2873306215105,,,
15,200,150,16,20,4,100,4.05049389011173,826.551743718643,5.32841643866205,4.1151066,796.02356,5.213471,,1.59518102338101,3.69343891058741,2.15721575040617,,,
20,200,150,16,20,2,1,5.61153808048859,6.85546204182649,6.12264073496214,5.722631,6.4777164,5.899808,,1.97972316890589,5.51014124973329,3.63948734881171,,,
20,200,150,16,20,2,25.75,11.5850797428306,82.8577193110965,5.93300754684983,11.135802,83.15813,5.723599,,3.87807207894822,0.362562102120599,3.52955133119655,,,
20,200,150,16,20,2,50.5,6.86526408964937,266.237062234343,5.76042483509065,6.6762104,260.58835,5.4829416,,2.75377155460637,2.12168515793304,4.81706198821156,,,
20,200,150,16,20,2,75.25,5.01090977862549,522.935265538553,5.54214828271035,4.947249,509.14835,5.327477,,1.27044352099575,2.63644784490761,3.87343087481172,,,
20,200,150,16,20,2,100,4.06580995942444,820.522060987161,5.30954699629348,4.1117682,784.5865,5.134396,,1.13035879773549,4.37959717303973,3.29879359605915,,,
15,200,250,8,20,6,1,3.79789234493848,8.87159681189552,5.36246632433048,3.686966,9.002694,5.2827706,,2.92073431429181,1.47771805779877,1.48617668644158,,,
15,200,250,8,20,6,25.75,14.6752330961266,57.6211845075615,5.22648957129077,14.884108,57.944847,5.330655,,1.42331574909382,0.561707460900995,1.99302853834078,,,
15,200,250,8,20,6,50.5,9.36741546183419,173.874280142173,5.13314912043055,9.227718,171.85176,4.99778,,1.49131275754088,1.16320834830731,2.637155423593,,,
15,200,250,8,20,6,75.25,6.9141813009665,342.926497714937,5.01482098688699,6.8217845,340.96408,4.919491,,1.33633754951703,0.572256074702126,1.90096490256111,,,
15,200,250,8,20,6,100,5.60140799581591,547.821215731726,4.88378105699179,5.6675334,541.6825,4.886064,,1.18051397494137,1.12056918488025,0.0467454003684699,,,
20,250,350,8,20,2,1,7.51357561761619,5.5512566453487,6.63831870913661,7.477393,5.3222165,6.3337784,,0.481563232442306,4.12591526534103,4.58761205179043,,,
20,250,350,8,20,2,25.75,9.18053980440144,113.564234074755,6.44395787000802,9.907491,96.21457,5.8917923,,7.91839272076396,15.2774015658261,8.56873339563489,,,
20,250,350,8,20,2,50.5,5.3224597673104,365.931522176473,6.13819898431469,5.5921645,319.7134,5.6346846,,5.06729490650316,12.630265329857,8.20296614041596,,,
20,250,350,8,20,2,75.25,3.96422843216814,690.933772650763,5.79306926006333,4.1118717,626.00885,5.4441943,,3.72438849975934,9.39669259496158,6.02228187514395,,,
20,250,350,8,20,2,100,3.28060708647033,1046.17776269883,5.46235390844786,3.436589,954.8467,5.2225337,,4.75466611570038,8.72997553142621,4.39041871814575,,,
15,250,350,16,15,4,1,8.92505900482328,8.7749923011853,12.464589253075,8.985255,8.192384,11.715504,,0.674460472969297,6.63941666486251,6.00970668078935,,,
15,250,350,16,15,4,25.75,2.63785915672059,592.510680207269,9.66030158474199,2.787536,522.658,9.004948,,5.67417873308632,11.7892693820867,6.78398680406719,,,
15,250,350,16,15,4,50.5,1.79612310337317,1312.31526853178,7.4285326156475,1.8154805,1253.4788,7.171951,,1.07773217718075,4.48340958477198,3.45400133408629,,,
15,250,350,16,15,4,75.25,1.5331277689516,1852.22240809073,6.00599700463106,1.5196121,1818.6683,5.8452044,,0.881574857967806,1.81155934320638,2.67720087950555,,,
15,250,350,16,15,4,100,1.44898250718098,2226.1798485963,5.13385408953155,1.4433093,2214.2524,5.0863523,,0.391530412055664,0.535780997380821,0.925265671815857,,,
20,200,350,12,15,2,1,8.25728380118009,7.4847997806793,9.83643056229113,8.606205,6.8532863,9.387085,,4.22561713053925,8.43727954232579,4.56817703785494,,,
20,200,350,12,15,2,25.75,4.06006950858375,344.929671192227,8.65579418716602,4.541522,282.27637,7.923534,,11.8582327321828,18.1640799342283,8.45976892856053,,,
20,200,350,12,15,2,50.5,2.6525045024335,890.183024797461,7.44156349294085,2.7445126,815.17786,7.05093,,3.46872540582263,8.42581387288604,5.24934703992527,,,
20,200,350,12,15,2,75.25,2.11880011949668,1444.18986424143,6.47184204003799,2.1340995,1349.1926,6.089786,,0.722077574120323,6.57789301764197,5.90335854420433,,,
20,200,350,12,15,2,100,1.85249255320979,1934.19826258974,5.70266147297061,1.8847789,1793.5195,5.380052,,1.74285973426818,7.27323384115659,5.65717383891205,,,
10,200,100,8,15,6,1,1.66240641228348,13.0523277926542,3.45338747099187,1.5450804,13.585635,3.3408058,,7.05760104247439,4.08591644201537,3.26003589048566,,,
10,200,100,8,15,6,25.75,22.070869296377,24.6579529769882,3.36371628024652,23.97731,22.469194,3.3298995,,8.63781429730974,8.87648288984425,1.00533985119701,,,
10,200,100,8,15,6,50.5,24.5842813088735,43.1936767617731,3.34662032408976,28.516495,35.78863,3.2163994,,15.9948287351691,17.143821311194,3.89111735061188,,,
10,200,100,8,15,6,75.25,22.4227131317624,70.3260390605784,3.33516976986994,27.031782,56.351402,3.221758,,20.5553576017022,19.871213063117,3.4004796665677,,,
10,200,100,8,15,6,100,19.7021596934949,106.017991700103,3.32440203613327,24.613737,83.29341,3.2629347,,24.9291315414866,21.4346464554666,1.8489742054413,,,
10,200,150,12,20,2,1,2.49252119110915,13.257962854014,5.25939499616662,2.216986,14.033824,4.9517546,,11.0544773738328,5.85203891826487,5.84934952386819,,,
10,200,150,12,20,2,25.75,14.622518706885,56.2063528732285,5.07984533416827,14.356861,59.460484,5.2763176,,1.8167711883994,5.78961444822988,3.8676820435892,,,
10,200,150,12,20,2,50.5,10.3578468431972,153.358953360956,5.0061905312682,9.786729,158.92044,4.901694,,5.51386646127421,3.62645057048226,2.08734626889497,,,
10,200,150,12,20,2,75.25,7.81194375495611,297.60880140082,4.91720716649907,7.394135,309.1108,4.8340936,,5.34833286134505,3.86480458408522,1.69025960641485,,,
10,200,150,12,20,2,100,6.33671970170783,477.495465302148,4.81563852493551,6.194801,490.60938,4.8370795,,2.23962410187689,2.74639565206213,0.445236388766884,,,
15,200,350,8,20,6,1,4.72964888906003,9.0039952627986,6.77773042013197,4.6307073,9.105525,6.710772,,2.09194363854129,1.12760762570462,0.987918019475699,,,
15,200,350,8,20,6,25.75,8.75695769434263,120.632849823932,6.52922654416739,9.16429,112.92427,6.396305,,4.65152761809646,6.3901166516276,2.03579311068828,,,
15,200,350,8,20,6,50.5,5.26441642533004,374.577053441251,6.21469984367247,5.3460665,352.5663,5.940238,,1.55098054700034,5.87616172401313,4.41633305833612,,,
15,200,350,8,20,6,75.25,3.96035888791145,700.312680005713,5.86597436480454,4.010418,672.9555,5.7080736,,1.26400443761169,3.90642362858399,2.69180795865619,,,
15,200,350,8,20,6,100,3.29306389834825,1055.82305638839,5.53364674134851,3.3933399,1010.45325,5.4571223,,3.04506698767816,4.29710320435552,1.38289350450769,,,
10,250,250,12,20,2,1,4.16117963646623,10.806656832615,7.15694956486041,4.1138253,10.388153,6.8014946,,1.13800269642874,3.87264848969696,4.96657076648469,,,
10,250,250,12,20,2,25.75,7.74424723344601,143.945302712299,6.8900060760767,7.666498,135.2411,6.4083886,,1.00396114822142,6.04688207832384,6.99008782806389,,,
10,250,250,12,20,2,50.5,4.59823799609335,447.957650488799,6.49168080420603,4.5873656,418.9257,6.0566015,,0.23644700649656,6.48095873730924,6.70210562300194,,,
10,250,250,12,20,2,75.25,3.45204132867883,828.766847422007,6.05092798061253,3.5051804,782.3909,5.8002605,,1.53935211840316,5.59577733668592,4.14262872431601,,,
10,250,250,12,20,2,100,2.87474452310511,1231.98611633843,5.63670362616637,3.0071611,1146.0127,5.4848666,,4.60620329321863,6.97844035726235,2.69372023502391,,,
20,200,100,12,15,2,1,4.02524190422373,6.70139415024307,4.29316202395863,3.7227376,6.6730943,3.9537559,,7.51518322181604,0.422297951867878,7.9057375907204,,,
20,200,100,12,15,2,25.75,23.6975933082117,28.5584958590955,4.18294804292526,28.334475,23.429493,4.1031857,,19.5668886349802,17.9596393465589,1.90684517490397,,,
20,200,100,12,15,2,50.5,17.0850586400714,77.11396258664,4.15219984280292,18.511244,67.88858,3.9606006,,8.34755905714962,11.9633102452425,4.61440320930176,,,
20,200,100,12,15,2,75.25,12.8852600761786,151.048989046698,4.11646700840899,13.7423315,135.21196,3.9299672,,6.65156480159758,10.4846971480239,4.53057945145714,,,
20,200,100,12,15,2,100,10.386591029279,246.482430845211,4.07454512310246,11.309418,219.54677,3.9517305,,8.88479163297778,10.928024668065,3.01419224457984,,,
10,250,100,8,15,6,1,1.98154855748022,10.4375734318478,3.29173143339234,1.8917555,10.782949,3.2465546,,4.53145885026421,3.30896419946007,1.37243375732456,,,
10,250,100,8,15,6,25.75,28.3922075870693,18.4896032980723,3.24466342441176,28.062637,18.534433,3.2147763,,1.16077830883217,0.24245897115799,0.921116322478914,,,
10,250,100,8,15,6,50.5,29.6687677883919,34.6088227328785,3.23604900258643,32.768593,30.11084,3.1096354,,10.4481090475922,12.9966360531686,3.90641805749521,,,
10,250,100,8,15,6,75.25,25.671070524945,59.4641212539292,3.22858788346715,29.959103,49.267067,3.1217563,,16.7037540210419,17.1482467728478,3.30892598631773,,,
10,250,100,8,15,6,100,21.7994341779435,92.8191936945752,3.22035051406585,26.622658,74.811485,3.1698563,,22.1254541869559,19.4008458571944,1.56797261184152,,,
20,200,250,12,20,6,1,6.41278489325926,6.8857269558245,7.02775481585167,6.6044493,6.689984,7.0320487,,2.98878583846164,2.84273479155204,0.0610989464038359,,,
20,200,250,12,20,6,25.75,8.08630053273813,135.158081696511,6.75514686579514,8.096791,129.82726,6.4971347,,0.129731355140679,3.94413832276862,3.81949010023145,,,
20,200,250,12,20,6,50.5,4.74580959492312,426.293631528117,6.37599412567809,4.740892,409.10635,6.1125855,,0.103619726513702,4.03179411020203,4.13125577731106,,,
20,200,250,12,20,6,75.25,3.55373272383771,792.511788055839,5.95667793787962,3.509497,772.9148,5.7370677,,1.24476788985805,2.47276928257605,3.68679052602589,,,
20,200,250,12,20,6,100,2.95588674123614,1182.06523034879,5.56095478780755,2.9345212,1145.7002,5.35092,,0.722813257290272,3.07639793601406,3.7769555017432,,,
15,200,150,8,20,4,1,2.83945713297626,8.81087589502275,3.98175498330497,2.6850555,9.159993,3.9144301,,5.43771663896964,3.96234278109019,1.69083440812544,,,
15,200,150,8,20,4,25.75,24.3579902316693,25.7358085992799,3.87455801611286,23.985332,27.323103,4.0505958,,1.52992191935764,6.16764922927082,4.54342877703892,,,
15,200,150,8,20,4,50.5,20.5174045079747,59.5804850274509,3.85261142924838,19.596321,63.61815,3.9290195,,4.48927888328513,6.77682461075771,1.98327996879059,,,
15,200,150,8,20,4,75.25,16.2861927375304,111.243966380439,3.83186025783882,15.06411,122.428024,3.9006574,,7.50379635821327,10.0536307572071,1.79539799293156,,,
15,200,150,8,20,4,100,13.3335827801856,179.467738319999,3.80849494050103,12.4994335,197.29216,3.924824,,6.256002560881,9.93182498807627,3.05446275540191,,,
10,250,350,8,15,2,1,4.13682183701474,10.7757595981181,7.09471318074591,3.9364052,10.382694,6.5047398,,4.8447007125491,3.64768343743252,8.3156762749341,,,
10,250,350,8,15,2,25.75,7.69198320875013,143.234531809015,6.80971535113325,8.702281,115.34021,6.203789,,13.134425333906,19.4745788300607,8.89796885610518,,,
10,250,350,8,15,2,50.5,4.76308863324873,426.080172009294,6.39600421146588,5.2971888,346.92603,5.791767,,11.2133157259133,18.5772883154881,9.44710465297515,,,
10,250,350,8,15,2,75.25,3.68839869953999,768.484551333394,5.99496468353908,4.078183,651.7789,5.621867,,10.567846163394,15.1864668106728,6.22351762243952,,,
10,250,350,8,15,2,100,3.11425853578506,1137.54427621413,5.63823411030911,3.5161734,967.6226,5.4149737,,12.9056357908841,14.937587904679,3.9597577174189,,,
15,200,350,8,15,2,1,4.95869376504012,9.1383452079551,7.21198774030941,4.959296,8.64977,6.827232,,0.0121450323092274,5.34642976202941,5.33494723180024,,,
15,200,350,8,15,2,25.75,7.7332607484397,143.568915933065,6.86224110985664,8.560276,120.48801,6.3749175,,10.6942631118078,16.0765342435446,7.10152269579495,,,
15,200,350,8,15,2,50.5,4.80692699926242,425.529341967636,6.44652679382788,5.1061363,371.62143,5.980284,,6.22454430415713,12.668435910522,7.2324649961011,,,
