tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L,,er_Q,err_R,err_L,,total,
20,250,250,12,20,6,1,7.78690824562362,5.5485100410531,6.87640686647141,7.5436344,5.3383775,6.4092913,,3.12413910566294,3.78718862358258,6.79301814947882,,Q,5.41038137820924
20,250,250,12,20,6,25.75,8.29640771745883,129.799699238985,6.65589820463454,10.502367,94.38465,6.1267724,,26.5893306798192,27.2843846685495,7.94972802117236,,R,6.14185709618569
20,250,250,12,20,6,50.5,4.78154974208618,417.268241144741,6.28800332694769,5.6569552,329.6371,5.87689,,18.3079860114951,21.0011528565731,6.5380583560736,,L,2.72007395147412
20,250,250,12,20,6,75.25,3.5599474642082,780.3712025648,5.87568426963236,4.1016345,652.645,5.6617074,,15.2161525201688,16.3673649341506,3.64173532499472,,,
20,250,250,12,20,6,100,2.95181557256772,1167.42268966935,5.48450555993825,3.3815017,1013.30817,5.4534492,,14.5566725585943,13.2012612940562,0.566256330654535,,,
15,200,250,12,20,2,1,4.99989431138068,9.1574708265024,7.28712970469703,5.0115824,9.158336,7.304855,,0.233766713682647,0.00944773413960149,0.243241111675904,,,
15,200,250,12,20,2,25.75,7.74753670839069,145.264479741441,6.95610251776218,7.9652514,136.33153,6.711797,,2.81011500563168,6.14943842936755,3.51210346797441,,,
15,200,250,12,20,2,50.5,4.61956941629477,449.955255782187,6.55087903427649,4.5943685,431.7914,6.252137,,0.545525221590516,4.03681378287526,4.56033507432159,,,
15,200,250,12,20,2,75.25,3.47755479740122,830.472435580275,6.10819413577962,3.5006034,791.6444,5.8612013,,0.662781866615134,4.67541533189415,4.04363106818795,,,
15,200,250,12,20,2,100,2.90141389314907,1233.04372041909,5.69387978609543,3.0073502,1152.2495,5.5150642,,3.65119596004799,6.55242138467155,3.14048755528878,,,
