tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
5,250,100,8,15,6,1.0,1.0900311,19.325254,3.352619
5,250,100,8,15,6,25.75,21.209225,25.17517,3.3001993
5,250,100,8,15,6,50.5,24.615376,42.20186,3.27391
5,250,100,8,15,6,75.25,23.07221,66.41943,3.2411413
5,250,100,8,15,6,100.0,20.630423,97.82259,3.2119384
5,250,100,12,20,4,1.0,1.2582916,19.647644,3.9347029
5,250,100,12,20,4,25.75,18.293257,34.462044,3.896504
5,250,100,12,20,4,50.5,17.499506,69.205284,3.8167493
5,250,100,12,20,4,75.25,14.5251875,122.87057,3.7747052
5,250,100,12,20,4,100.0,12.233429,192.24745,3.7430768
5,250,350,8,20,4,1.0,2.1811025,19.709455,6.841807
5,250,350,8,20,4,25.75,8.067086,130.204,6.4920816
5,250,350,8,20,4,50.5,5.115536,377.8304,6.0913944
5,250,350,8,20,4,75.25,3.927089,691.415,5.742791
5,250,350,8,20,4,100.0,3.3252227,1027.486,5.437719
25,200,100,16,15,2,1.0,5.8930902,5.458521,5.119626
25,200,100,16,15,2,25.75,16.911194,47.983616,5.0154557
25,200,100,16,15,2,50.5,10.248577,152.7407,4.933409
25,200,100,16,15,2,75.25,7.4835715,304.88174,4.8256273
25,200,100,16,15,2,100.0,6.032397,490.2415,4.7067375
25,250,100,12,20,4,1.0,5.469703,4.352993,3.7894115
25,250,100,12,20,4,25.75,36.819134,16.593704,3.776244
25,250,100,12,20,4,50.5,24.59421,47.742977,3.7005906
25,250,100,12,20,4,75.25,17.893314,97.276,3.681374
25,250,100,12,20,4,100.0,14.138411,162.66096,3.660193
25,200,100,12,20,6,1.0,4.5222735,5.4100366,3.8938313
25,200,100,12,20,6,25.75,30.691944,20.211763,3.8341725
25,200,100,12,20,6,50.5,22.61104,53.055412,3.7807574
25,200,100,12,20,6,75.25,17.126488,103.86878,3.7624161
25,200,100,12,20,6,100.0,13.819584,169.98825,3.738814
30,200,250,12,20,2,1.0,8.901088,4.897626,6.938232
30,200,250,12,20,2,25.75,8.279009,132.77655,6.794271
30,200,250,12,20,2,50.5,4.7284837,426.25043,6.3520727
30,200,250,12,20,2,75.25,3.5198052,794.6439,5.9156795
30,200,250,12,20,2,100.0,2.9349391,1181.0483,5.5167937
30,250,100,12,15,6,1.0,6.948867,3.6634111,4.051537
30,250,100,12,15,6,25.75,33.371296,19.940134,4.112862
30,250,100,12,15,6,50.5,19.236473,66.39074,4.024961
30,250,100,12,15,6,75.25,13.551404,138.82309,3.978867
30,250,100,12,15,6,100.0,10.674228,231.35757,3.9304314
30,200,350,8,15,4,1.0,8.957584,4.8430185,6.9044204
30,200,350,8,15,4,25.75,8.39107,126.70266,6.571223
30,200,350,8,15,4,50.5,4.9812717,395.5258,6.2093177
30,200,350,8,15,4,75.25,3.8066192,725.0791,5.837655
30,200,350,8,15,4,100.0,3.22882,1071.8025,5.507803
35,200,250,12,15,4,1.0,10.263555,4.4185095,7.217615
35,200,250,12,15,4,25.75,7.2853785,154.2147,6.944179
35,200,250,12,15,4,50.5,4.266616,477.92944,6.4265227
35,200,250,12,15,4,75.25,3.273303,860.7843,5.9592834
35,200,250,12,15,4,100.0,2.794776,1248.6425,5.5539904
35,250,250,16,20,2,1.0,11.83498,4.119678,7.7598076
35,250,250,16,20,2,25.75,5.2891297,243.00038,7.943908
35,250,250,16,20,2,50.5,2.9920428,733.46136,6.916301
35,250,250,16,20,2,75.25,2.3154254,1241.1636,6.0781755
35,250,250,16,20,2,100.0,2.0091064,1689.2568,5.4015527
35,250,350,12,15,6,1.0,12.252961,4.3359156,8.455553
35,250,350,12,15,6,25.75,4.298152,311.84747,8.284513
35,250,350,12,15,6,50.5,2.6180382,863.2777,7.122875
35,250,350,12,15,6,75.25,2.1188662,1394.7587,6.250519
35,250,350,12,15,6,100.0,1.8938166,1849.1802,5.5736184
40,200,100,16,15,6,1.0,8.607313,3.5911512,4.919506
40,200,100,16,15,6,25.75,19.484058,41.47116,4.9942317
40,200,100,16,15,6,50.5,10.537259,145.2021,4.822022
40,200,100,16,15,6,75.25,7.509204,295.2311,4.6888843
40,200,100,16,15,6,100.0,6.033377,475.3925,4.5649166
40,200,250,8,15,2,1.0,8.99973,3.7508209,5.3724947
40,200,250,8,15,2,25.75,15.872217,53.907543,5.288471
40,200,250,8,15,2,50.5,8.842792,185.1151,5.1589327
40,200,250,8,15,2,75.25,6.4826674,365.39868,5.009959
40,200,250,8,15,2,100.0,5.326705,573.28595,4.860152
40,200,100,12,15,4,1.0,7.3566117,3.5304427,4.133588
40,200,100,12,15,4,25.75,32.05135,21.299786,4.2195344
40,200,100,12,15,4,50.5,18.328938,71.082565,4.1060953
40,200,100,12,15,4,75.25,12.990069,147.28629,4.0465713
40,200,100,12,15,4,100.0,10.316121,243.10909,3.9915144
20,50,350,8,15,6,1.0,2.2672524,23.370052,8.432954
20,50,350,8,15,6,25.75,5.553879,207.77905,7.1324916
20,50,350,8,15,6,50.5,4.3094845,493.059,6.6965775
20,50,350,8,15,6,75.25,3.7217066,806.37177,6.3473244
20,50,350,8,15,6,100.0,3.4218216,1111.4133,6.0527515
10,50,150,16,15,6,1.0,1.3761407,38.462883,8.424127
10,50,150,16,15,6,25.75,4.80921,235.77742,7.0084023
10,50,150,16,15,6,50.5,4.145085,509.90176,6.6611395
10,50,150,16,15,6,75.25,3.7333164,809.83514,6.394479
10,50,150,16,15,6,100.0,3.5072484,1100.1282,6.1408696
15,50,350,16,15,6,1.0,3.05824,29.627731,14.420824
15,50,350,16,15,6,25.75,2.4100368,705.68896,10.511871
15,50,350,16,15,6,50.5,1.8739517,1376.1205,8.127247
15,50,350,16,15,6,75.25,1.7144144,1836.3738,6.658716
15,50,350,16,15,6,100.0,1.6679538,2141.4614,5.6847897
10,100,250,12,15,2,1.0,2.2948527,24.334038,8.887693
10,100,250,12,15,2,25.75,5.2135243,240.49812,7.749724
10,100,250,12,15,2,50.5,3.682375,614.24445,7.1284966
10,100,250,12,15,2,75.25,3.0145507,1035.4691,6.6019654
10,100,250,12,15,2,100.0,2.6749523,1444.1364,6.148146
20,100,150,16,20,4,1.0,3.1135018,13.51097,6.6950817
20,100,150,16,20,4,25.75,9.097583,111.92668,6.293651
20,100,150,16,20,4,50.5,6.1472354,314.64676,6.095814
20,100,150,16,20,4,75.25,4.7445354,584.08954,5.861199
20,100,150,16,20,4,100.0,3.9881291,885.4999,5.6205363
20,100,350,8,15,6,1.0,3.5910952,13.298792,7.6007986
20,100,350,8,15,6,25.75,6.8947315,162.75719,6.935864
20,100,350,8,15,6,50.5,4.6509886,444.27304,6.512141
20,100,350,8,15,6,75.25,3.715061,780.29175,6.131073
20,100,350,8,15,6,100.0,3.2376554,1126.6622,5.8055615
20,150,100,8,15,6,1.0,2.4657354,9.032902,3.544818
20,150,100,8,15,6,25.75,23.534277,23.575352,3.429274
20,150,100,8,15,6,50.5,24.54612,44.44415,3.4381618
20,150,100,8,15,6,75.25,21.887508,73.98081,3.4247506
20,150,100,8,15,6,100.0,19.405363,110.350204,3.408121
15,150,100,16,15,6,1.0,2.8581107,11.87854,5.40334
15,150,100,16,15,6,25.75,13.344483,62.340496,5.141799
15,150,100,16,15,6,50.5,9.468889,169.413,5.055621
15,150,100,16,15,6,75.25,7.273774,322.51334,4.961591
15,150,100,16,15,6,100.0,6.008675,507.50595,4.853333
15,150,350,16,15,6,1.0,6.021206,13.52128,12.95751
15,150,350,16,15,6,25.75,2.5283418,643.1008,10.04981
15,150,350,16,15,6,50.5,1.7748946,1379.6467,7.717365
15,150,350,16,15,6,75.25,1.5441175,1917.6569,6.262743
15,150,350,16,15,6,100.0,1.452809,2291.5513,5.29856
15,250,50,16,15,4,1.0,3.2686894,6.8291078,3.5526938
15,250,50,16,15,4,25.75,31.891253,17.45749,3.4410934
15,250,50,16,15,4,50.5,27.082195,40.276173,3.4376428
15,250,50,16,15,4,75.25,21.322289,76.12567,3.4330368
15,250,50,16,15,4,100.0,17.422222,123.348885,3.4202578
15,200,50,16,15,2,1.0,2.702194,8.635013,3.7136388
15,200,50,16,15,2,25.75,25.65092,22.642624,3.5898213
15,200,50,16,15,2,50.5,23.53496,48.422523,3.5916147
15,200,50,16,15,2,75.25,19.331083,87.51089,3.5779285
15,200,50,16,15,2,100.0,16.224653,137.68333,3.5553045
10,250,50,16,20,4,1.0,1.929187,10.531953,3.2337272
10,250,50,16,20,4,25.75,27.498804,18.513323,3.1465976
10,250,50,16,20,4,50.5,30.490128,32.878628,3.159379
10,250,50,16,20,4,75.25,26.91787,55.255856,3.1458092
10,250,50,16,20,4,100.0,23.304527,84.32654,3.127697
20,200,200,16,20,2,1.0,6.6300354,7.114796,7.507554
20,200,200,16,20,2,25.75,7.142406,164.42667,7.2587166
20,200,200,16,20,2,50.5,4.172882,511.0344,6.720707
20,200,200,16,20,2,75.25,3.116747,936.18494,6.1713004
