tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,250,12,20,6,1.0,5.565921,9.22776,8.174355
20,250,250,12,20,6,25.75,10.175419,114.24063,7.1848197
20,250,250,12,20,6,50.5,2.9283774,707.3977,6.528592
20,250,250,12,20,6,75.25,2.3744845,1111.7313,5.5831933
20,250,250,12,20,6,100.0,2.337422,1469.2722,5.4658704
15,200,250,12,20,2,1.0,5.9092016,9.303991,8.750203
15,200,250,12,20,2,25.75,11.37781,89.095,6.265489
15,200,250,12,20,2,50.5,5.09535,334.9503,5.3787713
15,200,250,12,20,2,75.25,3.3778255,715.2927,5.11016
15,200,250,12,20,2,100.0,4.452133,665.3142,4.7142754
15,250,100,8,20,2,1.0,2.5362396,9.667826,3.9024668
15,250,100,8,20,2,25.75,31.927383,17.273611,3.4087057
15,250,100,8,20,2,50.5,20.25367,61.372536,3.9174786
15,250,100,8,20,2,75.25,22.322935,74.443924,3.514746
15,250,100,8,20,2,100.0,19.659365,117.02608,3.6616104
15,200,150,16,20,4,1.0,3.7801223,7.6402884,4.5965886
15,200,150,16,20,4,25.75,27.609577,24.914646,4.2516494
15,200,150,16,20,4,50.5,13.971815,101.034615,4.4488897
15,200,150,16,20,4,75.25,9.963028,210.57846,4.4373
15,200,150,16,20,4,100.0,11.871562,212.18796,4.0091166
20,200,150,16,20,2,1.0,3.1124191,7.563377,3.7465718
20,200,150,16,20,2,25.75,18.971092,37.11401,4.351844
20,200,150,16,20,2,50.5,17.277365,78.14934,4.2553134
20,200,150,16,20,2,75.25,14.214425,129.08803,3.8808668
20,200,150,16,20,2,100.0,9.0073595,297.88562,4.2703857
15,200,250,8,20,6,1.0,3.2653081,8.58932,4.4637833
15,200,250,8,20,6,25.75,17.175192,47.061146,4.9958243
15,200,250,8,20,6,50.5,8.282081,201.83821,5.2683134
15,200,250,8,20,6,75.25,13.557343,141.08908,4.0455856
15,200,250,8,20,6,100.0,14.136213,179.95522,4.0487175
20,250,350,8,20,2,1.0,3.286462,10.659863,5.5757127
20,250,350,8,20,2,25.75,12.487431,78.44802,6.054777
20,250,350,8,20,2,50.5,5.0638137,402.23364,6.419258
20,250,350,8,20,2,75.25,5.6214447,462.0568,5.4935975
20,250,350,8,20,2,100.0,4.3508625,756.9602,5.2416553
15,250,350,16,15,4,1.0,7.1639085,8.489343,9.679304
15,250,350,16,15,4,25.75,6.277305,226.34146,8.7817335
15,250,350,16,15,4,50.5,2.1181784,969.7515,6.4736876
15,250,350,16,15,4,75.25,1.8671325,1427.1904,5.6359935
15,250,350,16,15,4,100.0,1.6247787,1907.4183,4.932423
20,200,350,12,15,2,1.0,4.489721,9.938209,7.10146
20,200,350,12,15,2,25.75,6.8244853,220.78326,9.312775
20,200,350,12,15,2,50.5,2.0966866,993.5877,6.5655084
20,200,350,12,15,2,75.25,2.0026224,1312.9149,5.560952
20,200,350,12,15,2,100.0,1.8763345,1705.0846,5.09186
10,200,100,8,15,6,1.0,1.850151,14.2196045,4.1871147
10,200,100,8,15,6,25.75,24.445864,23.136314,3.495768
10,200,100,8,15,6,50.5,20.484816,58.278442,3.762433
10,200,100,8,15,6,75.25,15.7991,111.10535,3.712623
10,200,100,8,15,6,100.0,17.15493,141.02814,3.8504794
10,200,150,12,20,2,1.0,2.644454,10.77377,4.534442
10,200,150,12,20,2,25.75,17.044485,43.083412,4.5387583
