tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
5,250,100,8,15,6,1.0,1.1535414,18.480713,3.3929076
5,250,100,8,15,6,25.75,16.247198,33.22302,3.3362663
5,250,100,8,15,6,50.5,18.977018,55.549465,3.322283
5,250,100,8,15,6,75.25,18.209652,84.44319,3.2522182
5,250,100,8,15,6,100.0,18.501944,111.28668,3.2770305
5,250,100,12,20,4,1.0,1.4667572,17.405598,4.063191
5,250,100,12,20,4,25.75,15.041069,43.96871,4.087572
5,250,100,12,20,4,50.5,16.246277,72.42163,3.7080941
5,250,100,12,20,4,75.25,15.212956,120.732475,3.8846436
5,250,100,12,20,4,100.0,12.797845,181.82884,3.7035623
5,250,350,8,20,4,1.0,2.1909027,18.068684,6.3004246
5,250,350,8,20,4,25.75,10.430242,110.8766,7.1478815
5,250,350,8,20,4,50.5,5.7804537,335.76852,6.11689
5,250,350,8,20,4,75.25,4.223851,639.72754,5.7150126
5,250,350,8,20,4,100.0,3.2304265,1060.777,5.4538593
25,200,100,16,15,2,1.0,5.170114,6.0005407,4.93754
25,200,100,16,15,2,25.75,19.215881,41.071045,4.8779707
25,200,100,16,15,2,50.5,11.354829,137.3493,4.915138
25,200,100,16,15,2,75.25,8.371282,271.34647,4.804294
25,200,100,16,15,2,100.0,6.6872883,439.0523,4.6728973
25,250,100,12,20,4,1.0,5.2428837,4.451389,3.7143767
25,250,100,12,20,4,25.75,34.687077,16.977535,3.639866
25,250,100,12,20,4,50.5,25.599396,44.863388,3.6195161
25,250,100,12,20,4,75.25,18.539734,92.04633,3.6093044
25,250,100,12,20,4,100.0,15.074523,148.93338,3.5731854
25,200,100,12,20,6,1.0,4.4490175,5.5660458,3.941224
25,200,100,12,20,6,25.75,29.746391,20.737463,3.8127031
25,200,100,12,20,6,50.5,22.880276,52.60798,3.7935135
25,200,100,12,20,6,75.25,17.255217,102.56262,3.7430272
25,200,100,12,20,6,100.0,13.323585,177.78763,3.7700112
30,200,250,12,20,2,1.0,9.140193,4.625166,6.7282615
30,200,250,12,20,2,25.75,9.473966,116.762436,6.837194
30,200,250,12,20,2,50.5,4.8194437,407.90936,6.1956835
30,200,250,12,20,2,75.25,3.7204857,756.7519,5.954792
30,200,250,12,20,2,100.0,2.8645303,1210.8481,5.520307
30,250,100,12,15,6,1.0,5.15078,4.639072,3.8029819
30,250,100,12,15,6,25.75,30.50534,21.006681,3.96074
30,250,100,12,15,6,50.5,21.632282,56.641163,3.8615634
