tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,250,12,20,6,1.0,1.268172,4495.8955,907.4331
20,250,250,12,20,6,25.75,0.45043838,1.2385069e+06,3448.076
20,250,250,12,20,6,50.5,0.27902845,3.4067042e+06,2995.7917
20,250,250,12,20,6,75.25,0.13305046,9.210128e+06,2591.7642
20,250,250,12,20,6,100.0,0.12168745,1.1832604e+07,2291.6387
15,200,250,12,20,2,1.0,1.0661006,10023.1455,1700.6794
15,200,250,12,20,2,25.75,0.32488102,1.4619839e+06,2935.69
15,200,250,12,20,2,50.5,0.27271217,3.8789082e+06,3333.8247
15,200,250,12,20,2,75.25,0.18167776,6.7562395e+06,2596.0945
15,200,250,12,20,2,100.0,0.12805201,1.0740737e+07,2188.9734
15,250,100,8,20,2,1.0,1.0514488,2312.065,386.90845
15,250,100,8,20,2,25.75,1.617554,154569.86,1545.3491
15,250,100,8,20,2,50.5,1.6010753,268218.8,1353.4117
15,250,100,8,20,2,75.25,1.650499,398492.84,1391.071
15,250,100,8,20,2,100.0,1.1392478,792168.94,1436.336
15,200,150,16,20,4,1.0,1.1523207,6923.3047,1269.7169
15,200,150,16,20,4,25.75,0.6304107,531564.8,2071.2039
15,200,150,16,20,4,50.5,0.26127344,3.0127318e+06,2480.7568
15,200,150,16,20,4,75.25,0.15146717,6.50577e+06,2084.1582
15,200,150,16,20,4,100.0,0.19298339,8.307701e+06,2551.6482
20,200,150,16,20,2,1.0,2.0871725,2949.2002,979.6768
20,200,150,16,20,2,25.75,0.5965672,723116.3,2666.3096
20,200,150,16,20,2,50.5,0.34249642,2.365361e+06,2553.1843
20,200,150,16,20,2,75.25,0.2295799,5.482474e+06,2662.097
20,200,150,16,20,2,100.0,0.16965494,9.602497e+06,2592.8098
15,200,250,8,20,6,1.0,1.1786802,5124.612,961.33997
15,200,250,8,20,6,25.75,0.6436333,612447.25,2436.4082
15,200,250,8,20,6,50.5,0.3599341,1.7131309e+06,1943.3107
15,200,250,8,20,6,75.25,0.27918708,3.0687208e+06,1812.0323
15,200,250,8,20,6,100.0,0.25351977,5.779524e+06,2331.975
20,250,350,8,20,2,1.0,1.7399375,4366.2114,1209.0895
20,250,350,8,20,2,25.75,0.69511634,574095.7,2466.5212
