tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,250,12,20,6,1.0,7.7991805,5.4319253,6.7425303
20,250,250,12,20,6,25.75,8.282088,122.72085,6.282049
20,250,250,12,20,6,50.5,4.796536,391.82214,5.9230485
20,250,250,12,20,6,75.25,3.5443225,743.4141,5.572852
20,250,250,12,20,6,100.0,2.9676516,1107.6521,5.231619
15,200,250,12,20,2,1.0,5.1576767,8.653514,7.1034083
15,200,250,12,20,2,25.75,7.6797104,137.41284,6.522517
15,200,250,12,20,2,50.5,4.579823,429.01648,6.19229
15,200,250,12,20,2,75.25,3.4758418,801.1353,5.8895144
15,200,250,12,20,2,100.0,2.9622843,1171.8713,5.52493
15,250,100,8,20,2,1.0,2.6697001,7.3545594,3.1249225
15,250,100,8,20,2,25.75,32.741344,15.785256,3.194414
15,250,100,8,20,2,50.5,35.467087,27.964018,3.1257477
15,250,100,8,20,2,75.25,29.976637,49.576088,3.1431756
15,250,100,8,20,2,100.0,25.453642,78.806305,3.1924999
15,200,150,16,20,4,1.0,4.3681455,8.730433,6.069502
15,200,150,16,20,4,25.75,10.826658,86.21378,5.769182
15,200,150,16,20,4,50.5,6.612844,263.96982,5.501376
15,200,150,16,20,4,75.25,4.930281,515.8845,5.3794475
15,200,150,16,20,4,100.0,4.1151066,796.02356,5.213471
20,200,150,16,20,2,1.0,5.722631,6.4777164,5.899808
20,200,150,16,20,2,25.75,11.135802,83.15813,5.723599
20,200,150,16,20,2,50.5,6.6762104,260.58835,5.4829416
20,200,150,16,20,2,75.25,4.947249,509.14835,5.327477
20,200,150,16,20,2,100.0,4.1117682,784.5865,5.134396
15,200,250,8,20,6,1.0,3.686966,9.002694,5.2827706
15,200,250,8,20,6,25.75,14.884108,57.944847,5.330655
15,200,250,8,20,6,50.5,9.227718,171.85176,4.99778
15,200,250,8,20,6,75.25,6.8217845,340.96408,4.919491
15,200,250,8,20,6,100.0,5.6675334,541.6825,4.886064
20,250,350,8,20,2,1.0,7.477393,5.3222165,6.3337784
20,250,350,8,20,2,25.75,9.907491,96.21457,5.8917923
20,250,350,8,20,2,50.5,5.5921645,319.7134,5.6346846
20,250,350,8,20,2,75.25,4.1118717,626.00885,5.4441943
20,250,350,8,20,2,100.0,3.436589,954.8467,5.2225337
15,250,350,16,15,4,1.0,8.985255,8.192384,11.715504
15,250,350,16,15,4,25.75,2.787536,522.658,9.004948
15,250,350,16,15,4,50.5,1.8154805,1253.4788,7.171951
15,250,350,16,15,4,75.25,1.5196121,1818.6683,5.8452044
15,250,350,16,15,4,100.0,1.4433093,2214.2524,5.0863523
20,200,350,12,15,2,1.0,8.606205,6.8532863,9.387085
20,200,350,12,15,2,25.75,4.541522,282.27637,7.923534
