tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
5.0,250.0,100.0,8.0,15.0,6.0,1.0,1.00705368450032,20.763331030137,3.32789628096855,1.2442651,16.740854,3.315206
5.0,250.0,100.0,8.0,15.0,6.0,25.75,17.8279051290332,29.7738233595525,3.28078537332682,19.409267,27.328262,3.278418
5.0,250.0,100.0,8.0,15.0,6.0,50.5,22.1879384445613,46.7566092551705,3.26955550806935,22.67128,46.270985,3.3060813
5.0,250.0,100.0,8.0,15.0,6.0,75.25,21.2650381629419,72.5012880077635,3.26081016256928,21.00088,74.03319,3.2883446
5.0,250.0,100.0,8.0,15.0,6.0,100.0,19.1251710746069,106.828329589574,3.25171068356124,18.539087,110.586624,3.2629542
5.0,250.0,100.0,12.0,20.0,4.0,1.0,1.18779151287214,20.8100951159359,3.93400053513082,1.3590986,17.93543,3.8795633
5.0,250.0,100.0,12.0,20.0,4.0,25.75,17.0158672382964,36.747166981141,3.8647450493517,17.46515,35.89089,3.8743577
5.0,250.0,100.0,12.0,20.0,4.0,50.5,17.2162423570554,70.8686178174374,3.84521903753002,17.154194,71.62023,3.8719947
5.0,250.0,100.0,12.0,20.0,4.0,75.25,14.6467226566736,123.488598108738,3.82543604607822,14.103928,127.663895,3.8082159
5.0,250.0,100.0,12.0,20.0,4.0,100.0,12.3591744861353,193.311940918247,3.80249171599643,11.654777,202.18347,3.7503316
5.0,250.0,350.0,8.0,20.0,4.0,1.0,2.04164183058506,21.039390065167,6.83648448151889,2.0202563,20.278133,6.520106
5.0,250.0,350.0,8.0,20.0,4.0,25.75,7.88124585656234,135.67022377504,6.60879552660356,8.321751,128.75983,6.6227465
5.0,250.0,350.0,8.0,20.0,4.0,50.5,5.00554313972365,398.228751528037,6.28221180282127,5.060167,391.79315,6.248133
5.0,250.0,350.0,8.0,20.0,4.0,75.25,3.81320267468276,733.984105259678,5.91957014990609,3.6771915,743.32556,5.7810783
5.0,250.0,350.0,8.0,20.0,4.0,100.0,3.18682219045339,1099.16681553014,5.57495764885185,3.0309157,1112.2202,5.3651814
25.0,200.0,100.0,16.0,15.0,2.0,1.0,5.87012449813207,5.45257806011236,5.09412192762631,5.7351093,5.5538063,5.0693536
25.0,200.0,100.0,16.0,15.0,2.0,25.75,17.1075372518829,47.0035618664644,4.97005462538917,17.142212,46.36369,4.9123344
25.0,200.0,100.0,16.0,15.0,2.0,50.5,10.5816558528654,146.633560612188,4.89007777853846,10.585182,144.66704,4.8261037
25.0,200.0,100.0,16.0,15.0,2.0,75.25,7.78768182392625,290.735107271075,4.78871845788139,7.8156347,289.0292,4.777706
25.0,200.0,100.0,16.0,15.0,2.0,100.0,6.32829504654686,464.484415408736,4.67819152472006,6.4400845,460.49533,4.719945
25.0,250.0,100.0,12.0,20.0,4.0,1.0,5.51828884205272,4.28569704153155,3.76396891202272,5.2091355,4.3683295,3.6216063
25.0,250.0,100.0,12.0,20.0,4.0,25.75,34.9462398462185,17.1996520571068,3.71503588305942,33.98915,17.564835,3.6900086
25.0,250.0,100.0,12.0,20.0,4.0,50.5,24.4278812792522,48.0850135745554,3.70189671174459,24.600973,47.52365,3.6846044
25.0,250.0,100.0,12.0,20.0,4.0,75.25,18.0414326370221,96.5888807409235,3.68563040508747,17.97494,96.6614,3.6748013
25.0,250.0,100.0,12.0,20.0,4.0,100.0,14.2767427414947,161.319744133771,3.66553009902459,14.226529,162.58482,3.6812813
25.0,200.0,100.0,12.0,20.0,6.0,1.0,4.54917289057772,5.340344542826,3.86653415948255,4.446104,5.3252673,3.7682629
25.0,200.0,100.0,12.0,20.0,6.0,25.75,29.9229051584583,20.4508350868951,3.78231505137438,30.314245,20.546965,3.849794
25.0,200.0,100.0,12.0,20.0,6.0,50.5,22.6987437256286,52.6199461644365,3.7642718028692,22.996588,52.68587,3.8184443
25.0,200.0,100.0,12.0,20.0,6.0,75.25,17.3163413332465,102.273562909806,3.74570138011022,17.093893,104.44341,3.7760296
25.0,200.0,100.0,12.0,20.0,6.0,100.0,13.9178074492308,168.125221237166,3.72412135269104,13.594546,173.49933,3.7538998
30.0,200.0,250.0,12.0,20.0,2.0,1.0,9.19306960035773,4.7702654149168,6.97948251206286,8.707694,4.877963,6.760234
30.0,200.0,250.0,12.0,20.0,2.0,25.75,8.25471850645067,131.544573734306,6.71147696955343,8.3447895,129.29027,6.668441
30.0,200.0,250.0,12.0,20.0,2.0,50.5,4.77720028199801,420.877167168261,6.33661860946841,4.6759963,431.11127,6.3531947
30.0,200.0,250.0,12.0,20.0,2.0,75.25,3.56471935394196,785.252328984645,5.92036121132717,3.4445558,807.6139,5.8836994
30.0,200.0,250.0,12.0,20.0,2.0,100.0,2.96040791826115,1173.04160705043,5.52694452285812,2.8747065,1188.1708,5.4361606
30.0,250.0,100.0,12.0,15.0,6.0,1.0,7.01311887956642,3.59074834783696,4.00789469016811,6.5133452,3.6611235,3.7952347
30.0,250.0,100.0,12.0,15.0,6.0,25.75,30.3420687686381,21.1298214517421,3.96263356487131,29.465714,21.498838,3.915389
30.0,250.0,100.0,12.0,15.0,6.0,50.5,19.2576311972621,64.9207341626744,3.94017073698161,18.586742,66.19861,3.8777595
30.0,250.0,100.0,12.0,15.0,6.0,75.25,13.9486141581406,132.525289595877,3.90970014532032,13.251126,138.20724,3.8734424
30.0,250.0,100.0,12.0,15.0,6.0,100.0,11.0517746551356,220.167714342969,3.8726280481882,10.595413,230.55783,3.8879244
30.0,200.0,350.0,8.0,15.0,4.0,1.0,9.10640008672312,4.7299389724218,6.85523577021353,9.187141,4.5747247,6.6890664
30.0,200.0,350.0,8.0,15.0,4.0,25.75,8.27425048947188,128.538129893507,6.57360402123535,8.442813,124.190765,6.4806643
30.0,200.0,350.0,8.0,15.0,4.0,50.5,4.9970940542246,393.268845607008,6.19349541757843,4.988881,396.7799,6.2385173
30.0,200.0,350.0,8.0,15.0,4.0,75.25,3.8409772650143,716.715779560416,5.82240391340591,3.7843385,730.93085,5.85032
30.0,200.0,350.0,8.0,15.0,4.0,100.0,3.22997552410942,1067.79400147654,5.48917200582813,3.1803355,1074.8528,5.440538
35.0,250.0,250.0,16.0,20.0,2.0,1.0,14.6959440937398,3.6050774150473,8.43203145458749,13.091904,3.8783345,8.0810585
35.0,250.0,250.0,16.0,20.0,2.0,25.75,5.06840735503031,251.061977321012,7.86493894672594,5.1137776,244.5199,7.728568
35.0,250.0,250.0,16.0,20.0,2.0,50.5,2.98550617932739,737.933270495392,6.94326625145145,2.97914,738.3234,6.932124
35.0,250.0,250.0,16.0,20.0,2.0,75.25,2.30888350549616,1248.81826085981,6.09838571041249,2.2842124,1247.4672,6.026692
35.0,250.0,250.0,16.0,20.0,2.0,100.0,1.98967659822924,1709.67374829278,5.41397027348217,2.0205421,1680.1561,5.403033
40.0,200.0,100.0,16.0,15.0,6.0,1.0,8.84389227091567,3.44765200578515,4.85273972294428,8.767494,3.2866318,4.586133
40.0,200.0,100.0,16.0,15.0,6.0,25.75,18.6568830513361,41.271844310153,4.7592209103253,19.874634,38.327557,4.7081823
40.0,200.0,100.0,16.0,15.0,6.0,50.5,11.1493207127805,133.383893030825,4.68684456334173,11.082575,132.51532,4.628449
40.0,200.0,100.0,16.0,15.0,6.0,75.25,8.14032914007712,266.864956504481,4.59459399371072,7.855935,275.8492,4.583352
40.0,200.0,100.0,16.0,15.0,6.0,100.0,6.59140802202531,428.380865411387,4.49395161006678,6.364606,447.4696,4.5326815
40.0,200.0,250.0,8.0,15.0,2.0,1.0,9.58565217969847,3.51015615720429,5.35510801837085,9.324796,3.4659607,5.143788
40.0,200.0,250.0,8.0,15.0,2.0,25.75,14.8977976202994,56.8290273107259,5.2328127131848,15.520455,54.725056,5.2496915
40.0,200.0,250.0,8.0,15.0,2.0,50.5,8.75934730653242,185.219560654035,5.11313606239217,8.600232,187.4565,5.0808864
40.0,200.0,250.0,8.0,15.0,2.0,75.25,6.45898777795217,363.616179725987,4.96731029144557,6.1231613,381.6894,4.9430985
40.0,200.0,250.0,8.0,15.0,2.0,100.0,5.29481576415648,571.738353309291,4.81801681484034,4.9531198,608.4806,4.7967334
40.0,200.0,100.0,12.0,15.0,4.0,1.0,7.47560774479396,3.4154791491182,4.06366852656006,7.2880507,3.3110478,3.8405814
