tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
5,250,100,8,15,6,1.0,1.0431088,20.178717,3.3499885
5,250,100,8,15,6,25.75,17.90005,29.736767,3.289963
5,250,100,8,15,6,50.5,21.344608,48.970787,3.2942307
5,250,100,8,15,6,75.25,20.519745,74.93648,3.2522109
5,250,100,8,15,6,100.0,18.851341,107.13226,3.2142704
5,250,100,12,20,4,1.0,1.2317234,20.289925,3.9775333
5,250,100,12,20,4,25.75,16.907013,36.82423,3.8480763
5,250,100,12,20,4,50.5,16.71073,72.87505,3.837983
5,250,100,12,20,4,75.25,14.386062,124.75485,3.795884
5,250,100,12,20,4,100.0,12.469432,189.54654,3.7616854
5,250,350,8,20,4,1.0,2.196659,19.88655,6.9525213
5,250,350,8,20,4,25.75,7.6610975,137.96619,6.5329113
5,250,350,8,20,4,50.5,4.820009,406.3894,6.173322
5,250,350,8,20,4,75.25,3.673196,751.5101,5.83838
5,250,350,8,20,4,100.0,3.1102057,1115.9319,5.5239115
25,200,100,16,15,2,1.0,5.8227873,5.500172,5.09715
25,200,100,16,15,2,25.75,16.91222,47.45239,4.96023
25,200,100,16,15,2,50.5,10.50669,147.09952,4.870864
25,200,100,16,15,2,75.25,7.664971,294.1261,4.768233
25,200,100,16,15,2,100.0,6.2158394,471.16803,4.661176
25,250,100,12,20,4,1.0,5.3522015,4.3868685,3.7368636
25,250,100,12,20,4,25.75,35.221375,16.70105,3.635742
25,250,100,12,20,4,50.5,25.05472,46.631668,3.6821303
25,250,100,12,20,4,75.25,18.073294,96.048035,3.6714644
25,250,100,12,20,4,100.0,14.245726,161.40445,3.6594856
25,200,100,12,20,6,1.0,4.246837,5.6310205,3.8060353
25,200,100,12,20,6,25.75,29.619219,20.273546,3.7114727
25,200,100,12,20,6,50.5,22.759514,51.978313,3.7283256
25,200,100,12,20,6,75.25,17.075773,102.80014,3.71268
25,200,100,12,20,6,100.0,13.734504,169.33789,3.7015803
30,200,250,12,20,2,1.0,9.0563755,4.886301,7.042952
30,200,250,12,20,2,25.75,7.873478,137.87431,6.7095437
30,200,250,12,20,2,50.5,4.750328,423.0985,6.334229
30,200,250,12,20,2,75.25,3.6060302,775.6066,5.915403
30,200,250,12,20,2,100.0,3.029501,1142.3977,5.5081816
30,250,100,12,15,6,1.0,6.5459976,3.8538842,4.015084
30,250,100,12,15,6,25.75,29.635042,21.395618,3.9189842
30,250,100,12,15,6,50.5,18.94475,65.89165,3.9341228
30,250,100,12,15,6,75.25,13.41639,137.6129,3.9048853
30,250,100,12,15,6,100.0,10.577129,230.15666,3.8744614
30,200,350,8,15,4,1.0,8.86275,4.8831115,6.8878736
30,200,350,8,15,4,25.75,8.171444,129.57405,6.5442495
30,200,350,8,15,4,50.5,4.9836454,395.44965,6.2110786
30,200,350,8,15,4,75.25,3.8015962,726.2822,5.839626
30,200,350,8,15,4,100.0,3.2021277,1073.587,5.4713655
35,200,250,12,15,4,1.0,10.388555,4.4104686,7.292224
35,200,250,12,15,4,25.75,6.971641,159.7022,6.8815928
35,200,250,12,15,4,50.5,4.270697,478.10223,6.4349957
35,200,250,12,15,4,75.25,3.2895305,856.63727,5.959974
35,200,250,12,15,4,100.0,2.7952917,1239.569,5.514649
35,250,250,16,20,2,1.0,13.924062,3.8182435,8.461546
35,250,250,16,20,2,25.75,4.807701,266.90762,7.931249
35,250,250,16,20,2,50.5,2.9886804,740.8804,6.978405
35,250,250,16,20,2,75.25,2.3572807,1235.6805,6.1607127
35,250,250,16,20,2,100.0,2.059263,1680.458,5.5075626
35,250,350,12,15,6,1.0,14.129925,4.0365224,9.077524
35,250,350,12,15,6,25.75,4.0434937,326.51535,8.160249
35,250,350,12,15,6,50.5,2.5839677,859.47754,6.9992304
35,250,350,12,15,6,75.25,2.0878973,1378.1254,6.0857115
35,250,350,12,15,6,100.0,1.8656589,1817.1782,5.3957253
40,200,100,16,15,6,1.0,7.8238115,3.9361737,4.901317
40,200,100,16,15,6,25.75,17.53932,43.805714,4.7488284
40,200,100,16,15,6,50.5,10.469148,141.50673,4.668927
40,200,100,16,15,6,75.25,7.5433736,287.0266,4.5793233
40,200,100,16,15,6,100.0,6.087934,462.46637,4.480949
40,200,250,8,15,2,1.0,9.3592825,3.695548,5.5048013
40,200,250,8,15,2,25.75,14.0505705,60.92438,5.290884
40,200,250,8,15,2,50.5,8.613767,190.16841,5.162501
40,200,250,8,15,2,75.25,6.4072394,370.87653,5.0259
40,200,250,8,15,2,100.0,5.2795997,580.15155,4.8748617
40,200,100,12,15,4,1.0,6.9160695,3.7514954,4.129371
40,200,100,12,15,4,25.75,27.187479,23.63592,3.9717739
40,200,100,12,15,4,50.5,18.076534,69.62343,3.9664257
40,200,100,12,15,4,75.25,13.086483,142.06146,3.931993
40,200,100,12,15,4,100.0,10.437306,234.84286,3.9010882
20,50,350,8,15,6,1.0,2.0013618,24.152102,7.693088
20,50,350,8,15,6,25.75,6.270995,191.28813,7.414254
20,50,350,8,15,6,50.5,4.356258,503.35168,6.9105716
20,50,350,8,15,6,75.25,3.559454,859.8174,6.4729643
20,50,350,8,15,6,100.0,3.1517828,1214.374,6.0915613
10,50,150,16,15,6,1.0,1.092688,41.84108,7.276443
10,50,150,16,15,6,25.75,6.465198,175.04704,6.994871
10,50,150,16,15,6,50.5,4.877577,429.1744,6.5973067
10,50,150,16,15,6,75.25,4.0905385,727.8826,6.297315
10,50,150,16,15,6,100.0,3.6683738,1033.3008,6.0328217
15,50,350,16,15,6,1.0,2.033263,34.98748,11.322082
15,50,350,16,15,6,25.75,2.2299402,652.2707,8.990092
15,50,350,16,15,6,50.5,1.7571162,1286.9076,7.1265044
15,50,350,16,15,6,75.25,1.6398582,1741.6002,6.0404377
15,50,350,16,15,6,100.0,1.6399403,2054.1675,5.3614683
10,100,250,12,15,2,1.0,2.0798635,24.781776,8.203277
10,100,250,12,15,2,25.75,5.807502,211.17725,7.5801806
10,100,250,12,15,2,50.5,3.9120271,567.8439,7.000992
10,100,250,12,15,2,75.25,3.1421475,978.7943,6.5047655
10,100,250,12,15,2,100.0,2.7575085,1385.1384,6.078972
20,100,150,16,20,4,1.0,2.959574,13.48874,6.3536124
20,100,150,16,20,4,25.75,10.099849,101.11159,6.311883
20,100,150,16,20,4,50.5,6.515737,295.3177,6.064314
20,100,150,16,20,4,75.25,5.000191,551.4208,5.8315396
20,100,150,16,20,4,100.0,4.2234907,832.81305,5.5980773
20,100,350,8,15,6,1.0,3.414966,13.337912,7.2492704
20,100,350,8,15,6,25.75,7.50063,152.61551,7.075212
20,100,350,8,15,6,50.5,4.8340635,437.49185,6.665168
20,100,350,8,15,6,75.25,3.7809856,782.43414,6.2570033
20,100,350,8,15,6,100.0,3.245353,1137.7805,5.8767953
20,150,100,8,15,6,1.0,2.4000413,8.965665,3.4246912
20,150,100,8,15,6,25.75,25.621866,21.21891,3.36029
20,150,100,8,15,6,50.5,27.067799,39.269424,3.3499334
20,150,100,8,15,6,75.25,23.783485,66.04389,3.3221679
20,150,100,8,15,6,100.0,20.630905,100.638954,3.3044887
15,150,100,16,15,6,1.0,2.7170086,11.906186,5.1485367
15,150,100,16,15,6,25.75,15.105081,54.59815,5.0973444
15,150,100,16,15,6,50.5,10.406326,152.04204,4.986432
15,150,100,16,15,6,75.25,7.8942933,293.30804,4.8972325
15,150,100,16,15,6,100.0,6.5368457,462.64676,4.813245
15,150,350,16,15,6,1.0,5.505516,13.614969,11.929848
15,150,350,16,15,6,25.75,2.5719662,596.9397,9.489399
15,150,350,16,15,6,50.5,1.8019458,1283.5586,7.289306
15,150,350,16,15,6,75.25,1.5740207,1790.6304,5.9611483
15,150,350,16,15,6,100.0,1.5133463,2134.7173,5.141607
10,300,150,16,20,2,1.0,3.9959128,9.005272,5.7270765
10,300,150,16,20,2,25.75,11.909051,77.49098,5.703892
10,300,150,16,20,2,50.5,7.0520015,250.3123,5.563182
10,300,150,16,20,2,75.25,5.138071,492.73206,5.3545675
10,300,150,16,20,2,100.0,4.1972985,767.456,5.1267653
20,300,250,8,20,2,1.0,6.835187,4.5297265,4.92768
20,300,250,8,20,2,25.75,18.269957,44.396248,5.013335
20,300,250,8,20,2,50.5,10.685717,147.35147,4.962345
20,300,250,8,20,2,75.25,7.640729,299.97772,4.8477163
20,300,250,8,20,2,100.0,6.132388,482.84244,4.7125406
15,300,150,16,20,2,1.0,5.9519277,6.010513,5.693632
15,300,150,16,20,2,25.75,12.543928,73.97644,5.735484
15,300,150,16,20,2,50.5,7.214104,246.03087,5.59372
15,300,150,16,20,2,75.25,5.218703,486.41574,5.3688803
15,300,150,16,20,2,100.0,4.2403502,758.5427,5.1191955
15,350,100,12,20,2,1.0,4.4251933,4.8679557,3.4284592
15,350,100,12,20,2,25.75,42.87143,12.976273,3.4384363
