tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L,Pre_Q
5,250,150,16,15,4,1.0,19.435669,6.351928,2.053459
5,250,150,16,15,4,25.25,112.82702,6.2912035,8.846301
5,250,150,16,15,4,50.5,326.78778,6.014948,5.840329
5,250,150,16,15,4,75.75,587.7683,5.768479,4.6710854
5,250,150,16,15,4,100.0,848.8477,5.5212445,4.086838
5,200,150,8,20,2,1.0,18.84833,4.0205517,1.3402711
5,200,150,8,20,2,25.25,39.474422,3.9861937,16.02078
5,200,150,8,20,2,50.5,77.260864,3.8805516,15.936945
5,200,150,8,20,2,75.75,132.99559,3.7580352,13.448883
5,200,150,8,20,2,100.0,201.97157,3.6694968,11.415535
5,200,150,12,15,4,1.0,20.309565,5.3086104,1.6423287
5,200,150,12,15,4,25.25,71.72679,5.322504,11.772686
5,200,150,12,15,4,50.5,190.74854,5.1594763,8.582534
5,200,150,12,15,4,75.75,354.6358,5.042207,6.7670684
5,200,150,12,15,4,100.0,534.1175,4.9397564,5.8109694
25,250,250,8,15,6,1.0,4.6350756,5.2138286,7.0677276
25,250,250,8,15,6,25.25,49.268864,5.044762,16.244606
25,250,250,8,15,6,50.5,168.33932,4.928718,9.290085
25,250,250,8,15,6,75.75,338.13745,4.9373565,6.949665
25,250,250,8,15,6,100.0,520.47565,4.910958,5.9285116
25,250,100,8,20,2,1.0,4.150495,3.0064063,4.5512185
25,250,100,8,20,2,25.25,10.429503,2.8366318,43.149963
25,250,100,8,20,2,50.5,20.691189,2.9509063,45.252365
25,250,100,8,20,2,75.75,37.9097,2.988485,37.520042
25,250,100,8,20,2,100.0,60.683617,3.0287254,31.359447
25,250,100,8,15,2,1.0,4.1955013,3.1389406,4.700879
25,250,100,8,15,2,25.25,12.471916,3.0588021,38.909824
25,250,100,8,15,2,50.5,26.626192,3.1514645,37.555595
25,250,100,8,15,2,75.75,50.703434,3.1710405,29.766449
25,250,100,8,15,2,100.0,81.689156,3.212619,24.710121
30,250,250,16,15,2,1.0,4.9964824,8.1203,10.2114525
30,250,250,16,15,2,25.25,233.95786,7.852046,5.3245893
30,250,250,16,15,2,50.5,682.2553,7.0750003,3.290417
30,250,250,16,15,2,75.75,1159.9956,6.1745496,2.5334454
30,250,250,16,15,2,100.0,1558.5995,5.6039863,2.2591372
30,200,100,8,15,6,1.0,4.8594837,3.3022025,4.2696614
30,200,100,8,15,6,25.25,15.265549,3.2806597,34.094933
30,200,100,8,15,6,50.5,31.912376,3.304132,32.852585
30,200,100,8,15,6,75.75,59.902782,3.2638373,25.932486
30,200,100,8,15,6,100.0,94.75809,3.2704382,21.685513
30,250,150,12,15,6,1.0,3.9963243,4.813819,7.568482
30,250,150,12,15,6,25.25,40.44422,4.85159,19.031313
30,250,150,12,15,6,50.5,140.58212,4.63156,10.453663
30,250,150,12,15,6,75.75,283.99722,4.6313734,7.761723
30,250,150,12,15,6,100.0,434.89566,4.6487513,6.7163177
10,100,150,16,15,2,1.0,22.787415,8.16085,2.250195
10,100,150,16,15,2,25.25,170.80188,7.669716,7.1240616
10,100,150,16,15,2,50.5,434.21307,7.2636414,5.307902
10,100,150,16,15,2,75.75,723.6961,6.7574773,4.444171
10,100,150,16,15,2,100.0,1002.72754,6.2837567,3.937462
10,100,100,12,15,2,1.0,18.961761,4.8353176,1.6022351
10,100,100,12,15,2,25.25,46.759457,4.660525,15.812719
10,100,100,12,15,2,50.5,105.69068,4.538852,13.626386
10,100,100,12,15,2,75.75,191.29169,4.454393,11.082939
10,100,100,12,15,2,100.0,290.7883,4.4146757,9.538978
20,100,350,16,15,2,1.0,17.137245,14.369207,5.2683134
20,100,350,16,15,2,25.25,604.8331,10.155359,2.663796
20,100,350,16,15,2,50.5,1242.0546,7.5742664,1.9349563
20,100,350,16,15,2,75.75,1799.3583,6.2001605,1.6400155
20,100,350,16,15,2,100.0,2152.7039,5.605685,1.6361554
10,150,250,8,15,2,1.0,16.29786,6.1159306,2.3578262
10,150,250,8,15,2,25.25,87.232,5.887677,10.708021
10,150,250,8,15,2,50.5,244.65648,5.773837,7.4882293
10,150,250,8,15,2,75.75,462.55258,5.596388,5.7584977
10,150,250,8,15,2,100.0,700.4086,5.3851185,4.8308535
20,150,150,12,20,2,1.0,8.7099285,5.3058558,3.8275485
20,150,150,12,20,2,25.25,49.39131,4.9719553,15.970471
20,150,150,12,20,2,50.5,143.1659,4.87125,10.796231
20,150,150,12,20,2,75.75,291.9118,4.802931,7.831
20,150,150,12,20,2,100.0,465.9102,4.745235,6.399347
15,150,250,16,20,2,1.0,12.299023,9.776891,4.9947066
15,150,250,16,20,2,25.25,305.7853,8.883392,4.6089644
15,150,250,16,20,2,50.5,789.8357,7.5952935,3.0512593
15,150,250,16,20,2,75.75,1302.9021,6.4221234,2.3460076
15,150,250,16,20,2,100.0,1712.9558,5.7615404,2.113354
10,300,350,12,15,6,1.0,9.315973,9.314794,6.28239
10,300,350,12,15,6,25.25,330.18484,8.554492,4.110345
10,300,350,12,15,6,50.5,867.36224,7.24166,2.6491652
10,300,350,12,15,6,75.75,1412.0052,6.138438,2.0691128
10,300,350,12,15,6,100.0,1820.5841,5.559972,1.918854
15,300,150,16,15,6,1.0,6.227875,6.124277,6.1786666
15,300,150,16,15,6,25.25,89.43484,6.1532936,10.91546
15,300,150,16,15,6,50.5,312.8319,5.788069,5.870755
15,300,150,16,15,6,75.75,586.1164,5.5789857,4.530372
15,300,150,16,15,6,100.0,854.97144,5.353001,3.9339204
20,300,250,8,20,6,1.0,4.4267464,4.9007745,6.956006
20,300,250,8,20,6,25.25,38.874374,4.75246,19.395285
20,300,250,8,20,6,50.5,132.3226,4.7648835,11.425876
20,300,250,8,20,6,75.75,283.1178,4.7609687,8.003697
20,300,250,8,20,6,100.0,457.474,4.72726,6.492666
10,350,350,16,15,6,1.0,8.918768,11.536699,8.127491
10,350,350,16,15,6,25.25,538.2417,9.357237,2.7581081
10,350,350,16,15,6,50.5,1255.9539,7.036048,1.777569
10,350,350,16,15,6,75.75,1857.3127,5.842356,1.497151
10,350,350,16,15,6,100.0,2216.0637,5.3560104,1.5185856
20,350,350,8,15,6,1.0,4.297814,6.078735,8.8868
20,350,350,8,15,6,25.25,85.5305,6.033582,11.191681
20,350,350,8,15,6,50.5,306.1493,5.8616486,6.0751595
20,350,350,8,15,6,75.75,589.49445,5.640915,4.554413
20,350,350,8,15,6,100.0,874.4885,5.376038,3.8626745
10,350,150,12,15,6,1.0,7.63305,4.815446,3.9638598
10,350,150,12,15,6,25.25,45.11707,4.8345866,17.000418
10,350,150,12,15,6,50.5,144.24011,4.679916,10.294927
10,350,150,12,15,6,75.75,297.63843,4.6093364,7.370754
10,350,150,12,15,6,100.0,469.2924,4.5713396,6.120402
10,400,350,16,15,6,1.0,7.9629,11.078137,8.741282
10,400,350,16,15,6,25.25,516.05994,9.200208,2.8283846
10,400,350,16,15,6,50.5,1233.51,6.9727817,1.7936374
10,400,350,16,15,6,75.75,1837.7493,5.807991,1.5041887
10,400,350,16,15,6,100.0,2200.0024,5.3319445,1.5227978
20,400,100,12,20,2,1.0,2.8989701,3.2124321,6.9625764
20,400,100,12,20,2,25.25,11.752489,3.1559572,42.603218
20,400,100,12,20,2,50.5,30.39265,3.2805495,34.24912
20,400,100,12,20,2,75.75,64.35173,3.3374321,24.683954
20,400,100,12,20,2,100.0,109.17558,3.410884,19.630054
10,400,150,16,20,2,1.0,7.080988,5.30186,4.7045083
10,400,150,16,20,2,25.25,61.389217,5.4142733,13.992302
10,400,150,16,20,2,50.5,213.09279,5.3244505,7.928249
10,400,150,16,20,2,75.75,438.74316,5.21185,5.653849
10,400,150,16,20,2,100.0,684.0956,5.069974,4.656601
20,250,50,12,20,6,1.0,4.7970366,2.742549,3.5922055
20,250,50,12,20,6,25.25,8.799643,2.677702,48.27679
20,250,50,12,20,6,50.5,14.674346,2.7626207,59.735683
20,250,50,12,20,6,75.75,24.25702,2.765991,54.27199
20,250,50,12,20,6,100.0,36.86899,2.7626934,47.081608
15,250,50,12,20,4,1.0,6.09404,2.815664,2.9030554
15,250,50,12,20,4,25.25,9.671603,2.6896243,44.11986
15,250,50,12,20,4,50.5,15.951681,2.776506,55.228542
15,250,50,12,20,4,75.75,25.927843,2.7876067,51.171455
15,250,50,12,20,4,100.0,39.0017,2.7873294,44.903976
20,200,50,8,20,2,1.0,5.658272,2.5512595,2.8330264
20,200,50,8,20,2,25.25,7.6865797,2.387823,49.28448
20,200,50,8,20,2,50.5,11.520801,2.4480462,67.42302
20,200,50,8,20,2,75.75,16.969702,2.4650621,69.1379
20,200,50,8,20,2,100.0,23.661087,2.4717312,65.63667
10,200,200,8,15,6,1.0,13.134446,4.8471775,2.3187664
10,200,200,8,15,6,25.25,49.13043,4.7750397,15.4194
10,200,200,8,15,6,50.5,132.44368,4.678374,11.208178
10,200,200,8,15,6,75.75,261.3436,4.604109,8.384868
10,200,200,8,15,6,100.0,411.91235,4.556956,6.951044
15,250,200,16,15,6,1.0,7.508309,7.945723,6.649226
15,250,200,16,15,6,25.25,195.3225,7.532366,6.1181498
15,250,200,16,15,6,50.5,576.799,6.8828793,3.7863166
15,250,200,16,15,6,75.75,988.06134,6.1932106,2.9832838
15,250,200,16,15,6,100.0,1352.9279,5.685948,2.6406345
20,250,200,8,15,4,1.0,5.316532,4.712898,5.5697985
20,250,200,8,15,4,25.25,35.08727,4.509074,20.388205
20,250,200,8,15,4,50.5,105.702576,4.468615,13.414009
20,250,200,8,15,4,75.75,218.81122,4.4726377,9.728741
20,250,200,8,15,4,100.0,349.72305,4.496207,8.077965
20,250,300,8,15,2,1.0,5.6006093,6.123585,6.8698993
20,250,300,8,15,2,25.25,76.83832,5.8188467,12.014347
20,250,300,8,15,2,50.5,259.32092,5.723523,7.00321
20,250,300,8,15,2,75.75,510.30045,5.5978417,5.2210426
20,250,300,8,15,2,100.0,778.23584,5.386399,4.348778
20,200,300,12,15,6,1.0,7.1856685,8.591662,7.512592
20,200,300,12,15,6,25.25,241.64972,7.8838263,5.175972
20,200,300,12,15,6,50.5,668.32495,7.1640124,3.4012616
20,200,300,12,15,6,75.75,1127.6312,6.286323,2.6533346
20,200,300,12,15,6,100.0,1520.7184,5.70243,2.356086
10,200,300,8,20,6,1.0,13.633109,5.7434626,2.6470294
10,200,300,8,20,6,25.25,84.638626,5.9050407,11.068669
10,200,300,8,20,6,50.5,260.72794,5.758958,7.0085387
10,200,300,8,20,6,75.75,516.24554,5.5045204,5.07488
10,200,300,8,20,6,100.0,792.153,5.256353,4.1692247
20,200,400,8,20,2,1.0,7.116486,7.5330763,6.6509953
20,200,400,8,20,2,25.25,155.48663,7.1843596,7.3305435
20,200,400,8,20,2,50.5,486.4816,6.772636,4.417358
20,200,400,8,20,2,75.75,901.41266,6.1194735,3.2311194
20,200,400,8,20,2,100.0,1293.9445,5.607899,2.7231066
15,200,400,16,20,4,1.0,10.521184,12.977541,7.7501063
15,200,400,16,20,4,25.25,623.58905,9.713299,2.4712076
15,200,400,16,20,4,50.5,1407.3793,6.9719434,1.5718604
15,200,400,16,20,4,75.75,2016.8527,5.7647924,1.360417
15,200,400,16,20,4,100.0,2350.12,5.3080072,1.4191269
20,200,400,16,15,2,1.0,8.953023,13.563851,9.51904
20,200,400,16,15,2,25.25,653.4755,9.819135,2.383884
20,200,400,16,15,2,50.5,1452.1857,6.958771,1.5204833
20,200,400,16,15,2,75.75,2065.7031,5.733902,1.3211278
20,200,400,16,15,2,100.0,2391.714,5.283287,1.3879527
20,250,450,16,20,6,1.0,7.368285,12.840288,10.9493475
20,250,450,16,20,6,25.25,668.463,9.425504,2.2370117
20,250,450,16,20,6,50.5,1544.7605,6.61314,1.3583694
20,250,450,16,20,6,75.75,2151.3064,5.5484514,1.2275302
20,250,450,16,20,6,100.0,2451.3538,5.1756425,1.3265952
20,200,450,12,15,6,1.0,8.105595,11.387691,8.827355
20,200,450,12,15,6,25.25,496.4311,9.459207,3.02299
20,200,450,12,15,6,50.5,1157.3424,7.317224,2.0061147
20,200,450,12,15,6,75.75,1760.3544,6.0077553,1.6243316
20,200,450,12,15,6,100.0,2141.8975,5.4499907,1.598737
15,250,450,16,15,6,1.0,9.467806,14.331633,9.511001
15,250,450,16,15,6,25.25,749.8223,9.606083,2.0324936
15,250,450,16,15,6,50.5,1605.7928,6.6587477,1.3157525
15,250,450,16,15,6,75.75,2181.455,5.592427,1.2201596
15,250,450,16,15,6,100.0,2465.7559,5.2140913,1.3286432
20,250,500,12,20,4,1.0,6.8593307,11.317469,10.366866
20,250,500,12,20,4,25.25,519.99786,9.343603,2.850715
20,250,500,12,20,4,50.5,1292.2483,6.9333096,1.7024174
20,250,500,12,20,4,75.75,1930.7417,5.7347293,1.4136807
20,250,500,12,20,4,100.0,2292.2454,5.2735605,1.4455153
15,250,500,12,20,6,1.0,8.409845,11.291568,8.436185
15,250,500,12,20,6,25.25,533.6333,9.380682,2.788897
15,250,500,12,20,6,50.5,1293.5386,6.9618926,1.7077304
15,250,500,12,20,6,75.75,1920.0449,5.7659125,1.4292864
15,250,500,12,20,6,100.0,2277.719,5.300397,1.4621376
15,250,500,8,15,6,1.0,7.7681785,8.582393,6.9417515
15,250,500,8,15,6,25.25,270.42752,8.211767,4.8175554
15,250,500,8,15,6,50.5,747.33154,7.280383,3.0910947
15,250,500,8,15,6,75.75,1262.3645,6.2474117,2.3554716
15,250,500,8,15,6,100.0,1677.9535,5.6416516,2.112547
10,200,350,4,15,2,1.0,14.446885,4.384618,1.9069415
10,200,350,4,15,2,25.25,42.307972,4.3450255,16.293383
10,200,350,4,15,2,50.5,96.47197,4.3375525,14.266419
10,200,350,4,15,2,75.75,182.64699,4.2789297,11.150265
10,200,350,4,15,2,100.0,290.7658,4.2320137,9.144999
20,200,250,4,15,4,1.0,7.887803,3.6444874,2.903088
20,200,250,4,15,4,25.25,22.296164,3.5298507,25.11696
20,200,250,4,15,4,50.5,47.42497,3.5930653,24.03971
20,200,250,4,15,4,75.75,87.827,3.5928218,19.470188
20,200,250,4,15,4,100.0,138.66537,3.6141903,16.37657
15,200,100,4,20,2,1.0,7.897469,2.6151814,2.0806246
15,200,100,4,20,2,25.25,9.9163265,2.4388607,39.0191
15,200,100,4,20,2,50.5,14.675267,2.480042,53.62216
15,200,100,4,20,2,75.75,20.92751,2.481956,56.446793
15,200,100,4,20,2,100.0,28.303633,2.4732258,54.90371
20,200,100,20,20,2,1.0,7.0262046,5.266991,4.7100077
20,200,100,20,20,2,25.25,53.178696,5.303446,15.822008
20,200,100,20,20,2,50.5,176.79623,5.2052956,9.342081
20,200,100,20,20,2,75.75,360.5085,5.1636205,6.8171253
20,200,100,20,20,2,100.0,561.3032,5.0959454,5.704366
