tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
15,200,150,8,20,4,1.0,2.2115598731241684,8.985641401447861,3.16277222239776
15,200,150,8,20,4,25.75,17.12004011690946,27.348005265087902,2.89383210897767
15,200,150,8,20,4,50.5,20.390173055065382,44.4609637778982,2.8571203724587
15,200,150,8,20,4,75.25,20.55997703787993,65.2756841911001,2.83849207005497
15,200,150,8,20,4,100.0,19.62158784083269,90.4731753425198,2.82536209013892
10,250,250,4,20,8,1.0,1.5680775263612838,10.6404009228654,2.6554960172118
10,250,250,4,20,8,25.75,13.808480171188233,28.121498371959,2.40008838921384
10,250,250,4,20,8,50.5,18.56857905303676,40.3345426102597,2.36039432013455
10,250,250,4,20,8,75.25,21.143329749977656,52.3718252403527,2.34198829647841
10,250,250,4,20,8,100.0,22.44617535044655,65.2379854899609,2.33057468501572
15,200,100,8,15,8,1.0,1.9534472429734944,8.83840285841447,2.74786638495768
15,200,100,8,15,8,25.75,18.302399251965262,22.5870232081268,2.55511188022362
15,200,100,8,15,8,50.5,24.044719421071864,33.3317163211672,2.52584178872116
15,200,100,8,15,8,75.25,26.315708636765688,45.1339594948733,2.5120722816083
15,200,100,8,15,8,100.0,26.795774407897028,58.6967337936354,2.50322783798438
15,200,250,4,15,8,1.0,2.008350484961821,8.86186378626166,2.83259645588797
15,200,250,4,15,8,25.75,17.706445816738846,23.9514475402546,2.62123560700373
15,200,250,4,15,8,50.5,22.71833416175425,36.1673794431346,2.58953794543961
15,200,250,4,15,8,75.25,24.3758446247883,49.9354494704723,2.57443697129621
15,200,250,4,15,8,100.0,24.418136980653045,65.9899413243756,2.56454544602181
15,200,100,12,15,8,1.0,2.129507951038579,8.920132892285771,3.02322675359229
15,200,100,12,15,8,25.75,16.296353246297752,27.4626635638273,2.76615164288632
15,200,100,12,15,8,50.5,19.756083865191886,43.8186461100576,2.72827767574196
15,200,100,12,15,8,75.25,20.251346903821617,63.25811052326411,2.70946631584343
15,200,100,12,15,8,100.0,19.578004491059325,86.5359397290071,2.69640466391567
10,200,100,8,20,6,1.0,1.4388878512493704,13.1171984146956,3.00391863658168
10,200,100,8,20,6,25.75,16.36279600151353,27.9030053709858,2.82196353089894
10,200,100,8,20,6,50.5,22.08335444856545,40.0792118809579,2.78941395724587
10,200,100,8,20,6,75.25,24.539471803011946,53.4465296408675,2.77394821367111
10,200,100,8,20,6,100.0,25.24892577494824,68.7830178421664,2.76403961870953
10,250,350,4,20,6,1.0,1.814627969032755,10.814934585531102,3.12342893336911
10,250,350,4,20,6,25.75,13.15867840707143,33.9984471140811,2.76512171196246
10,250,350,4,20,6,50.5,16.623050379900643,51.8146538540684,2.71451393742898
10,250,350,4,20,6,75.25,17.936480000397733,70.91273961732101,2.69014140589274
10,250,350,4,20,6,100.0,18.18219511737597,92.4124186626704,2.67421784532334
5,200,250,4,20,4,1.0,0.8123035508282795,26.0450951808333,3.36716526136457
5,200,250,4,20,4,25.75,10.729146923876137,47.69084184722991,3.16259135557344
5,200,250,4,20,4,50.5,14.216717881978385,69.5029035483893,3.11408918940479
5,200,250,4,20,4,75.25,15.325677213847802,95.3058502054365,3.08924862211362
5,200,250,4,20,4,100.0,15.314622174903192,126.036781322411,3.07201776125882
5,200,100,12,15,6,1.0,0.891019134968726,26.0722931584009,3.69731449271506
5,200,100,12,15,6,25.75,10.131243796890676,54.9415101732344,3.4403787555393
5,200,100,12,15,6,50.5,12.631933912798315,84.7825616930497,3.37524368188732
5,200,100,12,15,6,75.25,13.09772947403825,120.598753433492,3.34081527135068
5,200,100,12,15,6,100.0,12.750049671334914,163.404817129088,3.3158651751853
5,250,250,4,20,4,1.0,0.9021619162273964,20.9390548223089,3.00650337351968
5,250,250,4,20,4,25.75,10.39662035729022,42.88551888806781,2.75578767191595
5,250,250,4,20,4,50.5,13.970871536145554,61.400490426446,2.70348580012422
5,250,250,4,20,4,75.25,15.65957354150979,80.8476747600182,2.67769490273291
5,250,250,4,20,4,100.0,16.335663465734733,102.346318515752,2.66090356163743
5,200,250,8,20,8,1.0,0.8975243428487291,26.0947186320584,3.72751145271789
5,200,250,8,20,8,25.75,8.718033073512855,63.476146361585606,3.42036113821978
5,200,250,8,20,8,50.5,10.187699605484235,103.866723199892,3.3348884764899
5,200,250,8,20,8,75.25,10.1427669106745,153.236784117215,3.28725278259957
5,200,250,8,20,8,100.0,9.62239512174741,212.250617371785,3.25051578990104
10,250,100,12,20,6,1.0,1.7676475788193344,10.7611318187661,3.02742759839694
10,250,100,12,20,6,25.75,13.724306629905836,31.875666288346004,2.70391218111782
10,250,100,12,20,6,50.5,17.688958295447982,47.6661820238919,2.65730484060165
10,250,100,12,20,6,75.25,19.407003501175964,64.1994431482925,2.63513805406439
10,250,100,12,20,6,100.0,19.94752656744989,82.5554858135364,2.62092818537842
15,250,150,8,15,8,1.0,2.3083505729304843,7.35628864900179,2.70259307777566
15,250,150,8,15,8,25.75,15.279137255306608,25.2950041451647,2.38878182151656
15,250,150,8,15,8,50.5,19.65961221554512,37.93696487532101,2.3505326230603
15,250,150,8,15,8,75.25,21.57067452642001,51.1296742075684,2.33265428800899
15,250,150,8,15,8,100.0,22.168705389407272,65.7906161137313,2.32126336357823
10,200,250,4,20,6,1.0,1.5111184455931714,13.1551325983447,3.16383530832168
10,200,250,4,20,6,25.75,15.596589571964902,30.5926213635447,2.94909819682454
10,200,250,4,20,6,50.5,20.17260188403864,45.7983071949623,2.91165622366606
10,200,250,4,20,6,75.25,21.64045956578752,63.21749240002081,2.8934592594801
10,200,250,4,20,6,100.0,21.63339998999625,83.686703844056,2.88138555460732
10,250,100,12,15,4,1.0,1.7976421338833506,10.8913932289908,3.11606715510262
10,250,100,12,15,4,25.75,12.722657314564566,34.8120208596484,2.73747374735118
10,250,100,12,15,4,50.5,15.723884122747345,54.1997963328787,2.68587775763573
10,250,100,12,15,4,75.25,16.630985493821072,75.6352336448381,2.66045406547291
10,250,100,12,15,4,100.0,16.581897800922956,100.164429262559,2.6434304387325
5,200,100,8,20,8,1.0,0.7021788529917892,25.968510332097004,2.90211698484546
5,200,100,8,20,8,25.75,10.33304734015596,43.184157473037,2.75800956645261
5,200,100,8,20,8,50.5,14.777750262345382,58.2899433642676,2.71475542561968
5,200,100,8,20,8,75.25,17.191235274697178,74.0916750965865,2.69395368509055
5,200,100,8,20,8,100.0,18.3857103482591,91.6117767431383,2.68072245102189
15,250,150,8,20,8,1.0,2.280248760653281,7.32824462655228,2.65951422893188
15,250,150,8,20,8,25.75,15.63620229150565,24.4363790224856,2.36162551000654
15,250,150,8,20,8,50.5,20.32236290267342,36.2998651949715,2.32491975732733
15,250,150,8,20,8,75.25,22.497211895611173,48.50290284113121,2.30786317576263
15,250,150,8,20,8,100.0,23.300900184940375,61.9421836633915,2.29709704268742
10,250,350,4,15,6,1.0,1.8249295351334156,10.8273150539049,3.1447563714996
10,250,350,4,15,6,25.75,13.040402892041632,34.4745318412688,2.77864001025804
10,250,350,4,15,6,50.5,16.400344930283342,52.76257905827181,2.72714199825052
10,250,350,4,15,6,75.25,17.630951912245287,72.4665271794149,2.70225816258462
10,250,350,4,15,6,100.0,17.818641011587864,94.71061153201,2.68592171704447
15,200,150,12,20,4,1.0,2.4186891054808064,9.12301827182485,3.51187237434352
15,200,150,12,20,4,25.75,14.746591835855536,34.6001218110972,3.15364051072782
15,200,150,12,20,4,50.5,15.896674411715392,61.9620868213934,3.10428130021355
15,200,150,12,20,4,75.25,14.946853512655276,97.3126806533911,3.07632944075459
15,200,150,12,20,4,100.0,13.606881920669863,141.027568627251,3.05409657690257
10,200,150,4,15,8,1.0,1.254928017481124,13.0604064303498,2.6085288190384
10,200,150,4,15,8,25.75,16.019422892459627,24.9390014078194,2.46927138908844
10,200,150,4,15,8,50.5,22.85433318758434,33.90123235006,2.44181520482145
10,200,150,4,15,8,75.25,26.71035072099978,42.9985599656417,2.42910970495661
10,200,150,4,15,8,100.0,28.735981759130304,52.9416788892917,2.42127367646159
10,200,150,12,15,4,1.0,1.816927559988996,13.420699332732,3.88090392051679
10,200,150,12,15,4,25.75,12.048152804927453,46.743653352878205,3.48085568421887
10,200,150,12,15,4,50.5,12.676633909650665,85.4759267296187,3.41488843751118
10,200,150,12,15,4,75.25,11.713140159763768,136.232560900833,3.37495423459372
10,200,150,12,15,4,100.0,10.55228917535308,198.960225808013,3.34143548929026
5,200,350,4,20,8,1.0,0.8173935239663133,26.0362054077032,3.38710775641063
5,200,350,4,20,8,25.75,9.521195265385977,53.6131330249822,3.15504499593361
5,200,350,4,20,8,50.5,12.143130120536068,80.7481147834965,3.09023704173261
5,200,350,4,20,8,75.25,12.87832400830409,112.236609269289,3.05708498998475
5,200,350,4,20,8,100.0,12.773151055685403,149.23819386187802,3.03387835990963
5,250,250,8,20,6,1.0,1.0868285028864595,21.1397573315529,3.65663110170913
5,250,250,8,20,6,25.75,8.519302118210799,60.6447800552266,3.19330457634706
5,250,250,8,20,6,50.5,10.300019175305382,95.580689178798,3.10267970120498
5,250,250,8,20,6,75.25,10.738113722809564,134.55035605790104,3.05581091507419
5,250,250,8,20,6,100.0,10.610973989217342,178.996233643993,3.02286863510772
15,200,350,4,20,8,1.0,2.133203426040557,8.92172877765998,3.02901497636268
15,200,350,4,20,8,25.75,16.250618645244955,27.5837926325728,2.77055500180222
15,200,350,4,20,8,50.5,19.6621392285418,44.0957315969992,2.73247421855463
15,200,350,4,20,8,75.25,20.12376510956816,63.7547884485853,2.71353655104708
15,200,350,4,20,8,100.0,19.43142317808865,87.3167762927184,2.70036477955149
5,250,350,4,15,8,1.0,0.9169477184801212,20.961667768956,3.05907791933489
5,250,350,4,15,8,25.75,8.899865588206529,49.8505780894513,2.74218369941132
5,250,350,4,15,8,50.5,11.605247240257013,73.071325227401,2.67257643344799
5,250,350,4,15,8,75.25,12.874331248751986,96.9064288397054,2.63870533934559
5,250,350,4,15,8,100.0,13.3777232151693,122.901266158726,2.61672868311967
10,250,100,8,20,4,1.0,1.5812651797982396,10.6470156601886,2.679493649978
10,250,100,8,20,4,25.75,15.246356271975795,25.991937933029703,2.44933181414306
10,250,100,8,20,4,50.5,20.54104909964163,37.2984512827204,2.41458319381097
10,250,100,8,20,4,75.25,23.27365738763178,48.718495971781,2.39812676685939
10,250,100,8,20,4,100.0,24.566324219347013,61.0709121513523,2.38778223931587
10,200,100,8,20,4,1.0,1.4193253395417915,13.146259683398402,2.96964335390892
10,200,100,8,20,4,25.75,15.96181337962374,28.1595413486578,2.77811810033491
10,200,100,8,20,4,50.5,21.16387515231764,41.1683301033738,2.7459156713112
10,200,100,8,20,4,75.25,23.071574023519563,55.9529748427069,2.73032303758635
10,200,100,8,20,4,100.0,23.33583719784709,73.2389967745227,2.72010647738017
10,250,150,8,20,4,1.0,1.7430637945881595,10.8205875397453,3.00181730358166
10,250,150,8,20,4,25.75,13.32344659463276,32.3549352264576,2.66440364079721
10,250,150,8,20,4,50.5,16.842696527876253,49.3095857084681,2.61740984000155
10,250,150,8,20,4,75.25,18.13911188271551,67.6301769523018,2.59459854779953
10,250,150,8,20,4,100.0,18.34968854691824,88.3308502752187,2.57965269587488
5,250,250,4,15,6,1.0,0.9163312094023996,20.9151285032891,3.05023392741991
5,250,250,4,15,6,25.75,10.41685753334027,43.5035503262312,2.80094334253095
5,250,250,4,15,6,50.5,14.11623354343485,61.7208982914521,2.74586907911297
5,250,250,4,15,6,75.25,16.04429486629645,80.130004171844,2.71912659552499
5,250,250,4,15,6,100.0,16.980984428206384,99.9787352286986,2.70203290698804
10,250,150,4,15,4,1.0,1.4873894905051055,10.5672577282547,2.50153820395921
10,250,150,4,15,4,25.75,16.46847203219553,22.832608881029103,2.32408357916293
10,250,150,4,15,4,50.5,23.02378229351472,31.637878139014003,2.29568751582938
10,250,150,4,15,4,75.25,26.83980051965277,40.2053412523131,2.28232067129106
10,250,150,4,15,4,100.0,29.030019605177657,49.2185728571104,2.27403150651647
5,250,100,12,20,6,1.0,0.9593330969375056,20.964206404351803,3.20086963402829
5,250,100,12,20,6,25.75,9.90888956303019,47.3935882852011,2.90260191754714
5,250,100,12,20,6,50.5,13.053994760385086,69.0139869556154,2.83928707207026
5,250,100,12,20,6,75.25,14.5274114623006,91.3998816116843,2.80832585203449
5,250,100,12,20,6,100.0,15.11068236535232,115.937929639404,2.78823740384637
