tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
5,250,150,16,15,4,1.0,2.0816476,18.512768,6.1333632
5,250,150,16,15,4,25.75,8.271756,121.12488,6.192615
5,250,150,16,15,4,50.5,4.889549,394.72903,6.082701
5,250,150,16,15,4,75.25,3.981414,619.6548,5.2179594
5,250,150,16,15,4,100.0,4.8826947,543.1509,4.2208505
5,200,150,8,20,2,1.0,1.4443165,18.590546,4.2734103
5,200,150,8,20,2,25.75,14.246222,47.046757,4.142595
5,200,150,8,20,2,50.5,14.134495,89.748955,3.9979606
5,200,150,8,20,2,75.25,12.708695,146.05365,3.9257884
5,200,150,8,20,2,100.0,10.961082,229.2596,3.999456
5,200,150,12,15,4,1.0,1.4552748,21.619446,5.0073705
5,200,150,12,15,4,25.75,9.863463,86.927505,5.2994375
5,200,150,12,15,4,50.5,7.804507,213.50768,5.251552
5,200,150,12,15,4,75.25,6.6672993,357.2235,5.037365
5,200,150,12,15,4,100.0,5.5316677,544.082,4.790055
25,250,250,8,15,6,1.0,8.465173,3.8984044,5.2522197
25,250,250,8,15,6,25.75,15.182281,55.67843,5.2247686
25,250,250,8,15,6,50.5,8.696047,189.04317,5.180975
25,250,250,8,15,6,75.25,6.3579297,370.9763,4.988562
25,250,250,8,15,6,100.0,5.4935184,558.57477,4.8837323
25,250,100,8,20,2,1.0,4.1940966,4.3268847,2.888244
25,250,100,8,20,2,25.75,42.17403,12.051627,3.1414769
25,250,100,8,20,2,50.5,43.899597,22.240541,3.0770507
25,250,100,8,20,2,75.25,35.149128,42.61667,3.1681633
25,250,100,8,20,2,100.0,28.533966,69.568535,3.1593306
25,250,100,8,15,2,1.0,4.5160975,4.088448,2.9386096
25,250,100,8,15,2,25.75,42.7469,11.9432745,3.1555212
25,250,100,8,15,2,50.5,39.842667,24.621473,3.0916564
25,250,100,8,15,2,75.25,27.932371,54.06395,3.1939564
25,250,100,8,15,2,100.0,21.424335,98.45932,3.357255
30,250,250,16,15,2,1.0,10.295003,5.0879507,8.336611
30,250,250,16,15,2,25.75,4.597522,280.06836,7.9584937
