tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
15,200,100,12,40,6,1.0,2.90709606228726,8.79264139527236,4.06816796380212
15,200,100,12,40,6,25.75,23.9022187128605,26.8531256462415,3.96712566995243
15,200,100,12,40,6,50.5,19.5513036808975,64.016718165519,3.9445537757068
15,200,100,12,40,6,75.25,15.3078789224461,121.158386414201,3.92267318494261
15,200,100,12,40,6,100.0,12.4314626240622,196.996978190102,3.89764180379193
15,200,150,16,10,4,1.0,2.09280997953963,8.75034420121149,2.91457386236511
15,200,150,16,10,4,25.75,23.8587191747324,19.1439231248311,2.82306556931594
15,200,150,16,10,4,50.5,24.9487841004942,35.6741461420301,2.80499263582745
15,200,150,16,10,4,75.25,22.3207837645116,59.1192220852109,2.79094821492957
15,200,150,16,10,4,100.0,19.671264247222,88.7112599458579,2.77735344540124
20,250,250,8,30,4,1.0,6.05660949156322,5.40318504375971,5.20834261935801
20,250,250,8,30,4,25.75,16.4589179379072,50.3794827791411,5.12504735591508
20,250,250,8,30,4,50.5,9.72174715622433,164.584839398627,5.04269734536256
20,250,250,8,30,4,75.25,6.99590883248518,333.222129935356,4.93050728395883
20,250,250,8,30,4,100.0,5.59229703480866,539.568094458144,4.80238112867327
20,200,250,8,25,6,1.0,4.9540764194267,6.71706471094442,5.29617546918896
20,200,250,8,25,6,25.75,15.4852255662294,54.0208161957403,5.17036943775528
20,200,250,8,25,6,50.5,9.56615327119196,168.553725780044,5.08164643909816
20,200,250,8,25,6,75.25,6.98592678643955,336.162227860591,4.96691320035894
20,200,250,8,25,6,100.0,5.62673877706261,540.274933434608,4.83828785816287
