tCu,wCu,tLam,nLam,aln,tsu,freq,real_Q,real_R,real_L,pre_Q,pre_R,pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,7.78690824562362,5.5485100410531,6.87640686647141,8.555687,5.289087,7.202043
20.0,250.0,250.0,12.0,20.0,6.0,25.75,8.29640771745883,129.799699238985,6.65589820463454,10.874537,92.84102,6.240131
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.78154974208618,417.26824114474095,6.28800332694769,6.726468,275.81015,5.8469057
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.5599474642082,780.3712025648,5.87568426963236,3.3080904,861.4421,6.027219
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.95181557256772,1167.42268966935,5.48450555993825,2.763354,1307.2664,5.749374
15.0,200.0,250.0,12.0,20.0,2.0,1.0,4.99989431138068,9.1574708265024,7.28712970469703,6.9636335,7.1867247,7.9650235
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.74753670839069,145.264479741441,6.95610251776218,7.724443,161.34912,7.7033024
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.61956941629477,449.95525578218695,6.55087903427649,3.6105897,646.892,7.3610315
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.47755479740122,830.4724355802749,6.10819413577962,3.1189873,959.25824,6.327945
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.90141389314907,1233.04372041909,5.69387978609543,2.6713245,1362.4763,5.7926264
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.78665688320873,7.02240628595761,3.11450894040817,2.3694165,8.006597,3.0193224
15.0,250.0,100.0,8.0,20.0,2.0,25.75,36.8733871096474,13.4356279035383,3.06206142716873,30.365017,15.023268,2.8195586
15.0,250.0,100.0,8.0,20.0,2.0,50.5,38.0738133701813,25.4626014690846,3.05532844230389,33.70756,25.354372,2.6934497
15.0,250.0,100.0,8.0,20.0,2.0,75.25,32.8855296301336,43.8549130233428,3.0502590341177,28.182978,52.569973,3.1335607
15.0,250.0,100.0,8.0,20.0,2.0,100.0,27.9035796566594,68.5672954562632,3.04506853939085,29.293848,69.394135,3.2353344
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.30534999828629,8.97508083429121,6.14988455145217,4.761529,8.570845,6.4951644
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.2085696415619,85.9948152399169,5.95751796374831,10.740832,91.21604,6.0555296
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.78648715313557,270.349410475334,5.78228124733261,5.634621,338.02188,6.002584
15.0,200.0,150.0,16.0,20.0,4.0,75.25,4.98053734226106,528.037145868953,5.56229864667191,4.5194335,599.3272,5.7287707
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.05049389011173,826.551743718643,5.32841643866205,3.57956,998.82544,5.6903515
20.0,200.0,150.0,16.0,20.0,2.0,1.0,5.61153808048859,6.85546204182649,6.12264073496214,6.5231857,6.210837,6.4480734
20.0,200.0,150.0,16.0,20.0,2.0,25.75,11.5850797428306,82.8577193110965,5.93300754684983,8.28134,129.81067,6.6443706
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.86526408964937,266.237062234343,5.76042483509065,5.811779,314.85657,5.7670074
20.0,200.0,150.0,16.0,20.0,2.0,75.25,5.01090977862549,522.935265538553,5.54214828271035,4.583574,579.032,5.613325
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.06580995942444,820.522060987161,5.30954699629348,3.3864715,1050.4851,5.6618342
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.79789234493848,8.87159681189552,5.36246632433048,4.034534,8.721589,5.6002717
15.0,200.0,250.0,8.0,20.0,6.0,25.75,14.6752330961266,57.6211845075615,5.22648957129077,11.742433,69.9352,5.0757136
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.36741546183419,173.874280142173,5.13314912043055,7.78529,203.36336,4.9897194
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.9141813009665,342.926497714937,5.01482098688699,6.1380553,398.10275,5.168203
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.60140799581591,547.821215731726,4.88378105699179,5.4991193,563.60547,4.932739
20.0,250.0,350.0,8.0,20.0,2.0,1.0,7.51357561761619,5.5512566453487,6.63831870913661,8.166386,5.402028,7.021127
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.18053980440144,113.564234074755,6.44395787000802,11.7119465,86.04253,6.228524
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.3224597673104,365.931522176473,6.13819898431469,6.295206,324.79727,6.443932
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.96422843216814,690.933772650763,5.79306926006333,3.921599,706.68805,5.8614397
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.28060708647033,1046.17776269883,5.46235390844786,2.5904098,1387.9934,5.7223673
15.0,250.0,350.0,16.0,15.0,4.0,1.0,8.92505900482328,8.7749923011853,12.464589253075,9.971567,8.022544,12.731971
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.63785915672059,592.510680207269,9.66030158474199,2.2109509,737.0631,10.072261
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.79612310337317,1312.31526853178,7.4285326156475,1.7890054,1302.1923,7.342017
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5331277689516,1852.22240809073,6.00599700463106,1.1811209,2102.635,5.2525682
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.44898250718098,2226.1798485963,5.13385408953155,1.5043242,2073.6199,4.9646716
20.0,200.0,350.0,12.0,15.0,2.0,1.0,8.25728380118009,7.4847997806793,9.83643056229113,8.663094,6.3776536,8.793345
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.06006950858375,344.92967119222703,8.65579418716602,4.49668,324.5539,9.020318
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.6525045024335,890.183024797461,7.44156349294085,2.9684482,796.8382,7.454669
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.11880011949668,1444.18986424143,6.47184204003799,1.8101021,1666.4658,6.379885
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.85249255320979,1934.19826258974,5.70266147297061,1.7427938,1969.0532,5.4616446
10.0,200.0,100.0,8.0,15.0,6.0,1.0,1.66240641228348,13.0523277926542,3.45338747099187,1.4220284,13.122186,2.9698505
10.0,200.0,100.0,8.0,15.0,6.0,25.75,22.070869296377,24.6579529769882,3.36371628024652,25.480886,19.596943,3.086355
10.0,200.0,100.0,8.0,15.0,6.0,50.5,24.5842813088735,43.1936767617731,3.34662032408976,30.188278,31.9954,3.0440707
10.0,200.0,100.0,8.0,15.0,6.0,75.25,22.4227131317624,70.3260390605784,3.33516976986994,26.086273,55.28145,3.0500348
10.0,200.0,100.0,8.0,15.0,6.0,100.0,19.7021596934949,106.017991700103,3.32440203613327,21.124594,102.70324,3.4529674
10.0,200.0,150.0,12.0,20.0,2.0,1.0,2.49252119110915,13.257962854014,5.25939499616662,2.2880185,15.341857,5.5867295
10.0,200.0,150.0,12.0,20.0,2.0,25.75,14.622518706885,56.2063528732285,5.07984533416827,14.482633,66.71237,5.9716845
10.0,200.0,150.0,12.0,20.0,2.0,50.5,10.3578468431972,153.358953360956,5.0061905312682,11.5775795,152.4597,5.562904
10.0,200.0,150.0,12.0,20.0,2.0,75.25,7.81194375495611,297.60880140082,4.91720716649907,7.032002,342.98514,5.101144
10.0,200.0,150.0,12.0,20.0,2.0,100.0,6.33671970170783,477.495465302148,4.81563852493551,7.56495,396.93393,4.779079
15.0,200.0,350.0,8.0,20.0,6.0,1.0,4.72964888906003,9.0039952627986,6.77773042013197,3.997883,10.522757,6.6954503
15.0,200.0,350.0,8.0,20.0,6.0,25.75,8.75695769434263,120.632849823932,6.52922654416739,9.514679,118.89703,6.9921103
15.0,200.0,350.0,8.0,20.0,6.0,50.5,5.26441642533004,374.577053441251,6.21469984367247,5.342777,373.60037,6.2907596
15.0,200.0,350.0,8.0,20.0,6.0,75.25,3.96035888791145,700.312680005713,5.86597436480454,3.8300426,733.11523,5.9386716
15.0,200.0,350.0,8.0,20.0,6.0,100.0,3.29306389834825,1055.82305638839,5.53364674134851,2.9868994,1201.93,5.7137294
10.0,250.0,250.0,12.0,20.0,2.0,1.0,4.16117963646623,10.806656832615,7.15694956486041,4.8982706,10.530201,8.209175
10.0,250.0,250.0,12.0,20.0,2.0,25.75,7.74424723344601,143.945302712299,6.8900060760767,9.861414,111.130455,6.773533
10.0,250.0,250.0,12.0,20.0,2.0,50.5,4.59823799609335,447.957650488799,6.49168080420603,5.6602063,414.3198,7.3908863
10.0,250.0,250.0,12.0,20.0,2.0,75.25,3.45204132867883,828.766847422007,6.05092798061253,3.0261157,933.3999,5.9740214
10.0,250.0,250.0,12.0,20.0,2.0,100.0,2.87474452310511,1231.98611633843,5.63670362616637,3.054201,1177.1025,5.7217913
20.0,200.0,100.0,12.0,15.0,2.0,1.0,4.02524190422373,6.70139415024307,4.29316202395863,5.049816,5.133724,4.1259913
20.0,200.0,100.0,12.0,15.0,2.0,25.75,23.6975933082117,28.5584958590955,4.18294804292526,18.670425,42.975163,4.9592366
20.0,200.0,100.0,12.0,15.0,2.0,50.5,17.0850586400714,77.11396258664,4.15219984280292,11.80135,120.32374,4.4751916
20.0,200.0,100.0,12.0,15.0,2.0,75.25,12.8852600761786,151.048989046698,4.11646700840899,8.922126,223.94261,4.225895
20.0,200.0,100.0,12.0,15.0,2.0,100.0,10.386591029279,246.482430845211,4.07454512310246,7.903699,356.16443,4.4802356
10.0,250.0,100.0,8.0,15.0,6.0,1.0,1.98154855748022,10.4375734318478,3.29173143339234,1.7631007,10.237297,2.872649
10.0,250.0,100.0,8.0,15.0,6.0,25.75,28.3922075870693,18.4896032980723,3.24466342441176,29.120346,15.412464,2.7740333
10.0,250.0,100.0,8.0,15.0,6.0,50.5,29.6687677883919,34.6088227328785,3.23604900258643,29.36822,32.211533,2.9813828
10.0,250.0,100.0,8.0,15.0,6.0,75.25,25.671070524945,59.4641212539292,3.22858788346715,33.458843,40.83405,2.8896608
10.0,250.0,100.0,8.0,15.0,6.0,100.0,21.7994341779435,92.8191936945752,3.22035051406585,22.876728,88.29221,3.21467
20.0,200.0,250.0,12.0,20.0,6.0,1.0,6.41278489325926,6.8857269558245005,7.02775481585167,6.5990105,6.1951127,6.5065117
20.0,200.0,250.0,12.0,20.0,6.0,25.75,8.08630053273813,135.158081696511,6.75514686579514,7.9599743,122.48974,6.0263524
20.0,200.0,250.0,12.0,20.0,6.0,50.5,4.74580959492312,426.293631528117,6.37599412567809,4.943936,400.15567,6.234913
20.0,200.0,250.0,12.0,20.0,6.0,75.25,3.55373272383771,792.511788055839,5.95667793787962,3.4833298,814.63544,6.001658
20.0,200.0,250.0,12.0,20.0,6.0,100.0,2.95588674123614,1182.06523034879,5.56095478780755,2.757653,1338.5232,5.8746977
15.0,200.0,150.0,8.0,20.0,4.0,1.0,2.83945713297626,8.81087589502275,3.98175498330497,2.5482428,8.867265,3.5962563
15.0,200.0,150.0,8.0,20.0,4.0,25.75,24.3579902316693,25.7358085992799,3.87455801611286,25.534908,25.763508,4.06614
15.0,200.0,150.0,8.0,20.0,4.0,50.5,20.5174045079747,59.5804850274509,3.85261142924838,23.26025,52.191097,3.825951
15.0,200.0,150.0,8.0,20.0,4.0,75.25,16.2861927375304,111.243966380439,3.83186025783882,12.087856,154.89795,3.9601212
15.0,200.0,150.0,8.0,20.0,4.0,100.0,13.3335827801856,179.467738319999,3.80849494050103,13.942106,171.24544,3.7998574
10.0,250.0,350.0,8.0,15.0,2.0,1.0,4.13682183701474,10.7757595981181,7.09471318074591,3.9289246,12.006625,7.5078363
10.0,250.0,350.0,8.0,15.0,2.0,25.75,7.69198320875013,143.23453180901498,6.80971535113325,23.186884,36.927505,5.2921896
10.0,250.0,350.0,8.0,15.0,2.0,50.5,4.76308863324873,426.080172009294,6.39600421146588,7.741951,267.98752,6.5387354
10.0,250.0,350.0,8.0,15.0,2.0,75.25,3.68839869953999,768.4845513333939,5.99496468353908,3.6414475,732.0613,5.63813
10.0,250.0,350.0,8.0,15.0,2.0,100.0,3.11425853578506,1137.54427621413,5.63823411030911,3.314215,1106.131,5.834549
15.0,200.0,350.0,8.0,15.0,2.0,1.0,4.95869376504012,9.1383452079551,7.21198774030941,3.9257262,9.37452,5.8571877
15.0,200.0,350.0,8.0,15.0,2.0,25.75,7.7332607484397,143.568915933065,6.86224110985664,9.493484,113.57115,6.6640263
15.0,200.0,350.0,8.0,15.0,2.0,50.5,4.80692699926242,425.529341967636,6.44652679382788,5.9430428,375.59988,7.0349827
15.0,200.0,350.0,8.0,15.0,2.0,75.25,3.72871824271105,766.745455942382,6.04678331083349,2.9855964,958.34674,6.0515585
15.0,200.0,350.0,8.0,15.0,2.0,100.0,3.15146306832827,1134.75103875404,5.69158128488456,2.4193692,1554.0822,5.984061
20.0,250.0,350.0,8.0,20.0,4.0,1.0,7.49015204640443,5.5264900503857,6.58809962409202,9.131526,4.8885717,7.1046968
20.0,250.0,350.0,8.0,20.0,4.0,25.75,9.23798221992876,112.079380790439,6.3994955767308,10.022891,104.864944,6.4963045
20.0,250.0,350.0,8.0,20.0,4.0,50.5,5.35583248978489,361.31175195877,6.09870780748164,5.9854717,321.23468,6.0596795
20.0,250.0,350.0,8.0,20.0,4.0,75.25,3.9879992637595,682.73792385092,5.75867705359425,3.9556293,700.6434,5.8617334
20.0,250.0,350.0,8.0,20.0,4.0,100.0,3.29929888159458,1034.53277637404,5.43232877146505,3.5538044,977.5588,5.5291247
