tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20,250,250,12,20,6,1.0,8.555687,5.289087,7.202043
20,250,250,12,20,6,25.75,10.874537,92.84102,6.240131
20,250,250,12,20,6,50.5,6.726468,275.81015,5.8469057
20,250,250,12,20,6,75.25,3.3080904,861.4421,6.027219
20,250,250,12,20,6,100.0,2.763354,1307.2664,5.749374
15,200,250,12,20,2,1.0,6.9636335,7.1867247,7.9650235
15,200,250,12,20,2,25.75,7.724443,161.34912,7.7033024
15,200,250,12,20,2,50.5,3.6105897,646.892,7.3610315
15,200,250,12,20,2,75.25,3.1189873,959.25824,6.327945
15,200,250,12,20,2,100.0,2.6713245,1362.4763,5.7926264
15,250,100,8,20,2,1.0,2.3694165,8.006597,3.0193224
15,250,100,8,20,2,25.75,30.365017,15.023268,2.8195586
15,250,100,8,20,2,50.5,33.70756,25.354372,2.6934497
15,250,100,8,20,2,75.25,28.182978,52.569973,3.1335607
15,250,100,8,20,2,100.0,29.293848,69.394135,3.2353344
15,200,150,16,20,4,1.0,4.761529,8.570845,6.4951644
15,200,150,16,20,4,25.75,10.740832,91.21604,6.0555296
15,200,150,16,20,4,50.5,5.634621,338.02188,6.002584
15,200,150,16,20,4,75.25,4.5194335,599.3272,5.7287707
15,200,150,16,20,4,100.0,3.57956,998.82544,5.6903515
20,200,150,16,20,2,1.0,6.5231857,6.210837,6.4480734
20,200,150,16,20,2,25.75,8.28134,129.81067,6.6443706
20,200,150,16,20,2,50.5,5.811779,314.85657,5.7670074
20,200,150,16,20,2,75.25,4.583574,579.032,5.613325
20,200,150,16,20,2,100.0,3.3864715,1050.4851,5.6618342
15,200,250,8,20,6,1.0,4.034534,8.721589,5.6002717
15,200,250,8,20,6,25.75,11.742433,69.9352,5.0757136
15,200,250,8,20,6,50.5,7.78529,203.36336,4.9897194
15,200,250,8,20,6,75.25,6.1380553,398.10275,5.168203
15,200,250,8,20,6,100.0,5.4991193,563.60547,4.932739
20,250,350,8,20,2,1.0,8.166386,5.402028,7.021127
20,250,350,8,20,2,25.75,11.7119465,86.04253,6.228524
20,250,350,8,20,2,50.5,6.295206,324.79727,6.443932
20,250,350,8,20,2,75.25,3.921599,706.68805,5.8614397
20,250,350,8,20,2,100.0,2.5904098,1387.9934,5.7223673
15,250,350,16,15,4,1.0,9.971567,8.022544,12.731971
15,250,350,16,15,4,25.75,2.2109509,737.0631,10.072261
15,250,350,16,15,4,50.5,1.7890054,1302.1923,7.342017
15,250,350,16,15,4,75.25,1.1811209,2102.635,5.2525682
15,250,350,16,15,4,100.0,1.5043242,2073.6199,4.9646716
20,200,350,12,15,2,1.0,8.663094,6.3776536,8.793345
20,200,350,12,15,2,25.75,4.49668,324.5539,9.020318
20,200,350,12,15,2,50.5,2.9684482,796.8382,7.454669
20,200,350,12,15,2,75.25,1.8101021,1666.4658,6.379885
20,200,350,12,15,2,100.0,1.7427938,1969.0532,5.4616446
10,200,100,8,15,6,1.0,1.4220284,13.122186,2.9698505
10,200,100,8,15,6,25.75,25.480886,19.596943,3.086355
10,200,100,8,15,6,50.5,30.188278,31.9954,3.0440707
10,200,100,8,15,6,75.25,26.086273,55.28145,3.0500348
10,200,100,8,15,6,100.0,21.124594,102.70324,3.4529674
10,200,150,12,20,2,1.0,2.2880185,15.341857,5.5867295
10,200,150,12,20,2,25.75,14.482633,66.71237,5.9716845
10,200,150,12,20,2,50.5,11.5775795,152.4597,5.562904
10,200,150,12,20,2,75.25,7.032002,342.98514,5.101144
10,200,150,12,20,2,100.0,7.56495,396.93393,4.779079
15,200,350,8,20,6,1.0,3.997883,10.522757,6.6954503
15,200,350,8,20,6,25.75,9.514679,118.89703,6.9921103
15,200,350,8,20,6,50.5,5.342777,373.60037,6.2907596
15,200,350,8,20,6,75.25,3.8300426,733.11523,5.9386716
15,200,350,8,20,6,100.0,2.9868994,1201.93,5.7137294
10,250,250,12,20,2,1.0,4.8982706,10.530201,8.209175
10,250,250,12,20,2,25.75,9.861414,111.130455,6.773533
10,250,250,12,20,2,50.5,5.6602063,414.3198,7.3908863
10,250,250,12,20,2,75.25,3.0261157,933.3999,5.9740214
10,250,250,12,20,2,100.0,3.054201,1177.1025,5.7217913
20,200,100,12,15,2,1.0,5.049816,5.133724,4.1259913
20,200,100,12,15,2,25.75,18.670425,42.975163,4.9592366
20,200,100,12,15,2,50.5,11.80135,120.32374,4.4751916
20,200,100,12,15,2,75.25,8.922126,223.94261,4.225895
20,200,100,12,15,2,100.0,7.903699,356.16443,4.4802356
10,250,100,8,15,6,1.0,1.7631007,10.237297,2.872649
10,250,100,8,15,6,25.75,29.120346,15.412464,2.7740333
10,250,100,8,15,6,50.5,29.36822,32.211533,2.9813828
10,250,100,8,15,6,75.25,33.458843,40.83405,2.8896608
10,250,100,8,15,6,100.0,22.876728,88.29221,3.21467
20,200,250,12,20,6,1.0,6.5990105,6.1951127,6.5065117
20,200,250,12,20,6,25.75,7.9599743,122.48974,6.0263524
20,200,250,12,20,6,50.5,4.943936,400.15567,6.234913
20,200,250,12,20,6,75.25,3.4833298,814.63544,6.001658
20,200,250,12,20,6,100.0,2.757653,1338.5232,5.8746977
15,200,150,8,20,4,1.0,2.5482428,8.867265,3.5962563
15,200,150,8,20,4,25.75,25.534908,25.763508,4.06614
15,200,150,8,20,4,50.5,23.26025,52.191097,3.825951
15,200,150,8,20,4,75.25,12.087856,154.89795,3.9601212
15,200,150,8,20,4,100.0,13.942106,171.24544,3.7998574
10,250,350,8,15,2,1.0,3.9289246,12.006625,7.5078363
10,250,350,8,15,2,25.75,23.186884,36.927505,5.2921896
10,250,350,8,15,2,50.5,7.741951,267.98752,6.5387354
10,250,350,8,15,2,75.25,3.6414475,732.0613,5.63813
10,250,350,8,15,2,100.0,3.314215,1106.131,5.834549
15,200,350,8,15,2,1.0,3.9257262,9.37452,5.8571877
15,200,350,8,15,2,25.75,9.493484,113.57115,6.6640263
15,200,350,8,15,2,50.5,5.9430428,375.59988,7.0349827
15,200,350,8,15,2,75.25,2.9855964,958.34674,6.0515585
15,200,350,8,15,2,100.0,2.4193692,1554.0822,5.984061
20,250,350,8,20,4,1.0,9.131526,4.8885717,7.1046968
20,250,350,8,20,4,25.75,10.022891,104.864944,6.4963045
20,250,350,8,20,4,50.5,5.9854717,321.23468,6.0596795
20,250,350,8,20,4,75.25,3.9556293,700.6434,5.8617334
20,250,350,8,20,4,100.0,3.5538044,977.5588,5.5291247
20,250,250,12,20,2,1.0,9.817667,4.6339498,7.2406864
20,250,250,12,20,2,25.75,8.571316,134.46735,7.1237297
20,250,250,12,20,2,50.5,5.555235,389.97903,6.8276677
20,250,250,12,20,2,75.25,3.5561728,814.55615,6.1265693
20,250,250,12,20,2,100.0,2.6515124,1354.785,5.7172103
20,250,100,16,20,4,1.0,6.184479,5.29336,5.210204
20,250,100,16,20,4,25.75,21.045849,34.915565,4.5418057
20,250,100,16,20,4,50.5,12.120271,127.98248,4.888679
20,250,100,16,20,4,75.25,7.666027,303.41144,4.919442
20,250,100,16,20,4,100.0,5.816886,515.85895,4.7757516
20,250,100,12,15,6,1.0,5.8148255,4.1878633,3.8756928
20,250,100,12,15,6,25.75,29.846771,21.32658,3.9342477
20,250,100,12,15,6,50.5,19.759048,64.54869,4.0195937
20,250,100,12,15,6,75.25,11.348426,162.87985,3.9094567
20,250,100,12,15,6,100.0,10.700376,238.83679,4.067432
10,250,350,8,20,4,1.0,3.1301887,14.647878,7.297353
10,250,350,8,20,4,25.75,10.458854,100.24741,6.4803777
10,250,350,8,20,4,50.5,6.004173,330.03763,6.245185
10,250,350,8,20,4,75.25,3.8106909,737.0936,5.940732
10,250,350,8,20,4,100.0,2.807398,1255.5958,5.6101418
15,200,100,12,15,4,1.0,3.3591,7.6445394,4.086904
15,200,100,12,15,4,25.75,25.025911,27.091444,4.190492
15,200,100,12,15,4,50.5,22.97746,46.26439,3.350252
15,200,100,12,15,4,75.25,13.1528225,128.08261,3.5630562
15,200,100,12,15,4,100.0,15.745958,146.83119,3.6796577
10,250,100,12,20,2,1.0,1.3159082,16.036467,3.3585703
10,250,100,12,20,2,25.75,20.475698,27.168934,3.4383843
10,250,100,12,20,2,50.5,23.906643,49.22019,3.7084339
10,250,100,12,20,2,75.25,18.383846,92.21872,3.58566
10,250,100,12,20,2,100.0,15.323187,153.19821,3.7361364
20,200,250,12,20,2,1.0,7.4240694,6.0836883,7.188349
20,200,250,12,20,2,25.75,7.644483,158.31438,7.480173
20,200,250,12,20,2,50.5,3.9431002,563.1426,6.9981756
20,200,250,12,20,2,75.25,3.4509857,871.3074,6.359572
20,200,250,12,20,2,100.0,2.6747801,1391.4233,5.9233494
10,250,100,16,15,6,1.0,3.2303374,9.856212,5.067318
10,250,100,16,15,6,25.75,20.794285,29.196852,3.7525208
10,250,100,16,15,6,50.5,18.56335,55.65841,3.2562363
10,250,100,16,15,6,75.25,8.214628,236.50426,4.1090403
10,250,100,16,15,6,100.0,8.944008,322.7606,4.5944395
20,200,100,12,20,2,1.0,5.099606,5.257943,4.267491
20,200,100,12,20,2,25.75,23.93145,28.134226,4.161473
20,200,100,12,20,2,50.5,18.599325,72.47387,4.2482233
20,200,100,12,20,2,75.25,13.93164,144.58968,4.260425
20,200,100,12,20,2,100.0,11.649331,214.17442,3.9708982
15,200,350,16,20,4,1.0,8.591692,8.324514,11.383027
15,200,350,16,20,4,25.75,2.5445874,612.8008,9.637839
15,200,350,16,20,4,50.5,2.0334744,1194.1378,7.652827
15,200,350,16,20,4,75.25,1.5587369,1742.9661,5.746128
15,200,350,16,20,4,100.0,1.4911755,2093.7407,4.969033
10,200,100,8,20,2,1.0,1.2231987,16.23391,3.1603866
10,200,100,8,20,2,25.75,18.41546,24.946375,2.8394423
10,200,100,8,20,2,50.5,22.072205,44.27357,3.0797749
10,200,100,8,20,2,75.25,25.15496,55.924446,2.9753544
10,200,100,8,20,2,100.0,24.577885,81.68015,3.195074
15,200,150,12,15,2,1.0,3.4121015,7.108043,3.8600435
15,200,150,12,15,2,25.75,16.366844,50.40763,5.0992265
15,200,150,12,15,2,50.5,12.87177,117.01046,4.7466974
15,200,150,12,15,2,75.25,6.3238635,352.69983,4.717383
15,200,150,12,15,2,100.0,8.36958,321.64886,4.2845545
10,250,150,16,20,6,1.0,4.094651,8.908331,5.8054166
10,250,150,16,20,6,25.75,10.842953,94.09804,6.3062487
10,250,150,16,20,6,50.5,6.197735,287.71106,5.619767
10,250,150,16,20,6,75.25,4.4643636,588.5182,5.5569053
10,250,150,16,20,6,100.0,3.86289,881.09216,5.4169354
20,200,150,12,20,6,1.0,4.982206,6.4192047,5.0900626
20,200,150,12,20,6,25.75,16.067915,53.01328,5.264864
20,200,150,12,20,6,50.5,9.049385,178.69261,5.096293
20,200,150,12,20,6,75.25,6.4321785,353.18414,4.8047714
20,200,150,12,20,6,100.0,5.0867805,613.52844,4.9670396
10,250,100,8,15,4,1.0,1.7186288,9.474027,2.591414
10,250,100,8,15,4,25.75,26.997766,16.73041,2.7917562
10,250,100,8,15,4,50.5,33.292187,27.410292,2.8759727
10,250,100,8,15,4,75.25,31.268183,40.05821,2.6491559
10,250,100,8,15,4,100.0,25.724691,73.75138,3.0195367
15,250,350,8,20,6,1.0,6.2553883,6.9778905,6.9470196
15,250,350,8,20,6,25.75,9.840994,96.99467,5.8996997
15,250,350,8,20,6,50.5,6.68396,277.53024,5.846187
15,250,350,8,20,6,75.25,4.1923356,659.3924,5.846735
15,250,350,8,20,6,100.0,3.236552,1118.5264,5.7616773
20,200,250,8,15,2,1.0,6.603037,5.741006,6.033259
20,200,250,8,15,2,25.75,21.6472,37.279312,4.98784
20,200,250,8,15,2,50.5,8.796032,179.4778,4.9753785
20,200,250,8,15,2,75.25,6.1120267,365.88458,4.7298
20,200,250,8,15,2,100.0,4.759597,688.74994,5.2173734
15,250,250,12,20,4,1.0,7.2567115,6.878804,7.9446163
15,250,250,12,20,4,25.75,11.682062,76.077736,5.4931335
15,250,250,12,20,4,50.5,6.104541,293.2388,5.6416116
15,250,250,12,20,4,75.25,3.9804215,711.7937,5.992345
15,250,250,12,20,4,100.0,2.8810134,1290.196,5.915905
20,250,100,12,20,2,1.0,5.5803747,5.2525997,4.6650662
20,250,100,12,20,2,25.75,23.408646,30.459496,4.40699
20,250,100,12,20,2,50.5,20.321564,64.32228,4.119526
20,250,100,12,20,2,75.25,13.490014,148.44473,4.235363
20,250,100,12,20,2,100.0,11.178799,230.00012,4.092072
10,250,100,8,20,4,1.0,1.7960421,10.731734,3.0676553
10,250,100,8,20,4,25.75,27.966917,16.363466,2.8285441
10,250,100,8,20,4,50.5,29.048653,30.527693,2.7947862
