Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
5.229883,4.8860664,5.870123,5.3930216,4.9974685,5.8223433,1.0
48.64325,4.9915476,16.602352,44.833843,4.921201,17.75915,25.749998
147.56593,5.010108,10.77289,143.87048,4.8459587,10.687576,50.499992
273.49527,4.610418,7.9703417,287.9164,4.746268,7.794214,75.25001
418.54672,4.529516,6.799672,461.9017,4.6363635,6.3067822,100.0
6.036323,9.568425,9.959739,6.062314,9.5721445,9.920891,1.0
340.77194,8.478684,4.0255156,334.79218,8.487707,4.1017804,25.749998
890.50653,7.0687613,2.5187058,871.87384,7.3009915,2.657048,50.499992
1445.6003,6.201146,2.0281978,1419.2037,6.346698,2.1144114,75.25001
1941.1869,5.4709997,1.7708393,1903.7345,5.587496,1.8441267,100.0
7.0965505,9.677696,8.568494,7.428303,9.729342,8.229506,1.0
329.83078,8.44162,4.1408687,340.1489,8.580302,4.0812254,25.749998
910.7493,7.1800323,2.5014906,879.8302,7.383416,2.662746,50.499992
1454.126,6.383681,2.0756567,1429.2416,6.4242716,2.1252239,75.25001
1807.776,5.5204015,1.9186949,1915.6154,5.6621337,1.8571703,100.0
5.86605,8.667771,9.284137,5.888693,8.9251,9.5230055,1.0
257.72665,7.6738243,4.817364,291.0391,8.20865,4.5632834,25.749998
828.4479,6.7765183,2.5954504,822.1204,7.117933,2.7471962,50.499992
1327.908,6.1615305,2.1938508,1355.0061,6.173985,2.1543224,75.25001
1706.9467,5.3680882,1.9759661,1819.6061,5.437195,1.8774884,100.0
5.6304827,4.8421917,5.403514,5.3749175,4.9644628,5.803371,1.0
43.14977,4.892302,18.343899,44.289036,4.8913317,17.868498,25.749998
123.46903,4.757602,12.226477,142.04248,4.817323,10.761153,50.499992
272.19437,4.754906,8.259417,284.30655,4.7192173,7.8481884,75.25001
428.02875,4.496975,6.6012716,456.26532,4.6109953,6.3497577,100.0
6.4281545,5.2100134,5.0925164,6.721407,5.3463364,4.9977665,1.0
61.29758,5.103801,13.471231,55.02398,5.219033,15.345995,25.749998
140.25583,4.8447714,10.96033,172.5976,5.1304555,9.431752,50.499992
342.57092,5.1343403,7.08632,345.92697,5.0143924,6.853624,75.25001
599.8447,5.038778,5.277964,558.2877,4.8820615,5.49446,100.0
5.277793,5.1796985,6.166405,5.4201336,5.2187514,6.0497355,1.0
48.069263,4.877418,16.41646,50.58256,5.132564,16.416883,25.749998
170.96445,4.990249,9.261635,164.74867,5.0476675,9.721652,50.499992
326.22137,4.863721,7.0492473,332.10745,4.9334464,7.023576,75.25001
439.94528,4.4593153,6.3686805,535.5865,4.8049846,5.636925,100.0
8.77603,4.1155972,2.9465559,8.81364,4.0085235,2.8576496,1.0
26.483696,4.0059752,24.472961,26.047592,3.8997617,24.222975,25.749998
62.037437,3.9533932,20.220295,60.584824,3.87762,20.308262,50.499992
114.2639,3.7873552,15.671607,113.38101,3.856745,16.083002,75.25001
191.6206,3.8047292,12.475598,183.21849,3.8332253,13.145432,100.0
9.376351,4.0074577,2.6854372,8.765549,3.9298923,2.8169649,1.0
26.023758,3.8703344,24.06221,25.04689,3.841135,24.812061,25.749998
64.834,3.9207852,19.188522,58.175934,3.8206003,20.838163,50.499992
113.63936,3.7085335,15.429788,108.97856,3.801,16.490862,75.25001
188.75598,3.683363,12.260941,176.29584,3.7787418,13.467441,100.0
4.4361463,7.9635158,11.279213,3.6050773,8.432031,14.695944,1.0
213.5539,7.419819,5.621378,251.06204,7.864938,5.068407,25.749998
723.65717,6.7898364,2.9771292,737.9331,6.943266,2.9855063,50.499992
1264.2621,5.938252,2.2207932,1248.8182,6.098386,2.3088834,75.25001
1572.9629,5.4383664,2.1723506,1709.674,5.4139705,1.9896766,100.0
9.0625105,8.787211,6.0923147,9.322484,8.836414,5.9555836,1.0
280.7844,8.231262,4.742972,271.94995,8.163473,4.856719,25.749998
793.7009,7.1564817,2.8609743,777.3324,7.1870103,2.93368,50.499992
1395.7812,6.3324895,2.145081,1302.9009,6.3071313,2.2887943,75.25001
1887.6339,5.488249,1.8268207,1775.1909,5.6004896,1.9822605,100.0
10.478856,12.833971,7.6953263,10.703396,13.077675,7.6769524,1.0
712.8664,9.8102665,2.2265348,697.0355,9.759358,2.265288,25.749998
1442.6049,6.9886794,1.5371597,1411.0509,7.0626163,1.5881596,50.499992
1906.3243,5.7952075,1.4373376,1865.7161,5.6492505,1.4316326,75.25001
2245.655,4.7005014,1.315168,2169.8474,4.8714204,1.4106079,100.0
5.3177795,4.9555426,5.855186,5.403185,5.2083426,6.05661,1.0
55.50501,5.026412,14.651528,50.379486,5.125047,16.45892,25.749998
181.99323,4.9581747,8.644459,164.58481,5.0426974,9.721747,50.499992
