Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
113.53275,3.8526602,16.044497,113.85696,3.8649054,16.04965,75.25001
183.17633,3.7978585,13.027151,183.57031,3.8407938,13.146141,100.0
9.538532,9.326279,6.14337,9.534258,9.418252,6.2067356,1.0
316.4117,8.59376,4.394278,314.0786,8.534182,4.3962317,25.749998
859.0818,7.4080057,2.7361393,862.27637,7.379989,2.7156918,50.499992
1397.0422,6.2696037,2.1218622,1410.0991,6.407785,2.1485467,75.25001
1840.3993,5.543832,1.8926827,1890.3218,5.650939,1.8782995,100.0
9.697224,9.744459,6.3137903,9.608678,9.873866,6.4565926,1.0
353.0626,8.749471,4.0094695,348.84647,8.68521,4.028126,25.749998
898.2106,7.531214,2.6604686,895.6867,7.4651556,2.644563,50.499992
1421.4073,6.3545184,2.113735,1450.8616,6.492267,2.1157126,75.25001
1848.4219,5.610341,1.907076,1941.7054,5.721161,1.8513169,100.0
7.6251216,8.949795,7.3747296,7.623497,9.014064,7.4292717,1.0
295.09473,8.27122,4.5348725,297.11365,8.265183,4.5007725,25.749998
822.0389,7.233966,2.792257,829.01697,7.1647882,2.7422767,50.499992
1352.3724,6.1666675,2.15596,1364.6715,6.223542,2.1562345,75.25001
1794.1603,5.474914,1.9173257,1835.4924,5.4855995,1.877809,100.0
7.069927,3.765101,3.3461204,7.0285635,3.8129141,3.408554,1.0
20.655539,3.7488713,29.364395,20.513441,3.7594197,29.651007,25.749998
50.8765,3.7447782,23.355007,51.913643,3.745397,22.892202,50.499992
99.45665,3.7286782,17.725872,101.15089,3.7288604,17.429817,75.25001
164.10146,3.7273712,14.271522,166.92683,3.7085762,13.959212,100.0
6.695353,4.9087887,4.6066027,6.7229557,5.0036764,4.6763687,1.0
43.97483,4.892749,18.001375,44.237263,4.8804207,17.849503,25.749998
132.40088,4.81283,11.534026,133.88704,4.8190513,11.420736,50.499992
269.3856,4.734349,8.30945,268.4691,4.73996,8.347701,75.25001
439.37967,4.653188,6.654122,437.3529,4.6477485,6.6771393,100.0
9.134562,7.1190844,4.896844,9.078489,7.1270723,4.932617,1.0
140.08885,6.713431,7.7534995,141.1499,6.799036,7.7933445,25.749998
417.10443,6.5037446,4.947549,419.0551,6.391352,4.8394156,50.499992
756.6328,6.09502,3.8086984,756.0413,5.998338,3.751214,75.25001
1109.797,5.6466117,3.1968641,1120.025,5.6483717,3.1686587,100.0
5.557549,5.8473907,6.610871,5.4879594,5.937152,6.797468,1.0
74.93137,5.7108135,12.330799,77.111725,5.81286,12.196258,25.749998
257.84512,5.629016,6.926996,256.13348,5.6514044,7.0010204,50.499992
513.0416,5.466348,5.037688,508.37305,5.4408894,5.0602703,75.25001
798.6157,5.242423,4.1245284,801.9051,5.214262,4.0855417,100.0
5.4085493,4.7770505,5.5495644,5.4004555,4.878693,5.676138,1.0
39.31379,4.7503533,19.549604,40.007023,4.8036213,19.426277,25.749998
