tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
15,250,100,8,20,2,1.0,2.78665688320873,7.02240628595761,3.11450894040817
15,250,100,8,20,2,25.75,36.8733871096474,13.4356279035383,3.06206142716873
15,250,100,8,20,2,50.5,38.0738133701813,25.4626014690846,3.05532844230389
15,250,100,8,20,2,75.25,32.8855296301336,43.8549130233428,3.0502590341177
15,250,100,8,20,2,100.0,27.9035796566594,68.5672954562632,3.04506853939085
15,200,250,8,20,6,1.0,3.79789234493848,8.87159681189552,5.36246632433048
15,200,250,8,20,6,25.75,14.6752330961266,57.6211845075615,5.22648957129077
15,200,250,8,20,6,50.5,9.36741546183419,173.874280142173,5.13314912043055
15,200,250,8,20,6,75.25,6.9141813009665,342.926497714937,5.01482098688699
15,200,250,8,20,6,100.0,5.60140799581591,547.821215731726,4.88378105699179
10,250,100,8,15,4,1.0,1.99213816151807,10.4511923521536,3.31364078890056
10,250,100,8,15,4,25.75,28.244805547111,18.6863067287304,3.26215776607456
10,250,100,8,15,4,50.5,29.4025907743363,35.1082072169245,3.25329170581361
10,250,100,8,15,4,75.25,25.4018970928533,60.4113203630515,3.24562326321533
10,250,100,8,15,4,100.0,21.5573803324329,94.3517611327363,3.23717461818149
15,250,350,8,20,6,1.0,5.74146569097877,7.2329732498748,6.60936542974008
15,250,350,8,20,6,25.75,9.079125822388,114.37406295885599,6.41821826421193
15,250,350,8,20,6,50.5,5.32594172824825,364.35048115421296,6.1156765961524
15,250,350,8,20,6,75.25,3.97686914141002,686.508605377247,5.77432087491853
15,250,350,8,20,6,100.0,3.29415695139367,1038.94620247945,5.44700130220736
15,250,350,16,20,6,1.0,8.63413442257773,8.2902790493092,11.3922127413024
15,250,350,16,20,6,25.75,2.79798075946928,541.073010241674,9.35714787782884
15,250,350,16,20,6,50.5,1.83671302326423,1240.8041180042599,7.18246114155806
15,250,350,16,20,6,75.25,1.56461257859666,1758.19832961069,5.8181954705255
15,250,350,16,20,6,100.0,1.47543979865853,2121.98212853012,4.98291349277562
15,200,100,8,15,4,1.0,2.45944191064698,8.77535099874117,3.4349561523007
15,200,100,8,15,4,25.75,27.6164326830118,19.5745803515721,3.34120357129739
15,200,100,8,15,4,50.5,28.0858866591337,37.580929993672,3.32647616195637
15,200,100,8,15,4,75.25,24.3757709005193,64.3204260054961,3.31604869193428
15,200,100,8,15,4,100.0,20.8381706366191,99.679081802404,3.30585461664888
10,200,100,8,15,2,1.0,1.70112756146258,13.1110557904426,3.54972474542649
10,200,100,8,15,2,25.75,21.5424537977502,25.7870879924378,3.43352623915807
10,200,100,8,15,2,50.5,23.7713699203309,45.5784120573997,3.41461822758387
10,200,100,8,15,2,75.25,21.6190924214784,74.4017513296256,3.40199948834466
10,200,100,8,15,2,100.0,18.9835993242314,112.209942030687,3.39023675980356
10,200,350,8,20,2,1.0,3.30858195076372,13.448805378115,7.08183390397872
10,200,350,8,20,2,25.75,8.16354458410862,133.907306492566,6.75656472720293
10,200,350,8,20,2,50.5,5.06234129940616,402.050988204162,6.41447783911243
10,200,350,8,20,2,75.25,3.84445340225811,743.046467922677,6.04177019990282
10,200,350,8,20,2,100.0,3.21265250019225,1112.8601888708401,5.69016015500135
10,200,100,16,20,2,1.0,2.33417918034939,13.2297050917361,4.91478456826772
10,200,100,16,20,2,25.75,16.2734334733101,47.2025835592785,4.74775020078006
10,200,100,16,20,2,50.5,12.2792122912253,121.338585742945,4.69567672393637
10,200,100,16,20,2,75.25,9.39604611374671,233.302753709556,4.63637581556351
10,200,100,16,20,2,100.0,7.6178162590248,376.729915330752,4.56752289477814
15,250,250,8,15,4,1.0,4.82060554967529,7.13443205447704,5.47370180476682
15,250,250,8,15,4,25.75,13.9233197885391,62.4329830774231,5.37278896586653
15,250,250,8,15,4,50.5,8.41041526366897,197.983526290329,5.24777550838273
15,250,250,8,15,4,75.25,6.23170921562327,386.393042471203,5.09272358903944
15,250,250,8,15,4,100.0,5.11895584284487,605.556594200275,4.93351272405205
20,250,100,8,20,2,1.0,3.65681628566333,5.2988230205212,3.08391705305086
20,250,100,8,20,2,25.75,43.2532862960341,11.3567080257459,3.03608879213282
20,250,100,8,20,2,50.5,41.5579617043497,23.1347163136719,3.03003168862054
20,250,100,8,20,2,75.25,34.6796826294848,41.2442004017558,3.02518285324068
20,250,100,8,20,2,100.0,28.9305576285339,65.5902984511617,3.02006675984199
15,250,350,12,15,2,1.0,7.82931627346638,7.8406668141468,9.77005408589219
15,250,350,12,15,2,25.75,4.03734122606618,346.10722941448904,8.63672368772445
15,250,350,12,15,2,50.5,2.62968959510993,894.65205890214,7.41459454372304
15,250,350,12,15,2,75.25,2.09730621710297,1451.47370085978,6.43849915315594
15,250,350,12,15,2,100.0,1.83135430459298,1943.48797073541,5.66466670506116
10,200,350,8,20,4,1.0,3.27769663332869,13.363186045666799,6.9710612963106
10,200,350,8,20,4,25.75,8.25351013245437,130.950742089178,6.68020132017114
10,200,350,8,20,4,50.5,5.1082346994131,394.25534042775803,6.34712689721824
10,200,350,8,20,4,75.25,3.87471145659695,730.0163472621109,5.98253956708077
10,200,350,8,20,4,100.0,3.23507778104692,1094.91650263266,5.63749098044432
10,200,100,16,20,4,1.0,2.30624142948094,13.1684780303734,4.83348621950626
10,200,100,16,20,4,25.75,16.5438250521235,45.8746079522052,4.69084618950811
10,200,100,16,20,4,50.5,12.4777352275071,118.023426291825,4.64122622654317
10,200,100,16,20,4,75.25,9.53820286195768,227.238303610951,4.58418061998099
10,200,100,16,20,4,100.0,7.72663629591196,367.368776710736,4.51765272762919
20,200,250,8,20,6,1.0,4.94921627038882,6.71594087657634,5.2900944715637
20,200,250,8,20,6,25.75,15.5210283726177,53.8345484513682,5.16445462123782
20,200,250,8,20,6,50.5,9.60487973832813,167.655613884447,5.07503200244074
20,200,250,8,20,6,75.25,7.02947983122847,333.619075433668,4.9600686915322
20,200,250,8,20,6,100.0,5.67387820702649,535.109649762289,4.83217799845332
10,200,350,8,20,6,1.0,3.24820863078831,13.3106763390168,6.88119984566108
10,200,350,8,20,6,25.75,8.33106771281776,128.479274233866,6.61571270545212
10,200,350,8,20,6,50.5,5.14941133408384,387.595527281949,6.29020927874959
10,200,350,8,20,6,75.25,3.90250414987769,718.766745779792,5.9325987635794
10,200,350,8,20,6,100.0,3.25606674725735,1079.32461585244,5.5932665031504
20,200,100,8,20,2,1.0,3.06170232832447,6.63768021903828,3.23444240265854
20,200,100,8,20,2,25.75,32.9737237990808,15.4155219631369,3.14173194831401
20,200,100,8,20,2,50.5,34.229260942136,29.0116450595805,3.12967060765299
20,200,100,8,20,2,75.25,30.1765230646712,48.9155847182448,3.12197970571145
20,200,100,8,20,2,100.0,26.0379119528474,75.1688839796816,3.11504545380872
15,250,150,8,20,4,1.0,3.40252330961126,7.04125188542012,3.81303789363178
15,250,150,8,20,4,25.75,29.6697829698534,20.4885383932007,3.75723401722308
15,250,150,8,20,4,50.5,22.9413485960732,51.7693813776697,3.74300729039042
15,250,150,8,20,4,75.25,17.4876698134186,100.743250210591,3.72616026407529
15,250,150,8,20,4,100.0,14.0226747991991,166.034723285265,3.70552644268483
20,250,100,16,15,4,1.0,5.80337128146374,5.37491745623567,4.96446309965002
20,250,100,16,15,4,25.75,17.8684964360808,44.28903225697,4.89133151883596
20,250,100,16,15,4,50.5,10.7611518730356,142.042487138201,4.8173231742643
20,250,100,16,15,4,75.25,7.84818813575434,284.30657377053,4.71921685569138
20,250,100,16,15,4,100.0,6.34975771111478,456.265262518079,4.61099542246108
20,200,100,16,20,2,1.0,4.40231746912788,6.73956439116289,4.72207974188283
20,200,100,16,20,2,25.75,20.3637589049245,36.5184185034077,4.59634697906095
20,200,100,16,20,2,50.5,13.6791994458434,105.624284983652,4.55358258299682
20,200,100,16,20,2,75.25,10.0745048991903,211.227210921941,4.50077398292817
20,200,100,16,20,2,100.0,8.02917025717061,347.275165566131,4.43776730129453
15,200,350,12,15,6,1.0,6.42466519150616,9.5568337834333,9.77202714032245
15,200,350,12,15,6,25.75,4.05025582193227,344.17158411201,8.61589433145108
15,200,350,12,15,6,50.5,2.65620214971449,885.4941037871799,7.41268509884028
15,200,350,12,15,6,75.25,2.12367490949477,1436.06347905155,6.450231489009
15,200,350,12,15,6,100.0,1.85764994696799,1923.23749406649,5.68613188087427
10,250,100,12,15,2,1.0,2.52552200446942,10.5207108626074,4.22879248138909
10,250,100,12,15,2,25.75,21.9190833759865,30.704223324454,4.15971334148011
10,250,100,12,15,2,50.5,16.5841420980373,79.0752364707758,4.13297009746913
10,250,100,12,15,2,75.25,12.6232033579096,153.513808663103,4.09855391734952
10,250,100,12,15,2,100.0,10.1992813642459,249.924819531085,4.05694473373752
10,200,350,16,20,4,1.0,5.15419884084636,14.4871484176569,11.8840428748988
10,200,350,16,20,4,25.75,2.73211230735767,570.908256073012,9.64068225853699
10,200,350,16,20,4,50.5,1.821392549597,1287.1931427060802,7.38883599213063
10,200,350,16,20,4,75.25,1.56093433600675,1814.9363445440501,5.99183242566253
10,200,350,16,20,4,100.0,1.47668459907724,2186.55940619386,5.1388880674973
20,200,250,16,15,4,1.0,8.10357518809202,7.3697201561029,9.50490531163174
20,200,250,16,15,4,25.75,4.27088609634211,320.43307438846904,8.4585948563697
20,200,250,16,15,4,50.5,2.77625793118318,838.95064330502,7.34048874602957
20,200,250,16,15,4,75.25,2.20887498515104,1377.2915972351002,6.4344386180057
20,200,250,16,15,4,100.0,1.92054830757469,1865.2027429728698,5.70126742435391
10,200,250,12,20,2,1.0,3.46317782746477,13.5005124971197,7.44123772475897
10,200,250,12,20,2,25.75,7.38681780145566,154.839396427564,7.06938697077571
10,200,250,12,20,2,50.5,4.51881014669845,466.77595065307895,6.64754553535557
