tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
10,200,350,24,15,2,1.0,6.16032991396508,19.1300473306078,18.7559966903492
10,200,350,24,15,2,25.75,1.54023844740691,1046.1390141649201,9.95910375813533
10,200,350,24,15,2,50.5,1.28966237973423,1649.07026704397,6.70260994018695
10,200,350,24,15,2,75.25,1.31378723282962,1975.64833659903,5.48969615496016
10,200,350,24,15,2,100.0,1.38381057230823,2223.63721865433,4.89734512307925
10,200,100,4,20,2,1.0,1.22199128694671,13.0206684518316,2.53233712209298
10,200,100,4,20,2,25.75,20.8107315140599,19.1113038497237,2.45821894812788
10,200,100,4,20,2,50.5,31.7923018574949,24.4068394777123,2.44546961808756
10,200,100,4,20,2,75.25,37.9643075793293,30.3810985452472,2.43945372422639
10,200,100,4,20,2,100.0,40.9840283464901,37.3406675802932,2.43566106006597
20,250,300,8,15,6,1.0,7.01596556490667,5.45459611689585,6.09074166297242
20,250,300,8,15,6,25.75,10.7173378662789,89.7021428684788,5.94199987482529
20,250,300,8,15,6,50.5,6.33930983095351,285.886659612129,5.71168991842385
20,250,300,8,15,6,75.25,4.77584509707918,540.350083862047,5.45806976775997
20,250,300,8,15,6,100.0,3.97651462523875,824.686332288419,5.21929101443525
25,200,100,16,15,2,1.0,5.87012449813207,5.45257806011267,5.09412192762661
25,200,100,16,15,2,25.75,17.1075372519024,47.0035618664259,4.97005462539077
25,200,100,16,15,2,50.5,10.5816558528634,146.633560612069,4.89007777853356
25,200,100,16,15,2,75.25,7.7876818239228,290.735107271462,4.78871845788565
25,200,100,16,15,2,100.0,6.32829504654063,464.484415409557,4.67819152472373
30,250,100,12,15,6,1.0,7.01311887956642,3.59074834783703,4.00789469016817
30,250,100,12,15,6,25.75,30.3420687686287,21.1298214517811,3.96263356487739
30,250,100,12,15,6,50.5,19.257631197321,64.9207341623486,3.94017073697387
30,250,100,12,15,6,75.25,13.9486141581739,132.525289595606,3.90970014532166
30,250,100,12,15,6,100.0,11.0517746551254,220.167714343036,3.8726280481858
30,200,350,8,15,4,1.0,9.10640008671947,4.7299389724222,6.85523577021129
30,200,350,8,15,4,25.75,8.27425048943696,128.538129894111,6.57360402123851
30,200,350,8,15,4,50.5,4.99709405422688,393.268845605888,6.19349541756362
30,200,350,8,15,4,75.25,3.84097726501469,716.715779561996,5.82240391341933
30,200,350,8,15,4,100.0,3.2299755241055,1067.79400147667,5.48917200582215
15,200,250,8,20,8,1.0,3.77241325837902,8.84543549883746,5.31078370612779
15,200,250,8,20,8,25.75,14.8133255266725,56.6436968207093,5.18617365325505
15,200,250,8,20,8,50.5,9.45106257003904,171.054657749406,5.0950012660294
15,200,250,8,20,8,75.25,6.97269370900783,337.62410233246,4.97906342107337
15,200,250,8,20,8,100.0,5.64663029444058,539.726690272285,4.85046506033683
15,200,150,16,30,6,1.0,4.30390885200339,8.93885584348908,6.12301227971332
15,200,150,16,30,6,25.75,11.2287269209346,85.6664948758067,5.94544568616786
15,200,150,16,30,6,50.5,6.75223070102284,271.381038574932,5.77504703838063
15,200,150,16,30,6,75.25,4.92042629278977,533.876944373929,5.55593970580129
15,200,150,16,30,6,100.0,3.9781370966649,839.882543349696,5.3176338738933
15,200,100,8,20,8,1.0,2.29758392185441,8.73071704805268,3.19257735291439
15,200,100,8,20,8,25.75,28.9279987306715,17.4274885090824,3.11599027132102
15,200,100,8,20,8,50.5,32.2034857226498,30.5800051141895,3.10362463014313
15,200,100,8,20,8,75.25,29.4436705703393,49.717382736106,3.0960918448734
15,200,100,8,20,8,100.0,25.8991519826155,74.95129391813,3.08947589093261
15,200,100,12,40,6,1.0,2.907096062287,8.79264139527232,4.06816796380174
15,200,100,12,40,6,25.75,23.9022187128571,26.8531256462445,3.96712566995231
15,200,100,12,40,6,50.5,19.5513036808968,64.0167181655207,3.94455377570679
15,200,100,12,40,6,75.25,15.3078789224526,121.158386414137,3.92267318494221
15,200,100,12,40,6,100.0,12.4314626240471,196.996978190695,3.89764180379893
20,250,200,8,20,2,1.0,5.27243554695571,5.37329153906497,4.50891258647908
20,250,200,8,20,2,25.75,23.0888668332782,31.1413027826682,4.44408435958214
20,250,200,8,20,2,50.5,14.5718220903609,95.9865789499655,4.40811714245624
20,250,200,8,20,2,75.25,10.5378125962334,195.56294426448,4.35863663961737
20,250,200,8,20,2,100.0,8.35242128277864,323.368804876464,4.29863573329698
20,200,200,16,20,2,1.0,6.72243402157435,7.021130525239,7.51196795976211
20,200,200,16,20,2,25.75,7.17408523755731,161.46233327036998,7.15946639180786
20,200,200,16,20,2,50.5,4.19438322146262,505.05454228470705,6.67628922074503
20,200,200,16,20,2,75.25,3.15050710065412,923.5043466219311,6.1536534385643
20,200,200,16,20,2,100.0,2.63490247036179,1352.7914617291701,5.67303587293776
20,200,100,16,15,10,1.0,4.70568027798733,6.65900938170761,4.98714705781929
20,200,100,16,15,10,25.75,16.9651033772253,46.5919426869207,4.88551361259986
20,200,100,16,15,10,50.5,10.720947274594,142.336920185001,4.80927352699135
20,200,100,16,15,10,75.25,7.92736666903465,281.084160529854,4.7127993184855
20,200,100,16,15,10,100.0,6.45034750828462,448.801768054877,4.607420002365
25,250,100,12,20,4,1.0,5.51828884206297,4.28569704152968,3.76396891202807
25,250,100,12,20,4,25.75,34.9462398461869,17.1996520571819,3.71503588307227
25,250,100,12,20,4,50.5,24.4278812790726,48.0850135750842,3.70189671175809
25,250,100,12,20,4,75.25,18.0414326371305,96.588880740485,3.68563040509288
25,250,100,12,20,4,100.0,14.276742741542,161.319744132625,3.66553009901072
10,200,700,12,20,2,1.0,6.15575747021065,17.4958858538224,17.1410558144059
